Tract number,Total households,    HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),"        Less than $20,000:",            With a broadband Internet subscription,            Without an Internet subscription,"        $20,000 to $74,999:",            With a broadband Internet subscription,            Without an Internet subscription,"        $75,000 or more:",            With a broadband Internet subscription,            Without an Internet subscription,    EDUCATIONAL ATTAINMENT,        Household population 25 years and over,            Less than high school graduate or equivalency,"            High school graduate (includes equivalency), some college or associate's degree",            Bachelor's degree or higher,    EMPLOYMENT STATUS,        Civilian population 16 years and over,            In labor force,                Employed,                Unemployed,            Not in labor force,SCHOOL ENROLLMENT,Population 3 years and over enrolled in school,"    Nursery school, preschool",    Kindergarten to 12th grade,        Kindergarten,        Elementary: grade 1 to grade 4,        Elementary: grade 5 to grade 8,        High school: grade 9 to grade 12,"    College, undergraduate","    Graduate, professional school"
101.02,"1,045",,14,14,0,433,303,116,598,598,0,,"2,164",131,"1,506",527,,"2,355","1,535","1,493",42,820,,491,14,393,0,76,107,210,53,31
102.01,"1,858",,100,81,19,"1,061",858,203,697,592,105,,"3,306",194,"2,375",737,,"3,704","2,377","2,305",72,"1,327",,679,10,599,9,125,267,198,60,10
102.03,"1,449",,49,49,0,362,326,36,"1,038","1,020",18,,"2,995",125,"1,749","1,121",,"3,381","2,491","2,434",57,890,,953,34,687,0,269,185,233,217,15
102.04,974,,74,58,16,377,355,2,523,504,19,,"1,977",68,"1,080",829,,"2,397","1,466","1,400",66,931,,940,21,768,2,150,240,376,119,32
103.01,"1,987",,352,263,89,"1,091",889,193,544,514,22,,"3,229",225,"2,471",533,,"3,673","2,061","1,885",176,"1,612",,932,66,735,83,214,255,183,106,25
103.03,"1,236",,72,72,0,530,525,5,634,595,39,,"2,545",22,"1,826",697,,"2,803","1,753","1,701",52,"1,050",,723,91,573,27,192,148,206,37,22
103.04,"2,257",,314,140,160,"1,086",903,169,857,857,0,,"4,177",273,"3,467",437,,"4,433","2,208","2,153",55,"2,225",,969,21,844,0,217,351,276,65,39
103.05,"2,644",,246,135,111,631,631,0,"1,767","1,746",21,,"5,008",190,"2,999","1,819",,"5,710","3,804","3,684",120,"1,906",,"2,031",211,"1,447",55,606,435,351,314,59
104.01,"1,752",,308,249,59,893,824,69,551,510,41,,"2,879",262,"2,175",442,,"3,212","2,139","1,907",232,"1,073",,"1,827",180,"1,029",87,314,283,345,568,50
104.03,"1,222",,112,70,42,414,370,44,696,690,6,,"2,491",148,"1,749",594,,"2,753","1,524","1,465",59,"1,229",,624,12,473,50,47,92,284,106,33
104.04,"1,259",,191,79,112,430,329,72,638,595,27,,"2,401",52,"1,805",544,,"2,542","1,401","1,355",46,"1,141",,497,50,355,0,97,132,126,76,16
105.04,"1,328",,120,120,0,529,491,31,679,670,9,,"2,363",143,"1,311",909,,"2,752","1,509","1,462",47,"1,243",,838,42,710,7,159,256,288,68,18
105.05,"1,241",,82,73,9,435,415,20,724,724,0,,"2,253",93,"1,303",857,,"2,648","1,701","1,625",76,947,,"1,322",162,896,0,123,380,393,113,151
105.06,"2,401",,228,216,12,"1,072",856,202,"1,101","1,101",0,,"3,787",46,"2,053","1,688",,"4,277","2,239","2,215",24,"2,038",,"1,209",85,869,0,214,335,320,228,27
105.07,"1,658",,100,83,17,655,603,52,903,839,64,,"3,000",90,"1,725","1,185",,"3,470","1,936","1,889",47,"1,534",,912,26,731,22,106,155,448,111,44
105.08,"1,322",,57,48,9,288,288,0,977,917,60,,"2,552",75,"1,011","1,466",,"3,020","1,813","1,781",32,"1,207",,"1,382",165,"1,015",68,310,289,348,137,65
106.01,"1,372",,107,85,22,582,523,59,683,677,6,,"2,679",84,"1,688",907,,"2,881","1,608","1,573",35,"1,273",,"1,155",75,844,61,269,273,241,164,72
106.03,"1,910",,88,41,47,685,672,13,"1,137","1,137",0,,"3,179",56,"2,223",900,,"3,409","1,833","1,808",25,"1,576",,898,149,563,16,88,320,139,172,14
106.04,"1,342",,62,48,14,404,349,55,876,862,14,,"2,707",146,"1,321","1,240",,"3,060","1,943","1,819",124,"1,117",,694,50,484,9,87,86,302,93,67
107.01,"1,462",,102,46,56,488,488,0,872,856,16,,"2,637",126,"1,168","1,343",,"2,918","1,982","1,904",78,936,,"1,350",23,"1,121",162,262,346,351,147,59
107.02,"1,162",,88,88,0,302,264,38,772,772,0,,"2,111",22,971,"1,118",,"2,428","1,693","1,670",23,735,,"1,328",145,997,67,316,441,173,153,33
108,971,,260,200,60,418,343,75,293,207,86,,"1,424",72,"1,047",305,,"1,893","1,114","1,064",50,779,,702,15,265,11,77,46,131,406,16
109.01,813,,88,88,0,448,394,54,277,277,0,,"1,475",87,"1,067",321,,"1,832","1,077",935,142,755,,567,16,388,17,69,137,165,158,5
109.02,685,,9,9,0,319,319,0,357,357,0,,"1,255",33,583,639,,"1,712",961,916,45,751,,"2,000",24,333,4,111,149,69,"1,637",6
110,"1,476",,175,114,61,662,583,79,639,614,17,,"2,339",104,"1,672",563,,"2,699","1,850","1,719",131,849,,818,20,715,75,95,200,345,59,24
111.02,"1,729",,228,196,32,"1,033",948,85,468,460,8,,"2,628",99,"1,950",579,,"3,246","2,363","2,288",75,883,,916,68,617,49,221,137,210,180,51
111.03,"1,685",,391,180,193,"1,080",953,107,214,214,0,,"2,154",347,"1,356",451,,"2,409","1,271","1,110",161,"1,138",,225,0,162,13,18,81,50,63,0
111.04,"1,294",,341,249,77,728,605,98,225,225,0,,"2,008",159,"1,519",330,,"2,529","1,754","1,471",283,775,,735,31,544,47,169,227,101,100,60
112.02,"1,602",,143,55,88,832,793,39,627,602,25,,"2,893",158,"1,988",747,,"3,289","2,008","1,838",170,"1,281",,948,19,724,71,228,188,237,193,12
112.03,"2,658",,528,262,252,"1,528","1,278",250,602,571,31,,"3,623",175,"2,587",861,,"4,413","2,952","2,745",207,"1,461",,"1,159",87,875,195,308,146,226,124,73
112.04,981,,171,101,70,500,442,46,310,310,0,,"1,515",206,886,423,,"1,711",988,988,0,723,,481,44,171,23,92,30,26,160,106
113.01,"1,592",,140,97,43,550,466,84,902,902,0,,"2,770",145,"1,511","1,114",,"3,120","1,712","1,670",42,"1,408",,864,59,579,17,112,260,190,183,43
113.02,"2,015",,227,207,20,691,690,0,"1,097","1,001",96,,"3,608",18,"2,193","1,397",,"3,988","2,731","2,622",109,"1,257",,"1,039",102,661,100,164,224,173,105,171
114,"2,115",,320,302,18,985,894,91,810,810,0,,"3,898",219,"2,834",845,,"4,305","2,523","2,451",72,"1,782",,"1,225",123,906,78,245,188,395,137,59
115,629,,30,20,10,272,244,28,327,321,6,,"1,180",81,696,403,,"1,306",967,921,46,339,,334,17,185,5,46,62,72,111,21
116,764,,125,98,27,370,319,51,269,266,3,,"1,212",80,856,276,,"1,379",949,914,35,430,,329,18,242,7,72,88,75,41,28
117.01,"1,120",,238,170,68,508,437,71,374,336,38,,"1,738",92,"1,302",344,,"1,940","1,238","1,215",23,702,,401,12,227,0,72,65,90,102,60
117.02,"3,229",,716,497,219,"1,874","1,625",249,639,603,36,,"4,597",496,"3,289",812,,"5,820","4,124","3,829",295,"1,696",,"1,396",161,985,58,183,376,368,193,57
118,"2,847",,612,388,224,"1,492","1,166",326,743,429,314,,"4,219",307,"3,007",905,,"4,664","2,912","2,587",325,"1,752",,"1,028",178,657,12,366,208,71,146,47
119,"2,062",,163,107,48,"1,342","1,136",206,557,550,7,,"3,508",192,"2,696",620,,"4,015","2,701","2,636",65,"1,314",,"1,302",55,881,111,274,310,186,183,183
120,"1,842",,399,341,51,947,853,94,496,496,0,,"2,930",245,"2,144",541,,"3,191","2,049","1,903",146,"1,142",,745,98,542,39,170,91,242,58,47
121,"1,119",,153,105,48,652,565,87,314,286,28,,"1,725",57,"1,348",320,,"1,974","1,274","1,184",90,700,,607,0,487,88,202,122,75,120,0
122,962,,93,47,46,565,455,110,304,265,34,,"1,575",188,"1,150",237,,"1,899","1,285","1,171",114,614,,468,22,368,46,141,82,99,71,7
123,"2,533",,558,319,133,"1,107",873,234,868,849,19,,"4,269",355,"3,143",771,,"4,897","3,129","2,984",145,"1,768",,988,0,708,87,112,359,150,265,15
124.01,"2,168",,190,40,150,732,488,244,"1,246","1,246",0,,"4,311",128,"2,514","1,669",,"4,772","2,465","2,297",168,"2,307",,"1,380",28,931,67,278,317,269,387,34
124.02,"2,447",,201,120,81,575,554,21,"1,671","1,628",43,,"4,534",159,"2,390","1,985",,"5,191","3,389","3,178",211,"1,802",,"1,784",145,"1,242",89,288,328,537,372,25
125,"1,345",,188,122,66,729,679,50,428,428,0,,"2,274",326,"1,638",310,,"2,610","1,727","1,653",74,883,,833,98,597,26,227,148,196,111,27
126,"1,716",,301,200,101,867,813,54,548,458,90,,"2,972",74,"2,201",697,,"3,384","2,392","2,268",124,992,,664,59,442,33,124,188,97,163,0
127.01,"1,846",,252,104,148,"1,122",929,186,472,451,21,,"2,837",199,"1,952",686,,"3,098","1,964","1,924",40,"1,134",,676,70,453,37,190,158,68,145,8
127.02,899,,27,21,6,446,388,58,426,417,9,,"1,754",101,"1,177",476,,"2,095","1,372","1,178",194,723,,730,37,566,30,227,155,154,124,3
128.01,"1,639",,251,226,25,770,717,53,618,582,36,,"2,886",237,"1,891",758,,"3,284","1,995","1,910",85,"1,289",,"1,146",42,862,128,322,198,214,210,32
128.02,"1,461",,53,43,10,776,618,158,632,632,0,,"2,642",240,"1,548",854,,"2,961","1,896","1,820",76,"1,065",,820,40,681,12,156,267,246,99,0
129.01,"1,197",,227,126,101,622,491,131,348,338,10,,"2,075",193,"1,585",297,,"2,286","1,252","1,218",34,"1,034",,761,34,687,0,335,184,168,33,7
129.02,"2,639",,79,41,38,"1,395","1,095",286,"1,165","1,107",58,,"4,920",178,"3,400","1,342",,"5,783","3,920","3,809",111,"1,863",,"1,700",51,"1,292",32,578,358,324,330,27
130.01,400,,23,23,0,75,75,0,302,302,0,,810,38,582,190,,833,604,593,11,229,,272,52,197,25,73,52,47,23,0
130.02,"1,309",,135,101,34,923,785,138,251,251,0,,"1,884",60,"1,458",366,,"2,464","1,628","1,526",102,836,,435,0,280,56,125,71,28,138,17
130.03,"2,328",,282,239,43,797,637,160,"1,249","1,249",0,,"4,164",81,"2,254","1,829",,"4,481","2,772","2,624",148,"1,709",,"1,806",80,"1,559",248,503,538,270,160,7
131.01,"3,423",,146,146,0,"2,019","1,543",476,"1,258","1,238",20,,"5,138",166,"2,432","2,540",,"5,655","3,700","3,502",198,"1,955",,"1,132",130,524,90,176,100,158,284,194
131.02,"2,065",,187,187,0,737,633,104,"1,141","1,122",0,,"3,804",181,"2,394","1,229",,"3,923","2,563","2,414",149,"1,360",,"1,091",148,882,85,456,160,181,61,0
132.01,"2,696",,213,174,39,"1,364","1,189",157,"1,119","1,119",0,,"5,365",246,"4,160",959,,"6,007","3,586","3,503",83,"2,421",,"1,814",210,"1,133",61,267,455,350,444,27
132.03,"1,061",,43,31,12,392,378,14,626,617,9,,"1,837",0,933,904,,"2,128","1,308","1,189",119,820,,737,52,583,15,219,211,138,87,15
132.04,"1,602",,103,103,0,394,363,31,"1,105","1,033",72,,"2,984",29,"1,512","1,443",,"3,280","2,195","2,082",113,"1,085",,"1,596",221,"1,232",82,488,300,362,132,11
132.05,"1,211",,86,86,0,267,246,21,858,809,49,,"2,124",62,"1,395",667,,"2,447","1,754","1,695",59,693,,"1,277",314,751,70,333,235,113,181,31
133,"1,208",,45,24,21,329,259,58,834,807,27,,"2,305",116,"1,311",878,,"2,690","1,914","1,841",73,776,,792,7,606,19,151,270,166,174,5
134.01,"2,019",,141,129,12,261,245,16,"1,617","1,603",14,,"4,001",57,"1,623","2,321",,"4,374","2,770","2,729",41,"1,604",,"1,246",106,903,21,327,279,276,125,112
135.01,651,,0,0,0,210,130,80,441,441,0,,"1,355",97,655,603,,"1,424",900,900,0,524,,287,39,188,0,59,60,69,60,0
135.02,893,,16,16,0,308,290,18,569,551,18,,"1,763",0,633,"1,130",,"1,889","1,158","1,132",26,731,,487,27,381,21,129,109,122,57,22
135.03,"2,211",,83,83,0,612,582,30,"1,516","1,516",0,,"4,415",0,"1,971","2,444",,"4,499","2,904","2,875",29,"1,595",,"1,276",63,982,191,375,277,139,100,131
136,"1,962",,92,92,0,854,735,119,"1,016",999,17,,"3,389",140,"1,921","1,328",,"3,659","2,586","2,482",104,"1,073",,"1,274",160,899,81,360,301,157,115,100
137,"1,377",,116,86,30,727,595,91,534,494,37,,"2,088",160,"1,283",645,,"2,371","1,638","1,608",30,733,,473,7,321,4,89,116,112,111,34
138,826,,50,50,0,544,458,86,232,232,0,,"1,359",0,902,457,,959,630,570,60,329,,"1,090",125,512,48,316,112,36,404,49
139,"2,157",,274,227,47,931,896,23,952,940,12,,"3,855",165,"2,388","1,302",,"4,246","2,352","2,255",97,"1,894",,"1,183",13,708,0,201,155,352,437,25
140.01,"1,733",,552,401,151,872,781,91,309,309,0,,"1,943",89,"1,102",752,,"3,288","2,223","1,972",251,"1,065",,"3,173",15,357,9,117,110,121,"2,714",87
140.02,"2,594",,599,527,72,"1,121",990,131,874,855,19,,"3,063",81,"1,353","1,629",,"5,258","3,705","3,350",355,"1,553",,"2,833",67,772,0,164,283,325,"1,964",30
141,"2,377",,142,80,62,951,767,184,"1,284","1,258",26,,"4,272",138,"2,585","1,549",,"4,536","2,728","2,669",59,"1,808",,"1,526",126,"1,077",179,367,371,160,192,131
142,"1,504",,174,145,29,637,546,91,693,546,133,,"2,380",242,"1,591",547,,"3,029","1,902","1,860",42,"1,127",,946,18,502,0,203,174,125,405,21
143,"1,134",,181,133,48,494,411,68,459,405,46,,"2,023",145,"1,330",548,,"2,297","1,444","1,344",100,853,,719,15,574,59,174,164,177,119,11
144,"1,729",,215,181,34,945,833,112,569,546,23,,"3,135",145,"2,392",598,,"3,477","2,395","2,289",106,"1,082",,"1,014",32,797,72,205,319,201,149,36
145,868,,275,211,60,431,357,74,162,115,47,,"1,268",213,855,200,,"1,495",864,754,110,631,,342,16,197,5,96,63,33,80,49
