tract,county,desktop_laptop,only_desktop_laptop,with_smartphone,only_smartphone,with_tablet,only_tablet,with_other,only_other,moe_desktop_laptop,moe_only_desktop_laptop,moe_with_smartphone,moe_only_smartphone,moe_with_tablet,moe_only_tablet,moe_with_other,moe_only_other
127.02,spokane,820,21,821,18,677,0,29,0,143,15,137,15,133,13,19,13
2.02,spokane,450,0,547,100,324,0,0,0,119,13,123,68,81,13,13,13
128.01,spokane,1295,73,1442,162,1072,29,15,0,162,46,144,88,156,41,19,13
3.01,spokane,779,50,948,140,535,0,0,0,160,55,146,77,109,13,13,13
128.02,spokane,1186,33,1238,39,1005,10,30,10,183,29,183,29,173,16,25,15
3.02,spokane,716,168,756,63,517,0,11,0,184,138,128,59,124,13,18,13
129.01,spokane,944,170,854,47,670,8,27,0,140,70,146,60,98,13,25,13
4,spokane,1150,97,1327,165,897,45,14,0,228,53,218,79,223,49,16,13
129.02,spokane,2352,242,2143,123,1628,0,27,0,294,110,305,70,322,18,32,18
5,spokane,1156,105,1174,168,821,20,21,0,105,55,139,74,122,22,23,13
130.01,spokane,380,20,360,0,271,20,0,0,90,29,85,13,102,29,13,13
6,spokane,1155,56,1186,89,699,0,49,0,111,48,129,64,127,13,44,13
130.02,spokane,1007,100,1110,174,677,0,48,0,180,69,193,134,182,13,50,13
7,spokane,1836,92,1926,188,1454,35,65,14,284,57,313,119,307,31,77,22
130.03,spokane,2066,86,2040,0,1596,26,25,0,293,67,311,18,239,41,40,18
8,spokane,1752,196,1551,24,1299,17,15,0,160,87,155,23,145,18,17,18
131.01,spokane,2843,89,3212,393,2090,30,46,0,488,85,700,483,498,48,52,18
9,spokane,2006,182,1910,91,1649,16,50,0,234,78,261,72,252,25,38,18
131.02,spokane,1850,120,1836,49,1503,0,97,0,251,85,270,61,230,18,119,18
10,spokane,1823,90,1899,195,1386,44,78,0,322,67,298,99,182,50,57,18
132.01,spokane,2395,156,2375,126,1883,40,42,0,211,87,221,84,242,45,51,18
11,spokane,1236,80,1182,48,955,0,52,0,205,40,210,41,200,13,37,13
132.03,spokane,982,93,924,57,588,0,55,0,222,76,221,55,163,13,62,13
12,spokane,821,63,820,66,609,0,33,0,109,37,102,40,105,13,23,13
132.04,spokane,1370,31,1428,32,1386,91,10,0,239,38,259,40,241,122,18,13
13,spokane,1209,77,1319,106,935,5,43,0,147,58,198,112,171,10,42,13
132.05,spokane,1060,65,1059,79,990,44,31,0,228,57,234,79,238,73,37,13
14,spokane,2105,67,2199,62,1434,14,13,0,255,50,253,56,242,22,21,18
133,spokane,1175,113,1060,7,825,0,32,0,178,54,179,11,175,13,31,13
15,spokane,1666,134,1960,261,1225,0,17,0,225,90,316,241,204,18,27,18
134.01,spokane,1957,68,1829,29,1572,17,67,0,248,41,254,38,209,19,35,18
16,spokane,762,37,1120,239,651,7,9,0,145,27,149,96,112,12,15,13
135.01,spokane,548,17,599,47,483,17,0,0,106,30,110,55,120,26,13,13
18,spokane,948,107,893,40,604,43,23,0,169,62,164,28,147,51,30,13
135.02,spokane,857,51,759,0,729,0,55,0,162,51,162,13,165,13,51,13
19,spokane,1131,92,1235,123,957,0,36,0,156,48,143,76,133,13,28,13
135.03,spokane,2087,26,2153,59,1714,0,9,0,300,30,303,56,287,18,15,18
20,spokane,1203,79,1433,278,844,15,28,0,183,56,194,152,171,17,30,13
136,spokane,1676,53,1769,95,1480,11,36,0,179,46,228,108,203,18,35,18
9601,lincoln,609,50,655,64,445,3,10,0,93,33,87,39,78,5,9,13
21,spokane,919,49,1015,82,698,0,27,0,166,36,166,61,165,13,38,13
137,spokane,992,69,1192,208,822,13,39,0,120,35,161,94,122,16,29,13
9602,lincoln,1118,132,1054,57,762,38,19,0,121,49,131,42,123,24,19,13
23,spokane,1551,102,1758,191,1355,23,40,0,252,55,250,154,254,38,48,13
138,spokane,804,5,808,4,625,0,0,0,153,8,153,7,113,13,13,13
9603,lincoln,895,113,920,96,696,4,30,0,95,36,109,38,100,4,29,13
24,spokane,697,56,874,154,587,28,0,0,160,46,155,71,136,44,13,13
139,spokane,1779,78,1959,248,1405,0,73,0,229,65,236,184,228,18,72,18
9604,lincoln,1077,158,1041,103,729,10,15,0,121,54,124,40,94,11,14,13
25.01,spokane,895,95,972,83,633,15,15,0,158,70,183,89,174,25,23,13
140.01,spokane,1500,92,1423,82,911,18,15,0,219,48,200,57,194,20,17,18
25.02,spokane,674,72,728,65,483,12,50,0,232,54,198,55,106,19,58,13
140.02,spokane,2331,30,2381,32,1946,0,37,0,295,34,291,39,298,18,36,18
25.03,spokane,186,0,186,0,99,0,17,0,75,13,75,13,71,13,28,13
