NAME,GEOID,has_computer,no_computer,with_internet,no_internet,total_population,work_from_home,65_and_older,median_income,number_providers,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms
"Census Tract 25.01, Spokane County, Washington",53063002501,1096.0,15.0,1049.0,62.0,3268.0,105.0,294.0,44527.0,8.0,61.125,274.263518072289,90.2264819277109,0.019289156626506
"Census Tract 25.02, Spokane County, Washington",53063002502,828.0,186.0,727.0,132.0,2592.0,16.0,288.0,49167.0,8.0,61.125,237.629916666667,76.3932291666667,0.0139583333333333
"Census Tract 25.03, Spokane County, Washington",53063002503,186.0,11.0,168.0,29.0,3205.0,84.0,0.0,-666666666.0,8.0,61.125,254.434033333333,40.7227,0.0117833333333333
"Census Tract 26, Spokane County, Washington",53063002600,2024.0,59.0,1960.0,123.0,4857.0,43.0,336.0,37711.0,8.0,61.125,200.293990654206,18.6947196261682,0.0143271028037383
"Census Tract 29, Spokane County, Washington",53063002900,1177.0,50.0,1167.0,44.0,3246.0,100.0,403.0,63977.0,8.0,61.125,297.147971014493,27.6603594202899,0.013831884057971
"Census Tract 30, Spokane County, Washington",53063003000,853.0,113.0,778.0,137.0,2557.0,72.0,329.0,43219.0,9.0,60.7777777777778,311.439276190476,25.3243952380952,0.0129809523809524
"Census Tract 31, Spokane County, Washington",53063003100,2066.0,118.0,2042.0,95.0,5004.0,100.0,535.0,52803.0,8.0,61.125,299.081198275862,69.8927155172414,0.0125747126436782
"Census Tract 32, Spokane County, Washington",53063003200,1416.0,158.0,1349.0,80.0,2865.0,142.0,732.0,43668.0,9.0,58.7777777777778,246.388242105263,34.2112578947368,0.0128947368421053
"Census Tract 35, Spokane County, Washington",53063003500,1462.0,376.0,1332.0,406.0,2671.0,19.0,488.0,14280.0,10.0,55.9,204.076460784314,38.8275833333333,0.0123676470588235
"Census Tract 36.01, Spokane County, Washington",53063003601,1138.0,80.0,1093.0,85.0,2267.0,9.0,185.0,28578.0,8.0,61.125,267.650204188482,35.1261465968586,0.0121727748691099
"Census Tract 36.02, Spokane County, Washington",53063003602,1533.0,166.0,1491.0,155.0,2337.0,128.0,315.0,27073.0,8.0,61.125,236.669827586207,25.1263793103448,0.0134568965517241
"Census Tract 38, Spokane County, Washington",53063003800,854.0,40.0,806.0,64.0,1745.0,38.0,324.0,51159.0,8.0,61.125,232.840551401869,14.3519439252336,0.0128598130841121
"Census Tract 39, Spokane County, Washington",53063003900,951.0,72.0,841.0,129.0,2153.0,81.0,693.0,48250.0,8.0,61.125,295.456692090396,26.0906214689266,0.0131186440677966
"Census Tract 40.01, Spokane County, Washington",53063004001,1312.0,14.0,1289.0,37.0,2794.0,200.0,304.0,52575.0,8.0,61.125,238.755933333333,69.9535407407407,0.0132888888888889
"Census Tract 40.02, Spokane County, Washington",53063004002,1257.0,19.0,1250.0,19.0,2301.0,64.0,185.0,38045.0,8.0,61.125,233.663199376947,63.7494205607477,0.0134641744548287
"Census Tract 41, Spokane County, Washington",53063004100,1030.0,42.0,965.0,107.0,2221.0,158.0,598.0,65217.0,8.0,61.125,250.027679611651,28.2376165048544,0.0137961165048544
"Census Tract 42, Spokane County, Washington",53063004200,1865.0,71.0,1820.0,116.0,4726.0,323.0,888.0,96071.0,8.0,61.125,310.873706199461,67.1584474393531,0.0119487870619946
"Census Tract 43, Spokane County, Washington",53063004300,1423.0,93.0,1385.0,92.0,3441.0,147.0,968.0,89917.0,8.0,61.125,269.860329004329,30.7569350649351,0.0128744588744589
"Census Tract 44, Spokane County, Washington",53063004400,2038.0,91.0,1846.0,227.0,4790.0,137.0,1015.0,57904.0,8.0,61.125,311.408134453782,37.7587927170868,0.0118011204481793
"Census Tract 45, Spokane County, Washington",53063004500,1486.0,16.0,1423.0,44.0,3605.0,202.0,745.0,91250.0,9.0,58.7777777777778,294.59177,69.2099125,0.01304
"Census Tract 46.01, Spokane County, Washington",53063004601,1744.0,380.0,1629.0,401.0,3876.0,83.0,1349.0,42979.0,8.0,61.125,246.701181538462,22.6198215384615,0.0145384615384615
"Census Tract 46.02, Spokane County, Washington",53063004602,1156.0,74.0,1091.0,130.0,3145.0,264.0,382.0,85643.0,8.0,61.125,226.044125,34.649375,0.0126375
"Census Tract 47.01, Spokane County, Washington",53063004701,1077.0,59.0,1036.0,59.0,3375.0,210.0,305.0,79318.0,7.0,54.1428571428571,261.612118110236,20.0726299212598,0.0144724409448819
"Census Tract 47.02, Spokane County, Washington",53063004702,1566.0,131.0,1550.0,133.0,3745.0,153.0,871.0,66685.0,9.0,61.0,257.599643037975,18.4666810126582,0.0126126582278481
"Census Tract 48, Spokane County, Washington",53063004800,1981.0,76.0,1695.0,166.0,4083.0,190.0,1030.0,51467.0,8.0,54.875,271.535189655172,19.3884885057471,0.0130862068965517
"Census Tract 49, Spokane County, Washington",53063004900,2255.0,60.0,2242.0,60.0,5708.0,299.0,1354.0,93162.0,9.0,61.0,275.031858527132,27.639507751938,0.012781007751938
"Census Tract 50, Spokane County, Washington",53063005000,1782.0,218.0,1629.0,263.0,4395.0,121.0,899.0,59135.0,8.0,61.125,237.042424302789,20.5530039840637,0.0197768924302789
"Census Tract 101.01, Spokane County, Washington",53063010101,1334.0,147.0,1306.0,157.0,3618.0,199.0,903.0,55852.0,9.0,61.0,109.389606299213,17.7399156355456,0.0357379077615298
"Census Tract 101.02, Spokane County, Washington",53063010102,980.0,65.0,929.0,98.0,2820.0,135.0,542.0,89401.0,5.0,67.6,91.0664026845638,8.83357550335571,0.0392785234899329
"Census Tract 102.01, Spokane County, Washington",53063010201,1723.0,135.0,1531.0,251.0,4332.0,313.0,780.0,70407.0,8.0,61.125,55.0139133522727,6.83800710227273,0.0528082386363636
"Census Tract 102.03, Spokane County, Washington",53063010203,1449.0,0.0,1395.0,36.0,4404.0,292.0,599.0,108194.0,8.0,61.125,148.432377777778,11.8906777777778,0.0286259259259259
"Census Tract 102.04, Spokane County, Washington",53063010204,939.0,35.0,937.0,35.0,3134.0,143.0,600.0,79417.0,8.0,61.125,36.8408192488263,8.92951643192488,0.0535
"Census Tract 103.01, Spokane County, Washington",53063010301,1833.0,154.0,1683.0,304.0,4807.0,123.0,813.0,52959.0,8.0,61.125,286.958032751092,22.8455021834061,0.0265065502183406
"Census Tract 103.03, Spokane County, Washington",53063010303,1210.0,26.0,1192.0,26.0,3572.0,179.0,712.0,75635.0,11.0,57.1818181818182,31.7220490998363,5.98401636661211,0.0686153846153846
"Census Tract 103.04, Spokane County, Washington",53063010304,2074.0,183.0,1928.0,289.0,5700.0,143.0,1071.0,54171.0,10.0,59.9,46.8591424802111,7.36162137203166,0.117781002638522
"Census Tract 103.05, Spokane County, Washington",53063010305,2604.0,40.0,2512.0,111.0,7606.0,340.0,1132.0,100705.0,9.0,61.0,139.121456692913,12.2178503937008,0.0674
"Census Tract 104.01, Spokane County, Washington",53063010401,1636.0,116.0,1583.0,134.0,7675.0,60.0,616.0,55490.0,10.0,58.9,258.711844884488,28.0375280528053,0.0221749174917492
"Census Tract 104.03, Spokane County, Washington",53063010403,1148.0,74.0,1130.0,88.0,3351.0,72.0,636.0,83542.0,9.0,62.1111111111111,63.881,8.55056368563686,0.0504336043360434
"Census Tract 104.04, Spokane County, Washington",53063010404,1157.0,102.0,1048.0,209.0,2999.0,174.0,729.0,76063.0,8.0,61.125,42.0673973880597,6.0406473880597,0.0500988805970149
"Census Tract 105.04, Spokane County, Washington",53063010504,1307.0,21.0,1288.0,40.0,3367.0,64.0,714.0,76339.0,7.0,62.7142857142857,235.789990950226,16.5440995475113,0.0250588235294118
"Census Tract 105.05, Spokane County, Washington",53063010505,1241.0,0.0,1212.0,29.0,3680.0,94.0,545.0,88681.0,8.0,61.125,238.498242524917,21.5205681063123,0.0175182724252492
"Census Tract 105.06, Spokane County, Washington",53063010506,2264.0,137.0,2187.0,125.0,5294.0,412.0,1385.0,70208.0,8.591160220994475,58.634908862221856,256.119757746479,19.8465887323944,0.0173887323943662
"Census Tract 105.07, Spokane County, Washington",53063010507,1590.0,68.0,1525.0,102.0,4060.0,154.0,1002.0,82422.0,8.0,61.125,282.853989304813,25.8690481283422,0.014879679144385
"Census Tract 105.08, Spokane County, Washington",53063010508,1313.0,9.0,1253.0,55.0,4248.0,430.0,555.0,128227.0,8.0,61.125,169.773487179487,25.8605846153846,0.042574358974359
"Census Tract 106.01, Spokane County, Washington",53063010601,1291.0,81.0,1285.0,81.0,3959.0,102.0,801.0,74837.0,8.0,61.125,212.634708222812,29.8372838196286,0.0182758620689655
"Census Tract 106.03, Spokane County, Washington",53063010603,1884.0,26.0,1850.0,40.0,4275.0,138.0,1072.0,84962.0,8.0,61.125,232.294329545455,58.8188227272727,0.0171022727272727
"Census Tract 106.04, Spokane County, Washington",53063010604,1273.0,69.0,1259.0,69.0,3465.0,86.0,698.0,102115.0,8.0,61.125,265.259904220779,91.8594577922078,0.0163733766233766
"Census Tract 107.01, Spokane County, Washington",53063010701,1447.0,15.0,1390.0,15.0,4036.0,187.0,453.0,89963.0,8.0,61.125,265.0661,31.875219047619,0.0143404761904762
"Census Tract 107.02, Spokane County, Washington",53063010702,1135.0,27.0,1124.0,27.0,3686.0,146.0,320.0,111625.0,7.0,62.7142857142857,314.392377622378,81.241682983683,0.0153216783216783
"Census Tract 108, Spokane County, Washington",53063010800,823.0,148.0,750.0,193.0,2313.0,31.0,347.0,47083.0,8.0,61.125,239.413307692308,41.1929053254438,0.012491124260355
"Census Tract 109.01, Spokane County, Washington",53063010901,803.0,10.0,759.0,41.0,2232.0,182.0,467.0,62660.0,8.0,61.125,207.667455882353,21.8293823529412,0.0202647058823529
"Census Tract 109.02, Spokane County, Washington",53063010902,685.0,0.0,685.0,0.0,3385.0,140.0,338.0,78693.0,8.0,61.125,281.142738461538,27.9972256410256,0.0146051282051282
"Census Tract 110, Spokane County, Washington",53063011000,1388.0,88.0,1319.0,150.0,3461.0,46.0,538.0,61121.0,8.0,61.125,281.218058823529,29.4893088235294,0.0204558823529412
"Census Tract 111.02, Spokane County, Washington",53063011102,1627.0,102.0,1604.0,92.0,4403.0,70.0,555.0,50243.0,8.0,61.125,212.395767346939,46.2240612244898,0.0163755102040816
