NAME,GEOID,tract,has_computer,no_computer,with_internet,no_internet,total_population,work_from_home,65_and_older,median_income
"Census Tract 46.01, Spokane County, Washington",53063004601,004601,1744.0,380.0,1629.0,401.0,3876.0,83.0,1349.0,42979.0
"Census Tract 46.02, Spokane County, Washington",53063004602,004602,1156.0,74.0,1091.0,130.0,3145.0,264.0,382.0,85643.0
"Census Tract 47.01, Spokane County, Washington",53063004701,004701,1077.0,59.0,1036.0,59.0,3375.0,210.0,305.0,79318.0
"Census Tract 47.02, Spokane County, Washington",53063004702,004702,1566.0,131.0,1550.0,133.0,3745.0,153.0,871.0,66685.0
"Census Tract 48, Spokane County, Washington",53063004800,004800,1981.0,76.0,1695.0,166.0,4083.0,190.0,1030.0,51467.0
"Census Tract 49, Spokane County, Washington",53063004900,004900,2255.0,60.0,2242.0,60.0,5708.0,299.0,1354.0,93162.0
"Census Tract 50, Spokane County, Washington",53063005000,005000,1782.0,218.0,1629.0,263.0,4395.0,121.0,899.0,59135.0
"Census Tract 101.01, Spokane County, Washington",53063010101,010101,1334.0,147.0,1306.0,157.0,3618.0,199.0,903.0,55852.0
"Census Tract 101.02, Spokane County, Washington",53063010102,010102,980.0,65.0,929.0,98.0,2820.0,135.0,542.0,89401.0
"Census Tract 102.01, Spokane County, Washington",53063010201,010201,1723.0,135.0,1531.0,251.0,4332.0,313.0,780.0,70407.0
"Census Tract 102.03, Spokane County, Washington",53063010203,010203,1449.0,0.0,1395.0,36.0,4404.0,292.0,599.0,108194.0
"Census Tract 102.04, Spokane County, Washington",53063010204,010204,939.0,35.0,937.0,35.0,3134.0,143.0,600.0,79417.0
"Census Tract 103.01, Spokane County, Washington",53063010301,010301,1833.0,154.0,1683.0,304.0,4807.0,123.0,813.0,52959.0
"Census Tract 103.03, Spokane County, Washington",53063010303,010303,1210.0,26.0,1192.0,26.0,3572.0,179.0,712.0,75635.0
"Census Tract 103.04, Spokane County, Washington",53063010304,010304,2074.0,183.0,1928.0,289.0,5700.0,143.0,1071.0,54171.0
"Census Tract 103.05, Spokane County, Washington",53063010305,010305,2604.0,40.0,2512.0,111.0,7606.0,340.0,1132.0,100705.0
"Census Tract 104.01, Spokane County, Washington",53063010401,010401,1636.0,116.0,1583.0,134.0,7675.0,60.0,616.0,55490.0
"Census Tract 104.03, Spokane County, Washington",53063010403,010403,1148.0,74.0,1130.0,88.0,3351.0,72.0,636.0,83542.0
"Census Tract 104.04, Spokane County, Washington",53063010404,010404,1157.0,102.0,1048.0,209.0,2999.0,174.0,729.0,76063.0
"Census Tract 105.04, Spokane County, Washington",53063010504,010504,1307.0,21.0,1288.0,40.0,3367.0,64.0,714.0,76339.0
"Census Tract 105.05, Spokane County, Washington",53063010505,010505,1241.0,0.0,1212.0,29.0,3680.0,94.0,545.0,88681.0
"Census Tract 105.06, Spokane County, Washington",53063010506,010506,2264.0,137.0,2187.0,125.0,5294.0,412.0,1385.0,70208.0
"Census Tract 105.07, Spokane County, Washington",53063010507,010507,1590.0,68.0,1525.0,102.0,4060.0,154.0,1002.0,82422.0
"Census Tract 105.08, Spokane County, Washington",53063010508,010508,1313.0,9.0,1253.0,55.0,4248.0,430.0,555.0,128227.0
"Census Tract 106.01, Spokane County, Washington",53063010601,010601,1291.0,81.0,1285.0,81.0,3959.0,102.0,801.0,74837.0
"Census Tract 106.03, Spokane County, Washington",53063010603,010603,1884.0,26.0,1850.0,40.0,4275.0,138.0,1072.0,84962.0
"Census Tract 106.04, Spokane County, Washington",53063010604,010604,1273.0,69.0,1259.0,69.0,3465.0,86.0,698.0,102115.0
"Census Tract 107.01, Spokane County, Washington",53063010701,010701,1447.0,15.0,1390.0,15.0,4036.0,187.0,453.0,89963.0
"Census Tract 107.02, Spokane County, Washington",53063010702,010702,1135.0,27.0,1124.0,27.0,3686.0,146.0,320.0,111625.0
"Census Tract 108, Spokane County, Washington",53063010800,010800,823.0,148.0,750.0,193.0,2313.0,31.0,347.0,47083.0
"Census Tract 109.01, Spokane County, Washington",53063010901,010901,803.0,10.0,759.0,41.0,2232.0,182.0,467.0,62660.0
"Census Tract 109.02, Spokane County, Washington",53063010902,010902,685.0,0.0,685.0,0.0,3385.0,140.0,338.0,78693.0
"Census Tract 110, Spokane County, Washington",53063011000,011000,1388.0,88.0,1319.0,150.0,3461.0,46.0,538.0,61121.0
"Census Tract 111.02, Spokane County, Washington",53063011102,011102,1627.0,102.0,1604.0,92.0,4403.0,70.0,555.0,50243.0
"Census Tract 111.03, Spokane County, Washington",53063011103,011103,1422.0,263.0,1385.0,264.0,2844.0,25.0,1144.0,25202.0
"Census Tract 111.04, Spokane County, Washington",53063011104,011104,1164.0,130.0,1119.0,160.0,3255.0,37.0,423.0,33828.0
"Census Tract 112.02, Spokane County, Washington",53063011202,011202,1527.0,75.0,1450.0,110.0,4039.0,151.0,701.0,60685.0
"Census Tract 112.03, Spokane County, Washington",53063011203,011203,2321.0,337.0,2125.0,439.0,5610.0,102.0,1021.0,38458.0
"Census Tract 112.04, Spokane County, Washington",53063011204,011204,880.0,101.0,865.0,116.0,2049.0,56.0,631.0,51417.0
"Census Tract 113.01, Spokane County, Washington",53063011301,011301,1465.0,127.0,1465.0,127.0,3774.0,48.0,1084.0,92749.0
"Census Tract 113.02, Spokane County, Washington",53063011302,011302,1996.0,19.0,1899.0,37.0,5209.0,80.0,640.0,81210.0
"Census Tract 114, Spokane County, Washington",53063011400,011400,1987.0,128.0,2006.0,109.0,5288.0,260.0,853.0,57411.0
"Census Tract 115, Spokane County, Washington",53063011500,011500,603.0,26.0,585.0,31.0,1641.0,166.0,202.0,77583.0
"Census Tract 116, Spokane County, Washington",53063011600,011600,713.0,51.0,683.0,78.0,1742.0,53.0,248.0,53875.0
"Census Tract 117.01, Spokane County, Washington",53063011701,011701,1004.0,116.0,943.0,164.0,2249.0,44.0,458.0,55735.0
"Census Tract 117.02, Spokane County, Washington",53063011702,011702,3083.0,146.0,2725.0,340.0,7531.0,118.0,827.0,37020.0
"Census Tract 118, Spokane County, Washington",53063011800,011800,2470.0,377.0,1983.0,504.0,5677.0,182.0,1224.0,39885.0
"Census Tract 119, Spokane County, Washington",53063011900,011900,1873.0,189.0,1801.0,225.0,5189.0,454.0,817.0,53038.0
"Census Tract 120, Spokane County, Washington",53063012000,012000,1762.0,80.0,1697.0,136.0,3974.0,40.0,751.0,50679.0
"Census Tract 121, Spokane County, Washington",53063012100,012100,1008.0,111.0,956.0,146.0,2551.0,142.0,377.0,49646.0
"Census Tract 122, Spokane County, Washington",53063012200,012200,846.0,116.0,772.0,167.0,2303.0,53.0,269.0,53889.0
"Census Tract 123, Spokane County, Washington",53063012300,012300,2246.0,287.0,2147.0,324.0,6150.0,78.0,921.0,51847.0
"Census Tract 124.01, Spokane County, Washington",53063012401,012401,1825.0,343.0,1774.0,244.0,5856.0,207.0,1463.0,92024.0
"Census Tract 124.02, Spokane County, Washington",53063012402,012402,2394.0,53.0,2302.0,133.0,6501.0,252.0,1037.0,107585.0
"Census Tract 125, Spokane County, Washington",53063012500,012500,1221.0,124.0,1229.0,97.0,3729.0,31.0,560.0,55873.0
"Census Tract 126, Spokane County, Washington",53063012600,012600,1644.0,72.0,1471.0,175.0,4153.0,199.0,552.0,59395.0
"Census Tract 127.01, Spokane County, Washington",53063012701,012701,1561.0,285.0,1491.0,254.0,3735.0,44.0,824.0,48841.0
"Census Tract 127.02, Spokane County, Washington",53063012702,012702,857.0,42.0,826.0,60.0,2912.0,150.0,440.0,72740.0
"Census Tract 128.01, Spokane County, Washington",53063012801,012801,1591.0,48.0,1525.0,114.0,4322.0,54.0,608.0,55551.0
"Census Tract 128.02, Spokane County, Washington",53063012802,012802,1315.0,146.0,1293.0,168.0,3675.0,142.0,781.0,66430.0
"Census Tract 129.01, Spokane County, Washington",53063012901,012901,1061.0,136.0,955.0,214.0,3095.0,169.0,756.0,57846.0
"Census Tract 129.02, Spokane County, Washington",53063012902,012902,2500.0,139.0,2257.0,255.0,7631.0,176.0,1267.0,69663.0
"Census Tract 130.01, Spokane County, Washington",53063013001,013001,400.0,0.0,400.0,0.0,1106.0,122.0,187.0,116818.0
"Census Tract 130.02, Spokane County, Washington",53063013002,013002,1230.0,79.0,1137.0,172.0,2809.0,18.0,410.0,50394.0
"Census Tract 130.03, Spokane County, Washington",53063013003,013003,2178.0,150.0,2125.0,122.0,6322.0,311.0,1050.0,86474.0
"Census Tract 131.01, Spokane County, Washington",53063013101,013101,3365.0,58.0,2927.0,432.0,6852.0,348.0,1049.0,56166.0
"Census Tract 131.02, Spokane County, Washington",53063013102,013102,1981.0,84.0,1961.0,84.0,5135.0,235.0,936.0,83320.0
"Census Tract 132.01, Spokane County, Washington",53063013201,013201,2637.0,59.0,2500.0,162.0,7391.0,172.0,1442.0,64830.0
"Census Tract 132.03, Spokane County, Washington",53063013203,013203,1049.0,12.0,1026.0,12.0,2673.0,134.0,563.0,84509.0
"Census Tract 132.04, Spokane County, Washington",53063013204,013204,1550.0,52.0,1499.0,52.0,4813.0,518.0,633.0,101742.0
"Census Tract 132.05, Spokane County, Washington",53063013205,013205,1211.0,0.0,1141.0,70.0,3611.0,239.0,318.0,131750.0
"Census Tract 133, Spokane County, Washington",53063013300,013300,1182.0,26.0,1102.0,53.0,3354.0,225.0,486.0,111389.0
"Census Tract 134.01, Spokane County, Washington",53063013401,013401,2003.0,16.0,1977.0,28.0,5500.0,396.0,1009.0,130114.0
"Census Tract 135.01, Spokane County, Washington",53063013501,013501,633.0,18.0,571.0,80.0,1761.0,83.0,364.0,90020.0
"Census Tract 135.02, Spokane County, Washington",53063013502,013502,875.0,18.0,857.0,36.0,2293.0,204.0,454.0,106736.0
"Census Tract 135.03, Spokane County, Washington",53063013503,013503,2199.0,12.0,2181.0,12.0,6078.0,189.0,904.0,125453.0
"Census Tract 136, Spokane County, Washington",53063013600,013600,1897.0,65.0,1826.0,119.0,5158.0,177.0,639.0,78534.0
"Census Tract 137, Spokane County, Washington",53063013700,013700,1320.0,57.0,1219.0,134.0,3128.0,105.0,418.0,59778.0
"Census Tract 138, Spokane County, Washington",53063013800,013800,813.0,13.0,740.0,4.0,3464.0,89.0,0.0,60133.0
"Census Tract 139, Spokane County, Washington",53063013900,013900,2086.0,71.0,2075.0,82.0,5618.0,69.0,748.0,63594.0
"Census Tract 140.01, Spokane County, Washington",53063014001,014001,1658.0,75.0,1491.0,175.0,5326.0,108.0,432.0,30268.0
"Census Tract 140.02, Spokane County, Washington",53063014002,014002,2469.0,125.0,2372.0,160.0,6296.0,322.0,569.0,53773.0
"Census Tract 141, Spokane County, Washington",53063014100,014100,2182.0,195.0,2105.0,215.0,6201.0,415.0,1030.0,78068.0
"Census Tract 142, Spokane County, Washington",53063014200,014200,1426.0,78.0,1251.0,195.0,3547.0,298.0,597.0,71012.0
"Census Tract 143, Spokane County, Washington",53063014300,014300,1037.0,97.0,972.0,146.0,2939.0,92.0,427.0,58813.0
"Census Tract 144, Spokane County, Washington",53063014400,014400,1632.0,97.0,1560.0,123.0,4470.0,136.0,543.0,56613.0
"Census Tract 145, Spokane County, Washington",53063014500,014500,774.0,94.0,687.0,132.0,2001.0,38.0,216.0,34722.0
"Census Tract 9410, Stevens County, Washington",53065941000,941000,731.0,127.0,533.0,295.0,2203.0,18.0,370.0,35000.0
"Census Tract 9501.01, Stevens County, Washington",53065950101,950101,1591.0,285.0,1390.0,403.0,4596.0,43.0,1180.0,42037.0
"Census Tract 9501.02, Stevens County, Washington",53065950102,950102,1190.0,120.0,1080.0,219.0,2973.0,44.0,866.0,59669.0
"Census Tract 9502, Stevens County, Washington",53065950200,950200,1308.0,180.0,1115.0,293.0,4353.0,85.0,683.0,65427.0
"Census Tract 9503, Stevens County, Washington",53065950300,950300,977.0,64.0,938.0,96.0,2740.0,112.0,610.0,39185.0
"Census Tract 9505, Stevens County, Washington",53065950500,950500,1048.0,123.0,954.0,177.0,2510.0,8.0,832.0,43717.0
"Census Tract 9506, Stevens County, Washington",53065950600,950600,890.0,113.0,842.0,161.0,2440.0,43.0,587.0,63750.0
"Census Tract 9507, Stevens County, Washington",53065950700,950700,881.0,141.0,826.0,159.0,2424.0,87.0,588.0,43370.0
"Census Tract 9508, Stevens County, Washington",53065950800,950800,1234.0,145.0,1097.0,236.0,3316.0,129.0,968.0,66583.0
"Census Tract 9509, Stevens County, Washington",53065950900,950900,608.0,97.0,513.0,169.0,1513.0,66.0,507.0,44076.0
"Census Tract 9511, Stevens County, Washington",53065951100,951100,1423.0,84.0,1144.0,311.0,3598.0,200.0,931.0,51302.0
"Census Tract 9513.01, Stevens County, Washington",53065951301,951301,817.0,143.0,778.0,159.0,2889.0,50.0,468.0,63188.0
"Census Tract 9513.02, Stevens County, Washington",53065951302,951302,539.0,80.0,482.0,100.0,1420.0,35.0,346.0,63068.0
"Census Tract 9514.01, Stevens County, Washington",53065951401,951401,1156.0,248.0,1015.0,342.0,3832.0,2.0,834.0,50474.0
"Census Tract 9514.02, Stevens County, Washington",53065951402,951402,1524.0,16.0,1430.0,51.0,4426.0,110.0,785.0,96164.0
"Census Tract 9601, Lincoln County, Washington",53043960100,960100,733.0,36.0,700.0,48.0,1852.0,31.0,393.0,55491.0
"Census Tract 9602, Lincoln County, Washington",53043960200,960200,1283.0,53.0,1222.0,111.0,3245.0,238.0,784.0,62000.0
"Census Tract 9603, Lincoln County, Washington",53043960300,960300,1064.0,70.0,895.0,213.0,2628.0,129.0,728.0,67500.0
"Census Tract 9604, Lincoln County, Washington",53043960400,960400,1256.0,133.0,1146.0,235.0,3007.0,211.0,851.0,53314.0
"Census Tract 9400, Ferry County, Washington",53019940000,940000,523.0,127.0,401.0,220.0,1651.0,49.0,396.0,39375.0
"Census Tract 9701, Ferry County, Washington",53019970100,970100,1097.0,167.0,798.0,432.0,3024.0,135.0,802.0,36959.0
"Census Tract 9702, Ferry County, Washington",53019970200,970200,1063.0,198.0,960.0,253.0,2968.0,176.0,897.0,44283.0
"Census Tract 9703, Garfield County, Washington",53023970300,970300,897.0,89.0,801.0,170.0,2258.0,116.0,596.0,56923.0
"Census Tract 9701, Pend Oreille County, Washington",53051970100,970100,872.0,60.0,733.0,159.0,1973.0,22.0,660.0,56125.0
"Census Tract 9702, Pend Oreille County, Washington",53051970200,970200,1115.0,78.0,867.0,248.0,2824.0,106.0,700.0,51010.0
"Census Tract 9703, Pend Oreille County, Washington",53051970300,970300,1219.0,154.0,939.0,355.0,3238.0,29.0,725.0,48844.0
"Census Tract 9704, Pend Oreille County, Washington",53051970400,970400,1118.0,77.0,955.0,169.0,2682.0,149.0,748.0,54375.0
"Census Tract 9705, Pend Oreille County, Washington",53051970500,970500,1041.0,64.0,890.0,186.0,2871.0,132.0,741.0,68607.0
"Census Tract 1, Whitman County, Washington",53075000100,000100,1160.0,17.0,1050.0,75.0,6214.0,184.0,86.0,12473.0
"Census Tract 2.01, Whitman County, Washington",53075000201,000201,1878.0,27.0,1868.0,9.0,4294.0,99.0,448.0,57083.0
"Census Tract 2.02, Whitman County, Washington",53075000202,000202,945.0,0.0,881.0,45.0,2440.0,0.0,112.0,46484.0
"Census Tract 3, Whitman County, Washington",53075000300,000300,2351.0,41.0,2249.0,129.0,6061.0,227.0,709.0,82103.0
"Census Tract 4, Whitman County, Washington",53075000400,000400,1774.0,224.0,1594.0,231.0,4467.0,88.0,929.0,50859.0
"Census Tract 5, Whitman County, Washington",53075000500,000500,430.0,17.0,178.0,23.0,4033.0,207.0,7.0,21696.0
"Census Tract 6.01, Whitman County, Washington",53075000601,000601,2250.0,0.0,1885.0,20.0,4670.0,91.0,52.0,17294.0
"Census Tract 6.02, Whitman County, Washington",53075000602,000602,1947.0,50.0,1618.0,156.0,4379.0,30.0,92.0,21024.0
"Census Tract 7, Whitman County, Washington",53075000700,000700,1359.0,121.0,1218.0,196.0,3416.0,142.0,725.0,65900.0
"Census Tract 8, Whitman County, Washington",53075000800,000800,1283.0,141.0,1096.0,293.0,3686.0,51.0,826.0,54904.0
"Census Tract 9, Whitman County, Washington",53075000900,000900,1443.0,144.0,1314.0,178.0,3903.0,155.0,874.0,53597.0
"Census Tract 10, Whitman County, Washington",53075001000,001000,846.0,37.0,735.0,61.0,2014.0,101.0,441.0,57083.0
"Census Tract 9501, Adams County, Washington",53001950100,950100,1023.0,76.0,910.0,137.0,2606.0,82.0,505.0,52589.0
"Census Tract 9502, Adams County, Washington",53001950200,950200,548.0,64.0,487.0,116.0,1763.0,47.0,228.0,59886.0
"Census Tract 9503.01, Adams County, Washington",53001950301,950301,318.0,183.0,327.0,163.0,1581.0,3.0,259.0,39928.0
"Census Tract 9503.02, Adams County, Washington",53001950302,950302,566.0,55.0,515.0,88.0,2434.0,26.0,258.0,58884.0
"Census Tract 9503.03, Adams County, Washington",53001950303,950303,608.0,24.0,557.0,66.0,2514.0,110.0,271.0,50915.0
"Census Tract 9504, Adams County, Washington",53001950400,950400,713.0,163.0,685.0,168.0,3144.0,23.0,308.0,63750.0
"Census Tract 9505, Adams County, Washington",53001950500,950500,1519.0,175.0,1368.0,227.0,5660.0,149.0,365.0,48542.0
