"estimate","moe","variable","dataset"
171599,1280,"estimate_total","presence_of_a_computer_and_type_of_internet_subscription_in_household"
160060,1360,"estimate_total_has_a_computer","presence_of_a_computer_and_type_of_internet_subscription_in_household"
557,177,"estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","presence_of_a_computer_and_type_of_internet_subscription_in_household"
150737,1512,"estimate_total_has_a_computer_with_a_broadband_internet_subscription","presence_of_a_computer_and_type_of_internet_subscription_in_household"
8766,819,"estimate_total_has_a_computer_without_an_internet_subscription","presence_of_a_computer_and_type_of_internet_subscription_in_household"
11539,799,"estimate_total_no_computer","presence_of_a_computer_and_type_of_internet_subscription_in_household"
