"estimate","moe","variable","dataset"
171599,1280,"estimate_total","internet_subscriptions_in_household"
152144,1507,"estimate_total_with_an_internet_subscription","internet_subscriptions_in_household"
571,178,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
131100,1759,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
7131,502,"estimate_total_with_an_internet_subscription_satellite_internet_service","internet_subscriptions_in_household"
2166,379,"estimate_total_with_an_internet_subscription_other_service","internet_subscriptions_in_household"
4372,608,"estimate_total_internet_access_without_a_subscription","internet_subscriptions_in_household"
15083,1098,"estimate_total_no_internet_access","internet_subscriptions_in_household"
