tract,county,GEOID,has_computer,with_internet,work_from_home,broadband,median_income,median_age,total_population,number_providers,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms
130.03," Spokane County",53063013003,2178.0,2125.0,311.0,2125.0,86474.0,39.3,6322.0,7.0,55.5714285714286,236.760987586207,43.0145724137931,0.01564
131.01," Spokane County",53063013101,3365.0,2927.0,348.0,2927.0,56166.0,40.3,6852.0,6.0,64.8333333333333,270.776810249307,21.8779501385042,0.0122548476454294
131.02," Spokane County",53063013102,1981.0,1961.0,235.0,1942.0,83320.0,43.6,5135.0,4.0,57.0,244.876539145907,31.3096174377224,0.0151903914590747
132.01," Spokane County",53063013201,2637.0,2500.0,172.0,2482.0,64830.0,43.0,7391.0,7.0,62.7142857142857,285.096071428571,33.778875,0.0241547619047619
132.03," Spokane County",53063013203,1049.0,1026.0,134.0,1026.0,84509.0,42.2,2673.0,7.0,62.7142857142857,258.515573696145,46.1320340136054,0.0144353741496599
132.04," Spokane County",53063013204,1550.0,1499.0,518.0,1499.0,101742.0,36.3,4813.0,8.591160220994475,58.634908862221856,216.244224576271,22.8374300847458,0.0210847457627119
132.05," Spokane County",53063013205,1211.0,1141.0,239.0,1141.0,131750.0,34.3,3611.0,4.0,57.0,242.700719827586,28.3514590517241,0.018176724137931
133.0," Spokane County",53063013300,1182.0,1102.0,225.0,1090.0,111389.0,46.1,3354.0,12.0,54.9166666666667,91.7363712686567,9.42366231343284,0.062615671641791
134.01," Spokane County",53063013401,2003.0,1977.0,396.0,1977.0,130114.0,43.4,5500.0,7.0,54.1428571428571,249.50669346049,19.8425027247956,0.0171675749318801
135.01," Spokane County",53063013501,633.0,571.0,83.0,571.0,90020.0,45.9,1761.0,9.0,61.0,71.8207885196375,8.34738972809668,0.0549909365558912
135.02," Spokane County",53063013502,875.0,857.0,204.0,857.0,106736.0,54.4,2293.0,9.0,61.0,60.682339055794,11.4167296137339,0.0384077253218884
135.03," Spokane County",53063013503,2199.0,2181.0,189.0,2181.0,125453.0,41.1,6078.0,9.0,61.0,190.487001782531,27.5013654188948,0.026825311942959
136.0," Spokane County",53063013600,1897.0,1826.0,177.0,1826.0,78534.0,33.4,5158.0,10.0,61.9,180.596692857143,20.3919,0.0229857142857143
137.0," Spokane County",53063013700,1320.0,1219.0,105.0,1175.0,59778.0,37.7,3128.0,11.0,59.0,161.591202839757,22.5866470588235,0.0284381338742394
138.0," Spokane County",53063013800,813.0,740.0,89.0,740.0,60133.0,23.2,3464.0,10.0,60.9,270.598943396226,20.0872735849057,0.0153962264150943
139.0," Spokane County",53063013900,2086.0,2075.0,69.0,2063.0,63594.0,38.9,5618.0,10.0,58.9,159.135356495468,10.3148851963746,0.0640392749244713
140.01," Spokane County",53063014001,1658.0,1491.0,108.0,1491.0,30268.0,21.8,5326.0,8.0,63.5,203.448736842105,82.306271468144,0.0286925207756233
140.02," Spokane County",53063014002,2469.0,2372.0,322.0,2372.0,53773.0,24.9,6296.0,9.0,59.7777777777778,179.035244027304,68.5311365187713,0.0193105802047782
141.0," Spokane County",53063014100,2182.0,2105.0,415.0,2105.0,78068.0,39.8,6201.0,11.0,57.7272727272727,140.607463796478,22.5251213307241,0.0595812133072407
142.0," Spokane County",53063014200,1426.0,1251.0,298.0,1237.0,71012.0,44.4,3547.0,12.0,54.8333333333333,63.9087443181818,11.25496875,0.0651164772727273
143.0," Spokane County",53063014300,1037.0,972.0,92.0,949.0,58813.0,44.5,2939.0,13.0,53.7692307692308,44.8196851851852,9.48297777777778,0.047362962962963
144.0," Spokane County",53063014400,1632.0,1560.0,136.0,1560.0,56613.0,36.5,4470.0,8.0,61.125,222.272860465116,28.8882403100775,0.0118992248062015
145.0," Spokane County",53063014500,774.0,687.0,38.0,683.0,34722.0,41.4,2001.0,10.0,58.7,224.79854964539,33.390634751773,0.0147801418439716
9410.0," Stevens County",53065941000,731.0,533.0,18.0,529.0,35000.0,35.8,2203.0,8.0,50.5,42.9921271186441,16.1685508474576,0.0425338983050847
9501.01," Stevens County",53065950101,1591.0,1390.0,43.0,1370.0,42037.0,46.6,4596.0,7.0,63.4285714285714,106.840028688525,10.6452213114754,0.0447172131147541
9501.02," Stevens County",53065950102,1190.0,1080.0,44.0,1080.0,59669.0,51.3,2973.0,9.0,58.7777777777778,100.425046610169,10.1085211864407,0.049
9502.0," Stevens County",53065950200,1308.0,1115.0,85.0,1106.0,65427.0,40.1,4353.0,12.0,55.9166666666667,109.609589812332,11.3390777479893,0.0490241286863271
9503.0," Stevens County",53065950300,977.0,938.0,112.0,932.0,39185.0,40.7,2740.0,12.0,55.9166666666667,202.255346938776,14.9731088435374,0.0285238095238095
9505.0," Stevens County",53065950500,1048.0,954.0,8.0,954.0,43717.0,46.8,2510.0,11.0,56.4545454545455,201.386823529412,14.1555210084034,0.0298655462184874
9506.0," Stevens County",53065950600,890.0,842.0,43.0,831.0,63750.0,47.9,2440.0,12.0,55.9166666666667,109.407234741784,11.662896713615,0.060112676056338
9507.0," Stevens County",53065950700,881.0,826.0,87.0,823.0,43370.0,48.4,2424.0,9.0,59.6666666666667,155.322442857143,11.4665714285714,0.0394928571428571
9508.0," Stevens County",53065950800,1234.0,1097.0,129.0,1089.0,66583.0,59.1,3316.0,11.0,57.8181818181818,76.8503385714286,8.98769857142857,0.0517957142857143
9509.0," Stevens County",53065950900,608.0,513.0,66.0,504.0,44076.0,57.1,1513.0,9.0,59.6666666666667,79.7035625,8.3584921875,0.0986015625
9511.0," Stevens County",53065951100,1423.0,1144.0,200.0,1134.0,51302.0,53.1,3598.0,9.0,59.6666666666667,105.122777142857,8.32707428571429,0.0689714285714286
9513.01," Stevens County",53065951301,817.0,778.0,50.0,778.0,63188.0,38.3,2889.0,8.0,61.0,86.2236390374332,7.25500534759358,0.0693422459893048
9513.02," Stevens County",53065951302,539.0,482.0,35.0,482.0,63068.0,48.7,1420.0,9.0,56.3333333333333,119.671259090909,9.28081363636364,0.0520181818181818
9514.01," Stevens County",53065951401,1156.0,1015.0,2.0,965.0,50474.0,49.9,3832.0,6.0,64.6666666666667,43.3411340057637,7.41820028818444,0.0493414985590778
9514.02," Stevens County",53065951402,1524.0,1430.0,110.0,1430.0,96164.0,45.5,4426.0,8.0,61.0,151.963085,11.3925583333333,0.0407216666666667
9601.0," Lincoln County",53043960100,733.0,700.0,31.0,700.0,55491.0,37.4,1852.0,8.0,50.375,44.9228656716418,4.24394029850746,0.0473582089552239
9602.0," Lincoln County",53043960200,1283.0,1222.0,238.0,1201.0,62000.0,46.3,3245.0,13.0,56.4615384615385,71.6639079229122,7.55351605995717,0.0833019271948608
9603.0," Lincoln County",53043960300,1064.0,895.0,129.0,883.0,67500.0,48.9,2628.0,11.0,54.0,62.1507123893805,19.377203539823,0.102637168141593
9604.0," Lincoln County",53043960400,1256.0,1146.0,211.0,1136.0,53314.0,55.0,3007.0,13.0,56.4615384615385,41.0151884057971,7.75215942028986,0.0731304347826087
9400.0," Ferry County",53019940000,523.0,401.0,49.0,396.0,39375.0,43.9,1651.0,12.0,52.25,34.6059347826087,8.29621739130435,0.0845869565217391
9701.0," Ferry County",53019970100,1097.0,798.0,135.0,789.0,36959.0,52.8,3024.0,12.0,51.1666666666667,77.5839637681159,10.5729601449275,0.0504311594202899
9702.0," Ferry County",53019970200,1063.0,960.0,176.0,936.0,44283.0,54.5,2968.0,12.0,51.1666666666667,77.3357904191617,9.52116766467066,0.036874251497006
9703.0," Garfield County",53023970300,897.0,801.0,116.0,801.0,56923.0,49.7,2258.0,12.0,58.0,107.083171428571,68.9318857142857,0.0467571428571429
9701.0," Pend Oreille County",53051970100,872.0,733.0,22.0,727.0,56125.0,55.3,1973.0,7.0,63.0,59.1927902621723,14.8157640449438,0.0467940074906367
9702.0," Pend Oreille County",53051970200,1115.0,867.0,106.0,859.0,51010.0,52.1,2824.0,13.0,56.0769230769231,59.9432978056426,22.7075611285266,0.051705329153605
9703.0," Pend Oreille County",53051970300,1219.0,939.0,29.0,932.0,48844.0,47.9,3238.0,7.0,61.1428571428571,75.0938036809816,45.5999693251534,0.0549325153374233
9704.0," Pend Oreille County",53051970400,1118.0,955.0,149.0,955.0,54375.0,49.8,2682.0,8.0,59.75,64.9964388888889,55.480787037037,0.0406685185185185
9705.0," Pend Oreille County",53051970500,1041.0,890.0,132.0,867.0,68607.0,53.0,2871.0,8.0,59.75,68.4107468879668,41.1359585062241,0.02749377593361
1.0," Whitman County",53075000100,1160.0,1050.0,184.0,1050.0,12473.0,20.2,6214.0,8.0,57.0,209.425089108911,93.2302871287129,0.0190247524752475
2.01," Whitman County",53075000201,1878.0,1868.0,99.0,1868.0,57083.0,30.4,4294.0,9.0,54.2222222222222,233.224733333333,108.809954761905,0.0179428571428571
2.02," Whitman County",53075000202,945.0,881.0,0.0,881.0,46484.0,28.5,2440.0,7.0,57.8571428571429,215.907161764706,88.8487058823529,0.0187352941176471
3.0," Whitman County",53075000300,2351.0,2249.0,227.0,2249.0,82103.0,34.1,6061.0,12.0,53.5833333333333,243.692886363636,80.8863712121212,0.0295757575757576
4.0," Whitman County",53075000400,1774.0,1594.0,88.0,1594.0,50859.0,35.9,4467.0,8.0,57.5,196.557904458599,79.7048885350318,0.0212006369426752
