"GEOID","tract","not_citizen","naturalized_citizen","native_citizen","foreign_born","work_from_home","desktop_or_laptop","desktop_or_laptop_only","smartphone","smartphone_only","tablet_or_portable","has_computer","no_computer","internet_subscription","dial_up","broadband","satellite","other_internet_service","access_with_no_subscription","no_internet_access","sixty_five_and_older","median_income","mean_income","mean_d_mbps","mean_u_mbps","mean_lat_ms","number_providers","lowest_cost"
53063014400,144,96,162,4212,258,136,1304,47,1543,225,985,1632,97,1560,0,1350,78,9,46,123,543,56613,66854,222.272860465116,28.8882403100775,11.8992248062015,8,43
53063014500,145,49,45,1907,94,38,558,52,685,154,389,774,94,687,4,466,21,25,49,132,216,34722,51895,224.79854964539,33.390634751773,14.7801418439716,10,40
53065941000,9410,9,5,2189,14,18,476,39,651,159,420,731,127,533,4,316,152,7,30,295,370,35000,47680,42.9921271186441,16.1685508474576,42.5338983050847,8,30
53065950101,9501.01,63,87,4446,150,43,1228,205,1292,215,901,1591,285,1390,20,722,411,16,83,403,1180,42037,55067,106.840028688525,10.6452213114754,44.7172131147541,7,49
53065950102,9501.02,8,133,2832,141,44,974,139,984,39,779,1190,120,1080,0,415,358,111,11,219,866,59669,74905,100.425046610169,10.1085211864407,49,9,35
53065950200,9502,47,51,4255,98,85,1159,130,1030,120,847,1308,180,1115,9,407,437,62,80,293,683,65427,81776,109.609589812332,11.3390777479893,49.0241286863271,12,35
53065950300,9503,18,32,2690,50,112,871,145,784,69,616,977,64,938,6,772,68,0,7,96,610,39185,58859,202.255346938776,14.9731088435374,28.5238095238095,12,35
53065950500,9505,19,68,2423,87,8,727,52,935,206,631,1048,123,954,0,707,120,0,40,177,832,43717,61514,201.386823529412,14.1555210084034,29.8655462184874,11,35
53065950600,9506,75,23,2342,98,43,768,78,728,66,588,890,113,842,11,472,286,0,0,161,587,63750,73304,109.407234741784,11.662896713615,60.112676056338,12,35
53065950700,9507,43,48,2333,91,87,647,132,687,161,448,881,141,826,3,571,102,21,37,159,588,43370,53094,155.322442857143,11.4665714285714,39.4928571428571,9,43
53065950800,9508,17,35,3264,52,129,1141,105,1047,50,706,1234,145,1097,8,636,272,32,46,236,968,66583,84766,76.8503385714286,8.98769857142857,51.7957142857143,11,43
53065950900,9509,16,15,1482,31,66,512,117,455,53,328,608,97,513,9,265,132,6,23,169,507,44076,64276,79.7035625,8.3584921875,98.6015625,9,43
53065951100,9511,5,27,3566,32,200,1199,212,1071,134,819,1423,84,1144,10,572,310,30,52,311,931,51302,57637,105.122777142857,8.32707428571429,68.9714285714286,9,43
53065951301,9513.01,27,40,2822,67,50,680,5,793,125,453,817,143,778,0,375,236,22,23,159,468,63188,86023,86.2236390374332,7.25500534759358,69.3422459893048,8,43
53065951302,9513.02,0,5,1415,5,35,482,26,470,33,381,539,80,482,0,190,151,35,37,100,346,63068,82312,119.671259090909,9.28081363636364,52.0181818181818,9,20
53065951401,9514.01,1,78,3753,79,2,1012,40,1103,105,729,1156,248,1015,50,573,311,0,47,342,834,50474,65902,43.3411340057637,7.41820028818444,49.3414985590778,6,43
53065951402,9514.02,104,230,4092,334,110,1320,137,1340,173,1023,1524,16,1430,0,1264,143,0,59,51,785,96164,100803,151.963085,11.3925583333333,40.7216666666667,8,43
53075000100,1,292,65,5857,357,184,1092,17,1109,58,630,1160,17,1050,0,921,66,0,52,75,86,12473,28106,209.425089108911,93.2302871287129,19.0247524752475,8,20
53075000201,2.01,417,304,3573,721,99,1785,54,1715,52,1231,1878,27,1868,0,1739,72,0,28,9,448,57083,71188,233.224733333333,108.809954761905,17.9428571428571,9,20
53075000202,2.02,214,31,2195,245,0,897,0,885,13,744,945,0,881,0,815,17,0,19,45,112,46484,68729,215.907161764706,88.8487058823529,18.7352941176471,7,20
53075000300,3,448,277,5336,725,227,2272,130,2204,27,1779,2351,41,2249,0,1974,165,25,14,129,709,82103,102330,243.692886363636,80.8863712121212,29.5757575757576,12,20
53075000400,4,381,204,3882,585,88,1636,177,1513,90,1024,1774,224,1594,0,1423,102,29,173,231,929,50859,76081,196.557904458599,79.7048885350318,21.2006369426752,8,20
53075000500,5,363,100,3570,463,207,424,0,430,6,231,430,17,178,0,118,6,0,246,23,7,21696,32224,227.084375,13.688375,40.625,7,20
53075000601,6.01,1358,210,3102,1568,91,2156,0,2239,38,1509,2250,0,1885,0,1736,170,0,345,20,52,17294,30924,267.54025984252,123.38388976378,19.3700787401575,8,20
53075000602,6.02,413,166,3800,579,30,1843,42,1905,104,1322,1947,50,1618,0,1436,99,0,223,156,92,21024,32305,210.437129032258,111.333038709677,20.458064516129,7,20
53075000700,7,22,50,3344,72,142,1213,122,1111,42,976,1359,121,1218,6,895,239,71,66,196,725,65900,76123,128.314359477124,60.0831111111111,45.5424836601307,12,20
53075000800,8,35,49,3602,84,51,1091,148,1042,79,751,1283,141,1096,0,975,162,47,35,293,826,54904,68927,47.2315388349515,40.2632621359223,64.1019417475728,11,20
53075000900,9,27,20,3856,47,155,1265,183,1176,91,876,1443,144,1314,4,1008,161,19,95,178,874,53597,62761,172.811641791045,155.086537313433,13.7462686567164,17,20
53075001000,10,17,11,1986,28,101,791,103,713,14,526,846,37,735,27,492,189,17,87,61,441,57083,72181,50.9474124293785,31.4935197740113,34.7570621468927,19,20
