"tract","county","dataset","estimate_estimate_total","estimate_estimate_total_has_a_computer","estimate_estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","estimate_estimate_total_has_a_computer_with_a_broadband_internet_subscription","estimate_estimate_total_has_a_computer_without_an_internet_subscription","estimate_estimate_total_no_computer","moe_estimate_total","moe_estimate_total_has_a_computer","moe_estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","moe_estimate_total_has_a_computer_with_a_broadband_internet_subscription","moe_estimate_total_has_a_computer_without_an_internet_subscription","moe_estimate_total_no_computer"
25.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1014,828,0,701,127,186,194,198,13,98,147,86
25.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",197,186,0,168,18,11,72,75,13,73,30,18
26,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2083,2024,0,1960,64,59,253,268,13,281,65,73
29,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1227,1177,0,1160,17,50,221,220,13,222,19,25
30,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",966,853,11,752,90,113,106,104,15,102,50,42
31,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2184,2066,14,2004,48,118,297,294,23,298,57,82
32,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1574,1416,27,1303,86,158,273,241,23,238,46,127
35,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1838,1462,14,1245,203,376,162,184,17,193,93,118
36.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1218,1138,0,1082,56,80,288,289,13,291,35,66
36.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1699,1533,0,1491,42,166,286,290,13,285,52,116
1,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1177,1160,0,1050,110,17,169,171,18,177,64,27
38,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",894,854,0,806,48,40,96,97,13,102,27,23
2.01,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1905,1878,0,1849,29,27,329,322,13,314,29,33
39,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1023,951,12,829,110,72,144,142,15,141,60,46
2.02,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",945,945,0,881,64,0,159,159,13,159,56,13
40.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1326,1312,0,1289,23,14,288,288,13,285,30,22
3,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",2392,2351,0,2235,116,41,239,242,18,243,94,37
40.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1276,1257,0,1240,17,19,189,190,13,193,21,23
4,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1998,1774,0,1555,219,224,203,197,13,200,124,106
41,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1072,1030,0,965,65,42,119,124,13,129,60,47
5,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",447,430,0,169,261,17,109,111,13,93,84,20
42,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1936,1865,0,1820,45,71,201,214,13,215,31,48
6.01,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",2250,2250,0,1885,365,0,322,322,13,310,136,13
43,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1516,1423,10,1375,38,93,153,164,16,169,33,56
6.02,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1997,1947,0,1618,329,50,276,263,13,228,154,80
44,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2129,2038,0,1846,192,91,278,294,13,228,197,52
7,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1480,1359,6,1211,142,121,135,131,7,119,51,37
45,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1502,1486,0,1416,70,16,152,151,13,151,43,18
8,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1424,1283,0,1077,206,141,200,206,13,175,112,75
46.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2124,1744,7,1593,144,380,272,227,10,229,78,170
9,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",1587,1443,4,1286,153,144,141,132,6,128,54,32
46.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1230,1156,11,1075,70,74,196,213,17,214,46,65
10,"whitman","presence_of_a_computer_and_type_of_internet_subscription_in_household",883,846,26,708,112,37,122,120,17,95,80,18
47.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1136,1077,0,1036,41,59,195,199,13,209,54,64
47.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1697,1566,0,1536,30,131,188,185,13,188,33,91
48,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2057,1981,12,1671,298,76,285,285,19,221,205,37
49,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2315,2255,13,2229,13,60,230,234,21,236,21,54
50,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2000,1782,0,1613,169,218,239,233,13,243,111,118
9601,"lincoln","presence_of_a_computer_and_type_of_internet_subscription_in_household",769,733,0,700,33,36,82,91,13,93,26,28
101.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1481,1334,0,1272,62,147,227,243,13,245,52,103
9602,"lincoln","presence_of_a_computer_and_type_of_internet_subscription_in_household",1336,1283,21,1193,69,53,139,137,19,133,38,26
101.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1045,980,14,915,51,65,193,201,21,204,46,79
9603,"lincoln","presence_of_a_computer_and_type_of_internet_subscription_in_household",1134,1064,12,872,180,70,100,109,9,94,71,30
102.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1858,1723,0,1531,192,135,412,408,13,403,75,85
9604,"lincoln","presence_of_a_computer_and_type_of_internet_subscription_in_household",1389,1256,10,1136,110,133,135,135,8,127,37,42
102.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1449,1449,0,1395,54,0,99,99,13,113,62,13
102.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",974,939,20,917,2,35,125,127,30,131,13,38
103.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1987,1833,17,1666,150,154,195,183,19,164,89,79
103.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1236,1210,0,1192,18,26,153,163,13,163,19,40
103.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2257,2074,28,1886,160,183,212,216,32,212,113,126
103.05,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2644,2604,0,2497,107,40,516,515,18,506,143,41
104.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1752,1636,0,1577,59,116,153,153,18,142,38,62
