Label,With_Social_Security_income,No_Social_Security_income,tract,county,Standardized_With_Social_Security_income,Standardized_No_Social_Security_income,Index
Estimate,495,741,103.03,Spokane,-0.060482628,-0.55726687,-0.617749499
Estimate,868,"1,389",103.04,Spokane,1.492746768,0.946942694,2.439689462
Estimate,755,"1,889",103.05,Spokane,1.02219738,2.107598221,3.129795601
Estimate,411,"1,341",104.01,Spokane,-0.410271554,0.835519763,0.425248209
Estimate,496,726,104.03,Spokane,-0.056318475,-0.592086536,-0.648405011
Estimate,568,691,104.04,Spokane,0.243500605,-0.673332423,-0.429831819
Estimate,576,752,105.04,Spokane,0.276813836,-0.531732449,-0.254918613
Estimate,379,862,105.05,Spokane,-0.543524478,-0.276388233,-0.819912711
Estimate,"1,062","1,339",105.06,Spokane,2.30059262,0.830877141,3.131469761
Estimate,794,864,105.07,Spokane,1.184599381,-0.271745611,0.91285377
Estimate,356,966,105.08,Spokane,-0.639300017,-0.034971883,-0.6742719
Estimate,586,786,106.01,Spokane,0.318455374,-0.452807873,-0.134352498
Estimate,837,"1,073",106.03,Spokane,1.363657998,0.2134084,1.577066398
Estimate,477,865,106.04,Spokane,-0.135437398,-0.2694243,-0.404861698
Estimate,442,"1,020",107.01,Spokane,-0.281182784,0.090378914,-0.19080387
Estimate,263,899,107.02,Spokane,-1.026566328,-0.190499724,-1.217066052
Estimate,309,662,108,Spokane,-0.83501525,-0.740650444,-1.575665694
Estimate,395,418,109.01,Spokane,-0.476898016,-1.307050341,-1.783948358
Estimate,251,434,109.02,Spokane,-1.076536175,-1.269909364,-2.346445539
Estimate,437,"1,039",110,Spokane,-0.302003553,0.134483824,-0.167519729
Estimate,440,"1,289",111.02,Spokane,-0.289511092,0.714811588,0.425300496
Estimate,862,823,111.03,Spokane,1.467761845,-0.366919364,1.100842481
Estimate,360,934,111.04,Spokane,-0.622643402,-0.109253837,-0.731897239
Estimate,577,"1,025",112.02,Spokane,0.28097799,0.101985469,0.382963459
Estimate,901,"1,757",112.03,Spokane,1.630163846,1.801185162,3.431349008
Estimate,510,471,112.04,Spokane,0.00197968,-1.184020855,-1.182041176
Estimate,665,927,113.01,Spokane,0.647423531,-0.125503014,0.521920517
Estimate,553,"1,462",113.02,Spokane,0.181038296,1.116398401,1.297436697
Estimate,826,"1,289",114,Spokane,1.317852305,0.714811588,2.032663893
Estimate,177,452,115,Spokane,-1.384683562,-1.228125765,-2.612809327
Estimate,218,546,116,Spokane,-1.213953253,-1.009922526,-2.223875779
Estimate,446,674,117.01,Spokane,-0.264526168,-0.712794711,-0.97732088
Estimate,787,"2,442",117.02,Spokane,1.155450304,3.391283235,4.546733539
Estimate,"1,062","1,785",118,Spokane,2.30059262,1.866181871,4.166774492
Estimate,720,"1,342",119,Spokane,0.876451994,0.837841074,1.714293068
Estimate,554,"1,288",120,Spokane,0.18520245,0.712490277,0.897692727
Estimate,339,780,121,Spokane,-0.710090633,-0.466735739,-1.176826373
Estimate,264,698,122,Spokane,-1.022402174,-0.657083246,-1.67948542
Estimate,875,"1,658",123,Spokane,1.521895845,1.571375367,3.093271213
Estimate,"1,028","1,140",124.01,Spokane,2.159011388,0.368936241,2.527947629
Estimate,779,"1,668",124.02,Spokane,1.122137073,1.594588478,2.716725551
Estimate,363,982,125,Spokane,-0.61015094,0.002169094,-0.607981846
Estimate,420,"1,296",126,Spokane,-0.372794169,0.731060765,0.358266596
Estimate,685,"1,161",127.01,Spokane,0.730706608,0.417683773,1.148390381
Estimate,332,567,127.02,Spokane,-0.739239711,-0.961174994,-1.700414705
Estimate,492,"1,147",128.01,Spokane,-0.07297509,0.385185418,0.312210328
Estimate,674,787,128.02,Spokane,0.684900916,-0.450486562,0.234414354
Estimate,564,633,129.01,Spokane,0.226843989,-0.807968464,-0.581124475
Estimate,883,"1,756",129.02,Spokane,1.555209076,1.798863851,3.354072927
Estimate,117,283,130.01,Spokane,-1.634532794,-1.620427334,-3.254960128
