"","tract","county","estimate","moe","variable","dataset"
"445",129.01,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"446",129.02,"spokane",14,22,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"447",130.01,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"448",130.02,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"449",130.03,"spokane",0,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"450",131.01,"spokane",0,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"451",131.02,"spokane",19,36,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"452",132.01,"spokane",18,28,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"453",132.03,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"454",132.04,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"455",132.05,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"456",133,"spokane",12,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"457",134.01,"spokane",0,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"458",135.01,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"459",2.01,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"460",2.02,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"461",3.01,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"462",1,"whitman",0,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"463",3.02,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"464",2.01,"whitman",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"465",4,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"466",2.02,"whitman",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"467",5,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"468",3,"whitman",0,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"469",6,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"470",4,"whitman",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"471",7,"spokane",0,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"472",5,"whitman",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"473",8,"spokane",9,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"474",6.01,"whitman",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"475",9,"spokane",11,19,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"476",6.02,"whitman",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"477",10,"spokane",0,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"478",7,"whitman",6,7,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"479",11,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"480",8,"whitman",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"481",12,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"482",9,"whitman",4,6,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"483",13,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"484",10,"whitman",27,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"485",14,"spokane",11,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"486",15,"spokane",0,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"487",16,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"488",18,"spokane",5,8,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"489",19,"spokane",5,8,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"490",38,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"491",20,"spokane",18,19,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"492",39,"spokane",12,15,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"493",21,"spokane",29,29,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"494",40.01,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"495",23,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"496",40.02,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"497",24,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"498",41,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"499",25.01,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"500",42,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"501",25.02,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"502",43,"spokane",10,16,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"503",25.03,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"504",103.03,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"505",44,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"506",26,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"507",103.04,"spokane",28,32,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"508",45,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"509",29,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"510",103.05,"spokane",0,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"511",46.01,"spokane",7,10,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"512",30,"spokane",11,15,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"513",104.01,"spokane",0,18,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"514",46.02,"spokane",11,17,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"515",31,"spokane",14,23,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"516",104.03,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"517",47.01,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"518",32,"spokane",27,23,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"519",104.04,"spokane",45,48,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"520",47.02,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"521",35,"spokane",14,17,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"522",105.04,"spokane",7,12,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"523",48,"spokane",12,19,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"524",36.01,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"525",105.05,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"526",49,"spokane",13,21,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"527",36.02,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"528",50,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"529",101.01,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"530",101.02,"spokane",14,21,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"531",102.01,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"532",102.03,"spokane",0,13,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"533",102.04,"spokane",20,30,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"534",103.01,"spokane",17,19,"estimate_total_with_an_internet_subscription_dial-up_alone","internet_subscriptions_in_household"
"535",9501,"adams",597,91,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"536",9502,"adams",223,54,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"537",9503.01,"adams",80,46,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"538",9503.02,"adams",340,105,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"539",9503.03,"adams",436,130,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"540",9504,"adams",488,100,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"541",9505,"adams",1076,166,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"542",9601,"asotin",1183,197,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"543",9603,"lincoln",514,81,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"544",9602,"asotin",1414,189,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"545",9604,"lincoln",755,118,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"546",9603,"asotin",822,155,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"547",9604,"asotin",463,87,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"548",9605,"asotin",956,119,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"549",9606,"asotin",1041,176,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"550",9703,"garfield",513,76,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"551",1,"whitman",921,183,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"552",2.01,"whitman",1739,306,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"553",2.02,"whitman",815,186,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"554",3,"whitman",1974,248,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"555",4,"whitman",1423,207,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"556",5,"whitman",118,81,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"557",6.01,"whitman",1736,299,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"558",6.02,"whitman",1436,245,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"559",7,"whitman",895,121,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"560",8,"whitman",975,156,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"561",9,"whitman",1008,111,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"562",10,"whitman",492,67,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"563",9400,"ferry",135,36,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"564",9701,"ferry",439,119,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"565",9702,"ferry",668,139,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"566",105.06,"spokane",1937,246,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"567",105.07,"spokane",1459,191,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"568",105.08,"spokane",1072,201,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"569",106.01,"spokane",1195,130,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"570",106.03,"spokane",1722,277,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"571",106.04,"spokane",1197,187,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"572",9601,"lincoln",546,101,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"573",107.01,"spokane",1336,166,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"574",9602,"lincoln",587,100,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"575",107.02,"spokane",1001,152,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"576",135.02,"spokane",645,171,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"577",108,"spokane",674,95,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"578",135.03,"spokane",1678,327,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"579",109.01,"spokane",648,141,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"580",136,"spokane",1468,226,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"581",109.02,"spokane",612,89,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"582",137,"spokane",760,123,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"583",110,"spokane",1111,171,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"584",138,"spokane",728,114,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"585",111.02,"spokane",1433,248,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"586",139,"spokane",1640,240,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"587",111.03,"spokane",1147,292,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"588",140.01,"spokane",1191,200,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"589",111.04,"spokane",940,229,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"590",140.02,"spokane",2135,314,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"591",112.02,"spokane",1218,224,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"592",141,"spokane",1585,297,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"593",112.03,"spokane",1974,341,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"594",142,"spokane",631,130,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"595",112.04,"spokane",804,164,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"596",143,"spokane",552,74,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"597",113.01,"spokane",1132,291,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"598",144,"spokane",1350,202,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"599",113.02,"spokane",1561,280,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"600",145,"spokane",466,132,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"601",114,"spokane",1677,313,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"602",9410,"stevens",316,65,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"603",115,"spokane",505,134,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"604",9501.01,"stevens",722,136,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"605",116,"spokane",567,60,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"606",9501.02,"stevens",415,130,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"607",117.01,"spokane",706,136,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"608",9502,"stevens",407,98,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"609",117.02,"spokane",2073,350,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"610",9503,"stevens",772,98,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"611",118,"spokane",1529,275,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"612",9505,"stevens",707,174,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"613",119,"spokane",1584,270,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"614",9506,"stevens",472,95,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"615",120,"spokane",1478,328,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"616",2.01,"spokane",996,163,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"617",9507,"stevens",571,89,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"618",121,"spokane",725,134,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"619",2.02,"spokane",427,134,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"620",9508,"stevens",636,134,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"621",122,"spokane",647,95,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"622",3.01,"spokane",792,160,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"623",9509,"stevens",265,42,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"624",123,"spokane",1685,295,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"625",3.02,"spokane",763,175,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"626",9511,"stevens",572,112,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"627",124.01,"spokane",1618,262,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"628",4,"spokane",1292,229,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"629",9513.01,"stevens",375,90,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"630",124.02,"spokane",1982,192,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"631",5,"spokane",1186,123,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"632",9513.02,"stevens",190,58,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"633",125,"spokane",1027,149,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"634",6,"spokane",987,129,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"635",9514.01,"stevens",573,166,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"636",126,"spokane",1207,182,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"637",7,"spokane",1775,323,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"638",9514.02,"stevens",1264,139,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"639",127.01,"spokane",1306,214,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"640",8,"spokane",1566,138,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"641",127.02,"spokane",744,143,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"642",9,"spokane",1829,230,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"643",128.01,"spokane",1174,161,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"644",10,"spokane",1616,167,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"645",128.02,"spokane",1153,182,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"646",11,"spokane",1246,204,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"647",129.01,"spokane",854,130,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"648",12,"spokane",797,95,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"649",129.02,"spokane",1987,296,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"650",13,"spokane",1262,194,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"651",130.01,"spokane",339,104,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"652",14,"spokane",1952,230,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"653",130.02,"spokane",901,175,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"654",15,"spokane",1761,208,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"655",130.03,"spokane",1850,282,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
"656",16,"spokane",849,164,"estimate_total_with_an_internet_subscription_broadband_such_as_cable,_fiber_optic,_or_dsl","internet_subscriptions_in_household"
