"GEOID","tract","not_citizen","naturalized_citizen","native_citizen","foreign_born","work_from_home","desktop_or_laptop","desktop_or_laptop_only","smartphone","smartphone_only","tablet_or_portable","has_computer","no_computer","internet_subscription","dial_up","broadband","satellite","other_internet_service","access_with_no_subscription","no_internet_access","sixty_five_and_older","median_income","mean_income","mean_d_mbps","mean_u_mbps","mean_lat_ms","number_providers","mean_lowest_cost"
53001950100,9501,-0.482363655581683,-0.136075258309812,-0.777232377829361,-0.423714443335673,-0.510108441957862,-0.880684514480399,0.0783680048007785,-0.734196022184026,0.54705325855597,-0.764806504706788,-0.665790469000585,-0.333236130813193,-0.740979978226913,-0.118166198621004,-0.886925011213706,-0.217574054063237,-0.18506067590042,0.186658167240503,-0.130705028348049,-0.398440946412257,-0.373236720717292,-0.506774725011994,-1.6218688536066,-0.934956177071987,0.733392235544064,1.70942179945995,-1.27481949652278
53001950200,9502,0.0877732897065167,-1.06718500408365,-1.42357437817732,-0.347868590909431,-0.865320941494729,-1.4833040073977,-1.1695152508646,-1.43481870039333,-0.463205964623195,-1.43618595799438,-1.53149136826876,-0.485406341515162,-1.54828928778183,-0.34821315976615,-1.63048709771127,0.0235599811449289,0.282980243800347,-0.617730177784425,-0.336734324468455,-1.27517706719985,-0.049143938749922,-0.608390563757087,-1.62991317272178,-0.953500941198665,1.63307660558109,1.70942179945995,-0.741816610854106
53001950301,9503.01,2.02843173809135,-0.818167281376691,-1.84320873148104,1.24068065157353,-1.31187379805536,-1.88898902550543,-1.24401574374015,-1.82362579104795,-0.368122743618097,-1.76824005582975,-1.95067285633545,1.0236149146127,-1.85365451125414,-0.50157780052958,-1.91479024843093,0.129658956636522,-0.686533089865528,-0.580316766387917,0.12437886208674,-1.17705858436802,-0.935569009670131,-0.917475225911744,-1.32168967013453,-0.794596029823178,1.59686497513659,-0.296447540587057,-1.63823055493324
53001950302,9503.02,2.49440904914421,0.946610492589996,-1.38904274981959,2.28566795166842,-1.07844844121685,-1.7649203063754,-1.56064283846122,-1.33665453394093,0.297459803417588,-1.31499833104716,-1.49868586050702,-0.599533999541639,-1.49485037367417,-0.50157780052958,-1.39787542894064,-0.854167907012793,-0.586238607072506,-0.449369826500138,-0.611440052628998,-1.18022369671744,-0.0936472918445232,-0.261890389867919,-1.33439208866274,-0.651406110616423,0.821233519697905,-0.296447540587057,-1.63823055493324
53001950303,9503.03,2.35187481282216,0.232037896996123,-1.25992448726459,1.89801137260096,-0.225938442328368,-1.58570993429868,-1.4488920991479,-1.28468526934848,-0.118529288479716,-1.48950851385115,-1.42213967572962,-0.992640377188393,-1.41469200251269,-0.50157780052958,-1.20701457251346,-0.767359654337854,-0.318786652957782,-0.617730177784425,-0.827280267612281,-1.13907723617506,-0.447586633971146,-0.091572256572905,-1.48631079680681,-0.757763042709155,0.499424821314356,-0.296447540587057,-1.63823055493324
53001950400,9504,3.36057863910128,0.372787044613098,-0.934876768158131,2.7281020908215,-1.10889522689144,-1.46951859416103,-0.703887170392447,-1.17304758985359,0.951156947827635,-1.18896319902205,-1.23077421378613,0.769997896776086,-1.17039982373485,-0.50157780052958,-1.1036316086154,-0.680551401662914,-0.85369056118723,-0.355836298008867,0.173433456401123,-1.02196807924675,0.122473782165785,-0.280011755005261,0.800290951044867,-0.0511627241498196,-0.193000802575494,0.205019794424694,-1.86435299127754
53001950500,9505,6.30445882775285,3.69663229987551,0.320272853888075,6.28442983791863,0.169869771441284,-0.776309242831323,-1.09501475798906,0.451473125554798,4.20775726725224,-0.313988532463137,0.238183522656286,0.922168107478055,0.133127973962569,-0.50157780052958,0.0653911370010937,0.53476413578624,-0.85369056118723,1.06587333505845,0.752277669310837,-0.841556675330173,-0.55298229953351,-0.460317446538809,-0.100428698502358,0.0206919253602903,-0.0974351772917735,0.205019794424694,-1.86435299127754
53003960100,9601,0.142594149830382,-0.948089571484668,0.480169306935827,-0.259381763078815,0.129274057208499,0.582538633354753,1.23312564437173,0.293640544199955,-0.308695730489911,0.488273557927447,0.502450112959202,0.1993596066437,0.516743035949656,0.111880762524142,0.278121466560558,1.29674768704404,0.717589669236773,-0.224889358121088,0.320597239344271,2.23493252829993,0.575146611247796,0.997866056287273,-1.0591396889579,0.283138499075115,1.17991287772378,1.70942179945995,-0.184586321291385
53003960200,9602,-0.515256171656002,-0.352612408489774,0.855513093432898,-0.533269563506912,2.93037833927065,0.940959377508182,-0.0520078577314257,0.828731490744424,-0.0709876779771666,1.31719692624642,0.881535980428212,0.503700028047639,0.919443424403762,1.56884484977673,0.737380402338468,-0.140411162796624,-0.419081135750804,-0.561610060689663,0.703223074996454,2.28240921354113,0.532775155307427,0.722716393147638,-0.640565628169329,-0.430446736173577,-0.154165975055806,2.2108891344717,0.419235129606009
53003960300,9603,-0.252116043061449,-0.872301568921682,0.0132416365334706,-0.533269563506912,-1.28142701238077,-0.441520635655044,-0.461760568546925,-0.106715271919648,1.18886500034038,-0.32125979007997,-0.199223247500265,-0.219108472786716,-0.27148094713824,-0.50157780052958,-0.439594878962495,-0.690196763071241,-0.519375618543825,-0.486783237896646,0.408895509110159,-0.743438192498349,-1.01778029368022,-1.14926980669774,-0.314475758480516,-0.27278359489505,0.109627407137373,1.2079544644482,0.396871372165358
53003960400,9604,-0.438506967482591,-0.796513566358695,-0.80425713045715,-0.647038342146275,-1.04800165554226,-0.888561893472782,0.469495592397391,-1.02676373396374,0.0478663482792057,-0.820552813102508,-0.815237782137407,-0.624895701325301,-0.941375906130615,5.09623158733563,-1.15333495664332,-0.227219415471563,-0.452512630015144,-0.617730177784425,0.291164482755641,0.0510050072044861,-0.986690126847662,-1.1420439596388,-0.855231588223899,-0.405861477074884,-0.275487942502493,-0.296447540587057,1.12369348898629
53003960500,9605,0.115183719768449,-0.536668986142741,-0.147405504087276,-0.120331033630705,-1.07844844121685,-0.0870385809978061,0.227368990551869,-0.164458899244591,0.404428427048323,-0.442447417027188,-0.0789363857072135,0.99825321282904,-0.191322575976759,-0.0414838782392886,-0.173184933532885,-0.381545198004789,-0.352218147222123,-0.337129592310613,1.50771842175233,0.0130236590115219,-0.815161234980048,-0.874687618458021,-0.0899203139832479,-0.475828753012512,-0.300265835808912,-0.296447540587057,1.12369348898629
53003960600,9606,-0.32886524723486,-0.796513566358695,0.214425906095901,-0.562765172783784,-0.175193799537387,0.287136921140389,1.47525224621725,0.162754988930084,-0.273039522613,-0.0110194650950914,0.280101671462955,-0.485406341515162,0.178932757483415,0.571974684814433,-0.00419355023798357,-0.429772005046422,1.05190461188018,-0.580316766387917,0.516815616601801,0.880264442750872,-0.312921797062134,-0.290680283123695,-0.57834858624442,-0.406505812304115,-0.0773443337995106,0.205019794424694,0.0738393202449487
53019940000,9400,-0.608451633866573,-1.00222385902966,-1.41681819002037,-0.857721265552503,-0.845023084378337,-1.58767927904678,-0.741137416830219,-1.57340340597319,-0.772226432889763,-1.33681210389766,-1.5770545734934,0.313487264670177,-1.71242309539819,-0.118166198621004,-1.80544288276953,0.746962086769425,-0.85369056118723,-0.243596063819342,0.683601237270701,-0.743438192498349,-0.96013024146785,-0.807876906907822,-1.95303067928538,-0.981497316817069,2.79995865215951,1.70942179945995,-1.85627718997952
53019970100,9701,-0.422060709445431,-1.04553128906565,-0.408644779489237,-0.731311511508766,0.0277847716265372,-0.76843186383894,1.62425323196834,-0.855457639566406,0.986813155704547,-0.854485348647729,-0.530923381535649,0.820721300343409,-0.954735634657529,0.188563082905857,-1.20105017075011,1.54752708366053,-0.251923664429101,-0.150062535328072,2.76351603620052,0.541597421363607,-1.06743573156421,-0.572677476722326,-1.44567562133805,-0.895513310989397,1.11718059139819,1.70942179945995,-2.17123344060191
53019970200,9702,-0.624897891903733,-0.70989870628671,-0.446179158138945,-0.756593462317514,0.443890842512582,-0.640424455212716,1.38212663012282,-0.892028603538869,0.20237658241249,-0.869027863881396,-0.59288934064116,1.21382767799016,-0.645553345891817,1.33879788863159,-0.745767502814435,0.226112570719788,-0.519375618543825,0.111831344447487,1.00736155974563,0.842283094557908,-0.742143757447588,-0.33815901641673,-1.44860530440663,-0.935235554799325,0.449262722074173,1.70942179945995,-2.17123344060191
53023970300,9703,-0.180848924900424,-1.11049243411964,-1.01219758817653,-0.571192489720033,-0.165044870979191,-0.837358930022292,-0.238259089920289,-0.913201266891348,-0.35623734099246,-0.898112894348728,-0.895429023332774,-0.168385069219392,-0.949010036717423,-0.50157780052958,-1.05392826058749,1.45107346957727,-0.385649641486463,-0.505489943594901,0.193055294126876,-0.110415722615612,-0.180744173499726,-0.483546085775402,-1.09743786904333,1.30848368791043,0.936170192227177,1.70942179945995,-0.184586321291385
53043960100,9601,-0.526220343680775,-0.915608998957674,-1.28319580202741,-0.760807120785638,-1.02770379842587,-1.16623950295428,-0.629386677516901,-1.14225098861362,-0.510747575125744,-1.15018315839894,-1.19432364960642,-0.840470166486424,-1.14177183403432,-0.50157780052958,-0.988319841190648,-0.873458629829447,-0.85369056118723,-0.393249709405376,-1.00387680714406,-0.75293352954659,-0.244345771934325,-0.538591151067327,-1.83123944798417,-1.13453657283662,0.96578334515445,-0.296447540587057,-2.40139377759522
53043960200,9602,-0.460435311532137,-0.904782141448676,-0.247246951295497,-0.706029560700019,1.07312441312075,-0.163843026173541,0.897873426431776,-0.374260745191883,-0.593945393505205,-0.381853603553579,-0.191933134664322,-0.624895701325301,-0.145517792455912,1.10875092748644,-0.906806350424871,2.33844671914332,0.182685761007325,-0.72997041197395,-0.385788918782838,0.484625399074161,0.0447483650843961,0.0918356310801888,-1.51556180149321,-1.00954635112327,2.73664819413439,2.2108891344717,-0.631861470104252
53043960300,9603,-0.515256171656002,-0.93726271397567,-0.700662245383959,-0.760807120785638,-0.03310879972264,-0.603006904998896,0.543996085272936,-0.632182280576627,-0.130414691105353,-0.541821271123907,-0.591066812432175,-0.409321236164177,-0.769607967927442,0.418610044051003,-1.05194012666638,0.746962086769425,0.550432197915071,-0.299716180914105,0.614924805230566,0.307379107506995,0.289028247340191,0.0787837083821036,-1.62786494766138,-0.56301017062792,3.68925132525307,1.2079544644482,-1.34750170820487
53043960400,9604,-0.575559117792254,-0.774859851340699,-0.419154405511155,-0.74395248691314,0.799103342049449,-0.244586160845467,1.38212663012282,-0.399282983699358,-0.0472168727258921,-0.461837437338743,-0.241141396306934,0.389572370021162,-0.290566273605259,0.265245403287572,-0.572799851677301,0.939869314935958,-0.352218147222123,-0.63643688348268,0.830765020213849,0.696687926484878,-0.341036190783573,-0.270856493286604,-1.87736952589726,-1.00204433895027,2.23552200973591,2.2108891344717,-0.631861470104252
53051970100,9701,-0.608451633866573,-0.14690211581881,-1.23440110978279,-0.524842246570663,-1.11904415544963,-0.872807135488016,0.7302473174618,-1.1672732271211,-0.70091401713594,-1.06777557207483,-0.940992228557415,-0.536129745082485,-1.07879025669315,-0.0414838782392886,-1.16526376017002,-0.420126643638095,0.182685761007325,-0.0378223011385466,0.0851351866352344,0.092151467746864,-0.216186963688839,0.151193505611481,-1.66278317885247,-0.735278574463229,0.937986428465995,-0.797914875598808,1.26905791235047
53051970200,9702,-0.498809913618843,-0.872301568921682,-0.560283669234054,-0.722884194572517,-0.266534156561153,-0.622700352479854,-0.443135445328038,-0.449327460714308,0.475740842802146,-0.527278755890241,-0.498117873773908,-0.307874429029531,-0.823046882035096,0.111880762524142,-0.817340323974629,-0.362254475188136,0.450137715122049,0.673032515395111,0.958306965431244,0.218755961723411,-0.443367254186728,-0.150324824544286,-1.65392344732929,-0.43723509750663,1.17995602206784,2.2108891344717,-0.743680257307476
53051970300,9703,-0.219223526987129,-0.14690211581881,-0.338080147627788,-0.225672495333819,-1.04800165554226,-0.352900121990734,0.413620222740732,-0.422380434629335,0.523282453304695,-0.658161392993236,-0.308574940039402,0.655870238749609,-0.685632531472557,0.0351984421424266,-0.775589511631183,0.592636304236199,2.28886989966078,0.691739221093365,2.00807528375903,0.297883770458754,-0.539569113271465,-0.638996376692597,-1.47507192789581,0.427325009978401,1.3389521096717,-0.797914875598808,0.729132911283485
53051970400,9704,-0.635862063928506,-0.764032993831701,-0.65562099100431,-0.786089071594386,0.169869771441284,-0.502570322846012,-0.852888156143537,-0.405057346431852,-0.213612509484813,-0.37700609847569,-0.492650289146951,-0.320555279921362,-0.655096009125327,-0.50157780052958,-0.684135351259824,-0.535870980538015,3.09122576200495,0.542085575507332,0.183244375264,0.370681354495268,-0.293912380770228,-0.30380786914177,-1.59427118435625,0.800486310862632,0.63619758649871,-0.296447540587057,0.324189160483265
53051970500,9705,-0.356275677296793,-0.125248400800814,-0.596316672737773,-0.322586640100684,-0.00266201404805143,-0.532110494067449,0.618496578148482,-0.716872933986543,-0.273039522613,-0.427904901793522,-0.632984961238844,-0.485406341515162,-0.779150631160952,1.26211556824987,-0.676182815575358,0.187531125086481,0.650726680708092,-0.243596063819342,0.3500299959329,0.348525568049373,0.338195125459675,0.112340390797181,-1.55396532404547,0.258736120584207,-0.012891870035191,-0.296447540587057,0.324189160483265
53063000201,2.01,-0.564594945767481,-0.579976416178733,-0.609078361478673,-0.659679317550649,-1.34232058372995,-0.671933971182248,-0.778387663267992,-0.370411170036887,0.903615337325087,-0.473956200033465,-0.381476068398828,0.173997904860039,-0.227584696264095,-0.50157780052958,-0.0936595766882257,-1.00849368954602,-0.619670101336847,-0.655143589180934,-0.405410756508591,-0.939675158161997,-1.06645861203519,-0.983869789202004,0.811892161818029,-0.446350505409979,-0.656188114879906,-0.797914875598808,1.18599252757093
53063000202,2.02,-0.575559117792254,-0.644937561232722,-1.64727927492957,-0.693388585295645,-1.19008665535701,-1.47936531790151,-1.56064283846122,-1.35012804698341,-0.0828730806028038,-1.44345721561121,-1.49139574767107,-0.713661657568116,-1.49485037367417,-0.50157780052958,-1.22490777780351,-0.690196763071241,-0.85369056118723,-0.617730177784425,-0.572196377177492,-1.68980678497304,-0.911229850492645,-1.22447914676671,1.23536712696391,1.48199831412018,-0.866075926028567,-0.296447540587057,0.723941324734776
53063000301,3.01,-0.416578623433045,-0.460880983579755,-0.795248879581221,-0.499560295761915,-0.0229598711644438,-0.831450895778005,-0.629386677516901,-0.57828822840668,0.392543024422686,-0.932045429893949,-0.660322884373628,-0.422002087056008,-0.616925356191288,-0.50157780052958,-0.49923889659599,-0.728778208704547,0.0823912782143036,-0.281009475215851,-0.562385458314615,-1.04095875334324,-1.11988928446314,-1.33063478471113,0.800428676987696,-0.420424919331949,-0.666656606915867,-0.296447540587057,0.723941324734776
53063000302,3.02,0.38380593437539,-0.558322701160737,-0.750958312774566,0.0777109143711497,-1.2205334410316,-0.955519614908038,1.56837786231168,-0.947847443286314,-0.522632977751382,-0.975672975594947,-0.806125141092479,-0.168385069219392,-0.802053022921375,-0.50157780052958,-0.556894780308369,-0.931330798279406,-0.753396078394209,0.448552047016061,-0.582007296040368,-1.00614251749968,-0.875920303875671,-0.508741971331706,1.02700701412009,0.544635093511531,-0.743024710506731,-0.296447540587057,0.723941324734776
53063000400,4,0.641463976957557,-0.818167281376691,0.052277390329166,0.174625059138015,0.413444056837993,-0.100823994234476,0.245994113770755,0.151206263465096,0.689678090063616,-0.0546470107960899,0.181685148177731,0.605146835182286,0.291536183638828,-0.50157780052958,0.494828063962256,-0.314027668146503,-0.85369056118723,-0.000408889742038293,-0.0522176774450367,-0.39211072171343,-0.759643079921912,-1.07186623034909,0.710484904576916,0.390416247410894,-0.761278529073873,0.205019794424694,-0.281495936867499
53063000500,5,-0.564594945767481,0.383613902122096,-0.114375250875534,-0.284663713887563,-0.631895584656216,-0.0890079257459019,0.394995099521846,-0.143286235892112,0.725334297940528,-0.238852203755861,-0.037018236900544,-0.2951935781377,0.0873231904417224,-0.50157780052958,0.284085868323908,-0.391190559413116,-0.719964584129868,-0.617730177784425,-0.552574539451739,-0.506054766292322,-0.313588014922831,-0.326658191778417,0.543471990491229,0.880566800884796,-0.78177741743622,0.205019794424694,-0.281495936867499
