"NAME","GEOID","has_computer","with_internet","total_population","65_and_older","number_providers","mean_lowest_cost","mean_d_mbps","mean_u_mbps","mean_lat_ms","index"
"Census Tract 9601, Asotin County, Washington",53003960100,0.502450112959202,0.516743035949656,0.411519219251792,2.23493252829993,1.70942179945995,-0.184586321291385,-1.0591396889579,0.283138499075115,1.17991287772378,-1.10829647917652
"Census Tract 9602, Asotin County, Washington",53003960200,0.881535980428212,0.919443424403762,0.721182676213658,2.28240921354113,2.2108891344717,0.419235129606009,-0.640565628169329,-0.430446736173577,-0.154165975055806,0.332177827521036
"Census Tract 9603, Asotin County, Washington",53003960300,-0.199223247500265,-0.27148094713824,-0.0775354817431559,-0.743438192498349,1.2079544644482,0.396871372165358,-0.314475758480516,-0.27278359489505,0.109627407137373,-1.0392157703635
"Census Tract 9604, Asotin County, Washington",53003960400,-0.815237782137407,-0.941375906130615,-0.871982419603944,0.0510050072044861,-0.296447540587057,1.12369348898629,-0.855231588223899,-0.405861477074884,-0.275487942502493,-3.20135103886535
"Census Tract 9605, Asotin County, Washington",53003960500,-0.0789363857072135,-0.191322575976759,-0.160112403599654,0.0130236590115219,-0.296447540587057,1.12369348898629,-0.0899203139832479,-0.475828753012512,-0.300265835808912,-0.904138159413205
"Census Tract 9606, Asotin County, Washington",53003960600,0.280101671462955,0.178932757483415,0.108262592433964,0.880264442750872,0.205019794424694,0.0738393202449487,-0.57834858624442,-0.406505812304115,-0.0773443337995106,-0.611228943609262
"Census Tract 2.01, Spokane County, Washington",53063000201,-0.381476068398828,-0.227584696264095,-0.689031825490842,-0.939675158161997,-0.797914875598808,1.18599252757093,0.811892161818029,-0.446350505409979,-0.656188114879906,-0.103935442295803
"Census Tract 2.02, Spokane County, Washington",53063000202,-1.49139574767107,-1.49485037367417,-1.67924301775281,-1.68980678497304,-0.296447540587057,0.723941324734776,1.23536712696391,1.48199831412018,-0.866075926028567,0.137754643707317
"Census Tract 3.01, Spokane County, Washington",53063000301,-0.660322884373628,-0.616925356191288,-0.838524528851742,-1.04095875334324,-0.296447540587057,0.723941324734776,0.800428676987696,-0.420424919331949,-0.666656606915867,-0.618523789347069
"Census Tract 3.02, Spokane County, Washington",53063000302,-0.806125141092479,-0.802053022921375,-0.698998005714902,-1.00614251749968,-0.296447540587057,0.723941324734776,1.02700701412009,0.544635093511531,-0.743024710506731,0.362811736373501
"Census Tract 4, Spokane County, Washington",53063000400,0.181685148177731,0.291536183638828,0.079075921777788,-0.39211072171343,0.205019794424694,-0.281495936867499,0.710484904576916,0.390416247410894,-0.761278529073873,2.31204353606775
"Census Tract 5, Spokane County, Washington",53063000500,-0.037018236900544,0.0873231904417224,-0.156553053519632,-0.506054766292322,0.205019794424694,-0.281495936867499,0.543471990491229,0.880566800884796,-0.78177741743622,2.23463771146225
"Census Tract 6, Spokane County, Washington",53063000600,-0.221093586008092,-0.141700727162509,-0.353029177936816,-0.923849596414929,-0.296447540587057,0.723941324734776,0.874049299803249,-0.0575297409469662,-0.59356848512877,0.775560950319336
"Census Tract 7, Spokane County, Washington",53063000700,1.35903837118245,1.28969875786394,1.06928711403976,0.0573352319033135,-0.296447540587057,0.723941324734776,1.4241518148504,1.05614589674467,-0.701057370625521,5.67056824385595
"Census Tract 8, Spokane County, Washington",53063000800,0.817747493113715,0.900358097936743,1.09562630463192,2.33938123583058,-0.296447540587057,0.723941324734776,0.696635139154436,1.35304384341239,-0.47839390767695,3.59010143854814
"Census Tract 9, Spokane County, Washington",53063000900,1.43740708416883,1.47482642459402,1.72990248889174,0.915080678594422,-0.296447540587057,0.723941324734776,0.926540368085004,1.30331505587493,-0.594292342946179,5.62797461043369
"Census Tract 10, Spokane County, Washington",53063001000,1.34628067371955,1.36604006373201,1.26433949842493,0.820127308112012,-0.296447540587057,0.723941324734776,0.759453103142347,1.36644475930193,-0.737645801481347,5.35582775643781
"Census Tract 11, Spokane County, Washington",53063001100,-0.140902344812725,0.0968658536752321,-0.212078914767967,-0.33197358707457,-0.296447540587057,0.723941324734776,0.946034799495148,1.25354294058175,-0.722573785650035,2.46972120003461
"Census Tract 12, Spokane County, Washington",53063001200,-0.829818007809292,-0.748614108813721,-0.90116909026012,-1.05994942743972,-0.296447540587057,0.723941324734776,0.481547533525178,0.290443498968607,-0.733393308666797,-0.409579781883998
"Census Tract 13, Spokane County, Washington",53063001300,0.0577532299667086,0.119768245435655,-0.226316315088053,-0.768759091293658,0.205019794424694,-0.281495936867499,0.809689479209202,-0.234988169000921,-0.748948065357726,1.45992584393509
"Census Tract 14, Spokane County, Washington",53063001400,1.69985114626276,1.77064898483282,1.75125858937187,-0.322478250026329,0.205019794424694,-0.281495936867499,1.11333042504508,1.46558423430594,-0.797577493696674,7.28593646927083
"Census Tract 15, Spokane County, Washington",53063001500,1.28978229924099,1.20190625611565,1.44871383257004,0.462469612628265,-0.296447540587057,0.723941324734776,0.737622607218004,2.43869679006153,-0.752252631638852,6.43429414344279
"Census Tract 16, Spokane County, Washington",53063001600,-0.38876618123477,-0.368816112120038,-0.283265916368396,-0.863712461776069,-0.296447540587057,0.723941324734776,1.05761213529061,1.99961445252113,-0.730720815663906,2.82008892705599
"Census Tract 18, Spokane County, Washington",53063001800,-0.549148663625505,-0.534858452383105,-0.597200593426288,-0.0407832509285107,-0.296447540587057,0.723941324734776,0.597540747608483,1.18797837044637,-0.762862134183408,0.958336813211083
