"tract","county","estimate_estimate_total","estimate_estimate_total_native","estimate_estimate_total_foreign-born","moe_estimate_total","moe_estimate_total_native","moe_estimate_total_foreign-born"
9501.02,"stevens",2973,2832,141,474,465,129
9502,"stevens",4353,4255,98,518,510,74
9503,"stevens",2740,2690,50,282,273,39
9505,"stevens",2510,2423,87,281,292,55
9506,"stevens",2440,2342,98,319,311,90
9507,"stevens",2424,2333,91,94,117,65
9508,"stevens",3316,3264,52,371,378,28
9509,"stevens",1513,1482,31,153,156,21
1,"whitman",6214,5857,357,535,522,135
2.01,"whitman",4294,3573,721,673,672,298
2.02,"whitman",2440,2195,245,379,276,233
3,"whitman",6061,5336,725,590,553,201
4,"whitman",4467,3882,585,518,495,239
5,"whitman",4033,3570,463,794,784,150
6.01,"whitman",4670,3102,1568,604,526,370
6.02,"whitman",4379,3800,579,709,717,183
7,"whitman",3416,3344,72,334,335,39
8,"whitman",3686,3602,84,390,400,86
9,"whitman",3903,3856,47,314,310,29
10,"whitman",2014,1986,28,255,249,24
2.01,"spokane",2774,2708,66,442,444,59
2.02,"spokane",1383,1325,58,260,251,59
3.01,"spokane",2564,2460,104,431,424,99
3.02,"spokane",2760,2519,241,627,614,172
4,"spokane",3853,3589,264,456,462,177
5,"spokane",3522,3367,155,588,546,97
6,"spokane",3246,3190,56,375,371,44
7,"spokane",5244,5158,86,827,833,67
8,"spokane",5281,5205,76,389,388,46
9,"spokane",6172,6077,95,715,721,70
10,"spokane",5518,5436,82,953,960,70
11,"spokane",3444,3326,118,523,514,82
12,"spokane",2476,2354,122,318,311,62
13,"spokane",3424,3340,84,531,510,48
14,"spokane",6202,5301,901,843,786,452
15,"spokane",5777,5711,66,720,723,56
16,"spokane",3344,2779,565,582,369,390
18,"spokane",2903,2636,267,468,424,176
19,"spokane",3652,3615,37,529,530,34
