"tract","county","median_income","mean_income","internet_with_subscription","dialup","broadband","satellite","other","internet_without_subscription","no_internet","total_native","total_foreign_born","not_citizen","naturalized_citizen","computer","no_computer","work_from_home","desktop_laptop","only_desktop_laptop","with_smartphone","only_smartphone","with_tablet","only_tablet","with_other","only_other","X65_older","median_age","moe_median_income","moe_mean_income","moe_internet_with_subscription","moe_dialup","moe_broadband","moe_satellite","moe_other","moe_no_subscription","moe_no_internet","moe_total_native","moe_total_foreign_born","moe_not_citizen","moe_naturalized_citizen","moe_computer","moe_no_computer","moe_work_from_home","moe_desktop_laptop","moe_only_desktop_laptop","moe_with_smartphone","moe_only_smartphone","moe_with_tablet","moe_only_tablet","moe_with_other","moe_only_other","moe_65_over","moe_median_age","index"
9501,"adams",NA,0.379143769361328,0.31089853091903,0.0471698113207547,0.232930159968787,0.179775280898876,0.149253731343284,0.144444444444444,0.271825396825397,0.334005647438483,0.0711785297549592,0.0206185567010309,0.183953033268102,0.304011887072808,0.2,0.158301158301158,0.265212803376715,0.363636363636364,0.269925280199253,0.331887201735358,0.274047186932849,0.204081632653061,0.107594936708861,0,0.345181134654819,0.720812182741117,NA,0.0647475363765785,0.179841897233202,0.0476190476190476,0.179487179487179,0.0816326530612245,0.206106870229008,0.110410094637224,0.0644490644490645,0.207957957957958,0.115044247787611,0.0627906976744186,0.112271540469974,0.143270622286541,0.126086956521739,0.109207708779443,0.204238921001927,0.141414141414141,0.15,0.0973084886128364,0.204365079365079,0.122950819672131,0.0657276995305164,0.240740740740741,0.140794223826715,0.335616438356164,5.86988866025684
127.01,"spokane",NA,0.423522011085659,0.509395285275026,0.0660377358490566,0.509559110417479,0.123595505617978,0.194029850746269,0.280555555555556,0.503968253968254,0.442517144009681,0.25904317386231,0.197349042709867,0.344422700587084,0.463893016344725,0.75,0.0849420849420849,0.488920154766092,0.855371900826446,0.409090909090909,0.27765726681128,0.433756805807622,0.0510204081632653,0.265822784810127,0,0.563226247436774,0.736040609137056,NA,0.13415423299499,0.407114624505929,0.0748299319727891,0.422090729783037,0.0994897959183673,0.236641221374046,0.20820189274448,0.230769230769231,0.240990990990991,0.628318584070796,0.627906976744186,0.221932114882507,0.306801736613603,0.478260869565217,0.0792291220556745,0.414258188824663,0.424242424242424,0.297142857142857,0.165631469979296,0.398809523809524,0.0737704918032787,0.154929577464789,0.240740740740741,0.303249097472924,0.164383561643836,9.2337375578206
113.01,"spokane",NA,0.597604833062324,0.50051247010591,0,0.441669918064768,0.312734082397004,0,0,0.251984126984127,0.482183676213527,0.109684947491249,0.040500736377025,0.26027397260274,0.435364041604755,0.334210526315789,0.0926640926640927,0.508617657404151,0.0702479338842975,0.440535491905355,0,0.507713248638838,0,0.177215189873418,0,0.740943267259057,0.791878172588832,NA,0.138998280548006,0.523715415019763,0.0884353741496599,0.57396449704142,0.227040816326531,0.099236641221374,0.0410094637223975,0.162162162162162,0.445945945945946,0.278761061946903,0.130232558139535,0.339425587467363,0.383502170767004,0.339130434782609,0.117773019271949,0.514450867052023,0.136363636363636,0.375714285714286,0.0269151138716356,0.537698412698413,0.10655737704918,0.211267605633803,0.240740740740741,0.82129963898917,0.363013698630137,7.09653838543726
105.07,"spokane",NA,0.671750560810891,0.52101127434233,0,0.569254779555209,0.136704119850187,0,0.0861111111111111,0.202380952380952,0.529380126395052,0.0717619603267211,0.0279823269513991,0.166340508806262,0.472511144130758,0.178947368421053,0.297297297297297,0.526908195568062,0.309917355371901,0.459215442092154,0.0997830802603037,0.517695099818512,0.173469387755102,0.151898734177215,0,0.684894053315106,0.896785109983079,NA,0.146809769445523,0.379446640316206,0.0884353741496599,0.3767258382643,0.122448979591837,0.099236641221374,0.116719242902208,0.155925155925156,0.379129129129129,0.161504424778761,0.104651162790698,0.143603133159269,0.277858176555716,0.304347826086957,0.156316916488223,0.393063583815029,0.393939393939394,0.257142857142857,0.151138716356108,0.275793650793651,0.221311475409836,0.131455399061033,0.240740740740741,0.393501805054152,0.178082191780822,7.75199998872066
49,"spokane",NA,0.795674931456447,0.765971984967544,0.122641509433962,0.765899336714787,0.398876404494382,0.843283582089552,0.0361111111111111,0.119047619047619,0.72381336560441,0.189614935822637,0.0648011782032401,0.463796477495108,0.670133729569094,0.157894736842105,0.577220077220077,0.755539922616954,0.586776859504132,0.646326276463263,0.0260303687635575,0.722323049001815,0.122448979591837,0,0,0.925495557074504,0.725888324873096,NA,0.190970103721782,0.462450592885375,0.142857142857143,0.50887573964497,0.301020408163265,0.67175572519084,0.0662460567823344,0.112266112266112,0.65015015015015,0.429203539823009,0.195348837209302,0.386422976501305,0.338639652677279,0.234782608695652,0.306209850107066,0.423892100192678,0.621212121212121,0.287142857142857,0.0393374741200828,0.420634920634921,0.155737704918033,0.0845070422535211,0.333333333333333,0.407942238267148,0.458904109589041,11.2056103179612
9502,"adams",NA,0.363203684141811,0.166381961052272,0.0188679245283019,0.0870074131876707,0.226591760299625,0.253731343283582,0.025,0.23015873015873,0.218233158531666,0.0816802800466744,0.0972017673048601,0.0156555772994129,0.162852897473997,0.168421052631579,0.0907335907335907,0.157580021104467,0.0867768595041322,0.156600249066002,0.147505422993492,0.148366606170599,0.0408163265306122,0.107594936708861,0,0.155844155844156,0.685279187817259,NA,0.0512784957568362,0.185770750988142,0.0204081632653061,0.106508875739645,0.11734693877551,0.152671755725191,0.0220820189274448,0.0831600831600832,0.246996996996997,0.289823008849558,0.306976744186047,0.0182767624020888,0.138929088277858,0.139130434782609,0.0599571734475375,0.186897880539499,0.0606060606060606,0.134285714285714,0.0703933747412008,0.10515873015873,0.040983606557377,0.0657276995305164,0.240740740740741,0.0974729241877256,0.431506849315068,3.89208490641335
127.02,"spokane",NA,0.481899754311419,0.282200204988042,0,0.290284822473664,0.0674157303370786,0.194029850746269,0.0361111111111111,0.119047619047619,0.373268791179239,0.0793465577596266,0.0824742268041237,0.0469667318982387,0.254680534918276,0.110526315789474,0.28957528957529,0.288427717200141,0.0867768595041322,0.25560398505604,0.0390455531453362,0.307168784029038,0,0.183544303797468,0,0.300751879699248,0.548223350253807,NA,0.058840386784255,0.278656126482213,0.0884353741496599,0.282051282051282,0.048469387755102,0.190839694656489,0.0504731861198738,0.0686070686070686,0.405405405405405,0.34070796460177,0.351162790697674,0.0496083550913838,0.201157742402315,0.143478260869565,0.190578158458244,0.275529865125241,0.0757575757575758,0.195714285714286,0.031055900621118,0.263888888888889,0.10655737704918,0.0892018779342723,0.240740740740741,0.124548736462094,0.335616438356164,4.71736997362468
113.02,"spokane",NA,0.507797941913048,0.648787154082679,0.00943396226415094,0.609051892313695,0.0749063670411985,0.0149253731343284,0.219444444444444,0.0734126984126984,0.64031195374479,0.260793465577596,0.0633284241531664,0.706457925636008,0.593164933135215,0.05,0.154440154440154,0.593739008090046,0.214876033057851,0.574719800747198,0.292841648590022,0.651088929219601,0.663265306122449,0.272151898734177,0,0.437457279562543,0.548223350253807,NA,0.11813374748091,0.606719367588933,0.0272108843537415,0.552268244575937,0.107142857142857,0.0305343511450382,0.384858044164038,0.0873180873180873,0.692192192192192,0.517699115044248,0.158139534883721,0.561357702349869,0.480463096960926,0.121739130434783,0.141327623126338,0.535645472061657,0.232323232323232,0.48,0.269151138716356,0.569444444444444,0.434426229508197,0.211267605633803,0.333333333333333,0.245487364620939,0.287671232876712,8.87461994467086
105.08,"spokane",NA,0.820534580371025,0.428083361803895,0,0.418259851736247,0.215355805243446,0,0.0388888888888889,0.109126984126984,0.561651203442248,0.0414235705950992,0.0103092783505155,0.111545988258317,0.390193164933135,0.0236842105263158,0.83011583011583,0.437565951459726,0.173553719008264,0.39134495641345,0.119305856832972,0.469147005444646,0,0,0,0.379357484620643,0.678510998307953,NA,0.166592711742193,0.438735177865613,0.0884353741496599,0.396449704142012,0.168367346938776,0.099236641221374,0.0757097791798107,0.139293139293139,0.5503003003003,0.11283185840708,0.0511627906976744,0.120104438642298,0.316931982633864,0.0739130434782609,0.657387580299786,0.416184971098266,0.202020202020202,0.315714285714286,0.178053830227743,0.367063492063492,0.10655737704918,0.0610328638497653,0.240740740740741,0.247292418772563,0.424657534246575,6.6479586904796
50,"spokane",NA,0.668100839139259,0.556542535018791,0,0.51931330472103,0.0617977528089888,0.402985074626866,0.3,0.521825396825397,0.561247814979158,0.128938156359393,0.0868924889543446,0.201565557729941,0.529569093610698,0.573684210526316,0.233590733590734,0.544846992613436,0.756198347107438,0.471357409713574,0.203904555314534,0.498185117967332,0.153061224489796,0.208860759493671,0,0.614490772385509,0.671742808798646,NA,0.267448739992974,0.478260869565217,0.0884353741496599,0.47534516765286,0.0841836734693878,0.412213740458015,0.264984227129338,0.288981288981289,0.518018018018018,0.334070796460177,0.276744186046512,0.214099216710183,0.337192474674385,0.51304347826087,0.248394004282655,0.433526011560694,0.45959595959596,0.34,0.151138716356108,0.428571428571429,0.19672131147541,0.140845070422535,0.240740740740741,0.42057761732852,0.23972602739726,9.46870094677485
