Label,Tract,County,Total households,Has one or more types of computing devices:,Desktop or laptop,Desktop or laptop with no other type of computing device,Smartphone,Smartphone with no other type of computing device,Tablet or other portable wireless computer,Tablet or other portable wireless computer with no other type of computing device,Other computer,Other computer with no other type of computing device,No computer,With an Internet subscription:,Dial-up with no other type of Internet subscription,Broadband of any type,Cellular data plan,Cellular data plan with no other type of Internet subscription,"Broadband such as cable, fiber optic or DSL",Satellite Internet service,Without an Internet subscription,"Less than $20,000:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$20,000 to $74,999:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$75,000 or more:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription
Estimate,7,Spokane,"2,231","2,134","1,836",92,"1,926",188,"1,454",35,65,14,97,"1,974",0,"1,974","1,778",168,"1,775",82,257,260,0,213,47,"1,360",0,"1,192",168,611,0,569,42
Estimate,8,Spokane,"1,955","1,837","1,752",196,"1,551",24,"1,299",17,15,0,118,"1,770",9,"1,761","1,486",102,"1,566",67,185,131,0,90,41,879,9,730,140,945,0,941,4
Estimate,9,Spokane,"2,368","2,177","2,006",182,"1,910",91,"1,649",16,50,0,191,"2,071",11,"2,060","1,791",214,"1,829",79,297,276,0,149,127,"1,231",11,"1,097",123,861,0,814,47
Estimate,10,Spokane,"2,309","2,127","1,823",90,"1,899",195,"1,386",44,78,0,182,"2,014",0,"2,014","1,862",360,"1,616",72,295,107,0,57,50,"1,217",0,"1,054",163,985,0,903,82
Estimate,11,Spokane,"1,411","1,311","1,236",80,"1,182",48,955,0,52,0,100,"1,349",0,"1,349","1,237",55,"1,246",62,62,42,0,32,10,767,0,721,46,602,0,596,6
Estimate,12,Spokane,989,933,821,63,820,66,609,0,33,0,56,906,0,906,827,76,797,40,83,80,0,57,23,632,0,572,60,277,0,277,0
Estimate,13,Spokane,"1,521","1,420","1,209",77,"1,319",106,935,5,43,0,101,"1,361",0,"1,361","1,228",70,"1,262",84,160,294,0,183,111,829,0,805,24,398,0,373,25
Estimate,14,Spokane,"2,415","2,321","2,105",67,"2,199",62,"1,434",14,13,0,94,"2,226",11,"2,215","2,047",249,"1,952",30,189,341,0,259,82,"1,693",11,"1,585",97,381,0,371,10
Estimate,15,Spokane,"2,395","2,096","1,666",134,"1,960",261,"1,225",0,17,0,299,"1,928",0,"1,928","1,731",114,"1,761",124,467,292,0,181,111,"1,612",0,"1,277",335,491,0,470,21
Estimate,16,Spokane,"1,354","1,175",762,37,"1,120",239,651,7,9,0,179,"1,105",0,"1,105","1,057",212,849,31,249,354,0,220,134,628,0,513,115,372,0,372,0
Estimate,18,Spokane,"1,375","1,087",948,107,893,40,604,43,23,0,288,"1,018",5,"1,013",909,143,858,53,357,340,0,174,166,705,5,521,179,330,0,318,12
Estimate,19,Spokane,"1,477","1,379","1,131",92,"1,235",123,957,0,36,0,98,"1,321",5,"1,316","1,186",146,"1,157",35,156,257,0,223,34,777,5,655,117,443,0,438,5
Estimate,20,Spokane,"1,707","1,600","1,203",79,"1,433",278,844,15,28,0,107,"1,515",18,"1,497","1,261",160,"1,272",55,192,441,18,342,81,993,0,890,103,273,0,265,8
Estimate,21,Spokane,"1,125","1,081",919,49,"1,015",82,698,0,27,0,44,"1,061",29,"1,032",968,79,938,28,64,123,29,76,18,544,0,498,46,458,0,458,0
Estimate,23,Spokane,"2,182","1,913","1,551",102,"1,758",191,"1,355",23,40,0,269,"1,852",0,"1,852","1,608",303,"1,485",122,330,610,0,422,188,869,0,796,73,703,0,634,69
Estimate,24,Spokane,"1,152",984,697,56,874,154,587,28,0,0,168,915,0,915,807,209,706,11,237,464,0,295,169,536,0,476,60,152,0,144,8
Estimate,25,Spokane,"1,111","1,096",895,95,972,83,633,15,15,0,15,"1,049",0,"1,049",937,188,861,15,62,319,0,299,20,576,0,534,42,216,0,216,0
