Label,Tract,County,Total households,Has one or more types of computing devices:,Desktop or laptop,Desktop or laptop with no other type of computing device,Smartphone,Smartphone with no other type of computing device,Tablet or other portable wireless computer,Tablet or other portable wireless computer with no other type of computing device,Other computer,Other computer with no other type of computing device,No computer,With an Internet subscription:,Dial-up with no other type of Internet subscription,Broadband of any type,Cellular data plan,Cellular data plan with no other type of Internet subscription,"Broadband such as cable, fiber optic or DSL",Satellite Internet service,Without an Internet subscription,"Less than $20,000:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$20,000 to $74,999:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$75,000 or more:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription
Estimate,128.02,Spokane,"1,461","1,315","1,186",33,"1,238",39,"1,005",10,30,10,146,"1,293",0,"1,293","1,217",104,"1,153",67,168,53,0,43,10,776,0,618,158,632,0,632,0
Estimate,129.01,Spokane,"1,197","1,061",944,170,854,47,670,8,27,0,136,955,0,955,745,70,854,73,242,227,0,126,101,622,0,491,131,348,0,338,10
Estimate,129.02,Spokane,"2,639","2,500","2,352",242,"2,143",123,"1,628",0,27,0,139,"2,257",14,"2,243","1,876",140,"1,987",49,382,79,0,41,38,"1,395",14,"1,095",286,"1,165",0,"1,107",58
Estimate,130.01,Spokane,400,400,380,20,360,0,271,20,0,0,0,400,0,400,349,61,339,0,0,23,0,23,0,75,0,75,0,302,0,302,0
Estimate,130.02,Spokane,"1,309","1,230","1,007",100,"1,110",174,677,0,48,0,79,"1,137",0,"1,137",962,214,901,22,172,135,0,101,34,923,0,785,138,251,0,251,0
Estimate,130.03,Spokane,"2,328","2,178","2,066",86,"2,040",0,"1,596",26,25,0,150,"2,125",0,"2,125","2,013",249,"1,850",42,203,282,0,239,43,797,0,637,160,"1,249",0,"1,249",0
Estimate,131.01,Spokane,"3,423","3,365","2,843",89,"3,212",393,"2,090",30,46,0,58,"2,927",0,"2,927","2,539",212,"2,563",138,496,146,0,146,0,"2,019",0,"1,543",476,"1,258",0,"1,238",20
Estimate,131.02,Spokane,"2,065","1,981","1,850",120,"1,836",49,"1,503",0,97,0,84,"1,961",19,"1,942","1,569",107,"1,731",273,104,187,0,187,0,737,0,633,104,"1,141",19,"1,122",0
Estimate,132.01,Spokane,"2,696","2,637","2,395",156,"2,375",126,"1,883",40,42,0,59,"2,500",18,"2,482","2,177",225,"2,185",113,196,213,0,174,39,"1,364",18,"1,189",157,"1,119",0,"1,119",0
Estimate,132.03,Spokane,"1,061","1,049",982,93,924,57,588,0,55,0,12,"1,026",0,"1,026",848,50,955,31,35,43,0,31,12,392,0,378,14,626,0,617,9
Estimate,132.04,Spokane,"1,602","1,550","1,370",31,"1,428",32,"1,386",91,10,0,52,"1,499",0,"1,499","1,410",70,"1,374",105,103,103,0,103,0,394,0,363,31,"1,105",0,"1,033",72
Estimate,132.05,Spokane,"1,211","1,211","1,060",65,"1,059",79,990,44,31,0,0,"1,141",0,"1,141","1,006",96,953,138,70,86,0,86,0,267,0,246,21,858,0,809,49
Estimate,133,Spokane,"1,208","1,182","1,175",113,"1,060",7,825,0,32,0,26,"1,102",12,"1,090",829,94,574,435,106,45,0,24,21,329,12,259,58,834,0,807,27
Estimate,134.01,Spokane,"2,019","2,003","1,957",68,"1,829",29,"1,572",17,67,0,16,"1,977",0,"1,977","1,840",90,"1,870",102,42,141,0,129,12,261,0,245,16,"1,617",0,"1,603",14
Estimate,135.01,Spokane,651,633,548,17,599,47,483,17,0,0,18,571,0,571,554,135,327,52,80,0,0,0,0,210,0,130,80,441,0,441,0
Estimate,135.02,Spokane,893,875,857,51,759,0,729,0,55,0,18,857,0,857,793,62,645,134,36,16,0,16,0,308,0,290,18,569,0,551,18
Estimate,135.03,Spokane,"2,211","2,199","2,087",26,"2,153",59,"1,714",0,9,0,12,"2,181",0,"2,181","2,055",171,"1,678",324,30,83,0,83,0,612,0,582,30,"1,516",0,"1,516",0
Estimate,136,Spokane,"1,962","1,897","1,676",53,"1,769",95,"1,480",11,36,0,65,"1,826",0,"1,826","1,631",234,"1,468",83,136,92,0,92,0,854,0,735,119,"1,016",0,999,17
Estimate,137,Spokane,"1,377","1,320",992,69,"1,192",208,822,13,39,0,57,"1,219",44,"1,175","1,030",212,760,194,158,116,0,86,30,727,41,595,91,534,3,494,37
Estimate,138,Spokane,826,813,804,5,808,4,625,0,0,0,13,740,0,740,740,12,728,22,86,50,0,50,0,544,0,458,86,232,0,232,0
Estimate,139,Spokane,"2,157","2,086","1,779",78,"1,959",248,"1,405",0,73,0,71,"2,075",12,"2,063","1,941",279,"1,640",299,82,274,0,227,47,931,12,896,23,952,0,940,12
Estimate,140.01,Spokane,"1,733","1,658","1,500",92,"1,423",82,911,18,15,0,75,"1,491",0,"1,491","1,386",199,"1,191",69,242,552,0,401,151,872,0,781,91,309,0,309,0
Estimate,140.02,Spokane,"2,594","2,469","2,331",30,"2,381",32,"1,946",0,37,0,125,"2,372",0,"2,372","2,332",154,"2,135",101,222,599,0,527,72,"1,121",0,990,131,874,0,855,19
Estimate,141,Spokane,"2,377","2,182","2,060",71,"2,015",98,"1,752",12,0,0,195,"2,105",0,"2,105","1,940",266,"1,585",198,272,142,0,80,62,951,0,767,184,"1,284",0,"1,258",26
Estimate,142,Spokane,"1,504","1,426","1,252",54,"1,251",79,863,13,48,40,78,"1,251",14,"1,237","1,016",233,631,420,253,174,0,145,29,637,0,546,91,693,14,546,133
Estimate,143,Spokane,"1,134","1,037",923,76,932,59,684,4,7,0,97,972,23,949,767,156,552,166,162,181,0,133,48,494,15,411,68,459,8,405,46
Estimate,144,Spokane,"1,729","1,632","1,304",47,"1,543",225,985,0,41,0,97,"1,560",0,"1,560","1,430",138,"1,350",78,169,215,0,181,34,945,0,833,112,569,0,546,23
Estimate,145,Spokane,868,774,558,52,685,154,389,0,12,0,94,687,4,683,567,180,466,21,181,275,4,211,60,431,0,357,74,162,0,115,47
Estimate,9410,Stevens,858,731,476,39,651,159,420,15,11,0,127,533,4,529,321,65,316,152,325,252,4,99,149,442,0,323,119,164,0,107,57
Estimate,9501.01,Stevens,"1,876","1,591","1,228",205,"1,292",215,901,14,25,0,285,"1,390",20,"1,370",998,264,722,411,486,389,18,230,141,"1,047",2,756,289,440,0,384,56
Estimate,9501.02,Stevens,"1,310","1,190",974,139,984,39,779,14,66,0,120,"1,080",0,"1,080",894,310,415,358,230,162,0,97,65,597,0,443,154,551,0,540,11
Estimate,9502,Stevens,"1,488","1,308","1,159",130,"1,030",120,847,10,17,0,180,"1,115",9,"1,106",929,238,407,437,373,216,0,124,92,635,9,495,131,637,0,487,150
Estimate,9503,Stevens,"1,041",977,871,145,784,69,616,29,17,0,64,938,6,932,688,124,772,68,103,191,0,141,50,595,6,536,53,255,0,255,0
Estimate,9505,Stevens,"1,171","1,048",727,52,935,206,631,24,0,0,123,954,0,954,724,144,707,120,217,345,0,233,112,586,0,481,105,240,0,240,0
Estimate,9506,Stevens,"1,003",890,768,78,728,66,588,46,24,0,113,842,11,831,601,106,472,286,161,193,0,114,79,384,5,302,77,426,6,415,5
Estimate,9507,Stevens,"1,022",881,647,132,687,161,448,29,10,0,141,826,3,823,574,150,571,102,196,226,0,132,94,567,3,468,96,229,0,223,6
Estimate,9508,Stevens,"1,379","1,234","1,141",105,"1,047",50,706,16,45,0,145,"1,097",8,"1,089",958,164,636,272,282,127,0,75,52,638,8,450,180,614,0,564,50
Estimate,9509,Stevens,705,608,512,117,455,53,328,11,11,0,97,513,9,504,290,102,265,132,192,112,0,68,44,415,6,270,139,178,3,166,9
Estimate,9511,Stevens,"1,507","1,423","1,199",212,"1,071",134,819,54,36,0,84,"1,144",10,"1,134",819,251,572,310,363,275,4,155,116,872,6,633,233,360,0,346,14
Estimate,9513.01,Stevens,960,817,680,5,793,125,453,3,11,0,143,778,0,778,628,186,375,236,182,61,0,21,40,526,0,403,123,373,0,354,19
Estimate,9513.02,Stevens,619,539,482,26,470,33,381,3,22,0,80,482,0,482,444,129,190,151,137,67,0,15,52,310,0,243,67,242,0,224,18
Estimate,9514.01,Stevens,"1,404","1,156","1,012",40,"1,103",105,729,0,53,0,248,"1,015",50,965,613,83,573,311,389,290,13,121,156,750,37,505,208,364,0,339,25
Estimate,9514.02,Stevens,"1,540","1,524","1,320",137,"1,340",173,"1,023",16,37,0,16,"1,430",0,"1,430","1,138",62,"1,264",143,110,61,0,45,16,465,0,405,60,"1,014",0,980,34
Estimate,1,Whitman,"1,177","1,160","1,092",17,"1,109",58,630,0,0,0,17,"1,050",0,"1,050",954,90,921,66,127,679,0,613,66,382,0,321,61,116,0,116,0
Estimate,2.01,Whitman,"1,905","1,878","1,785",54,"1,715",52,"1,231",34,11,0,27,"1,868",0,"1,868","1,712",101,"1,739",72,37,374,0,372,2,736,0,701,35,795,0,795,0
Estimate,2.02,Whitman,945,945,897,0,885,13,744,21,125,0,0,881,0,881,753,66,815,17,64,156,0,122,34,460,0,449,11,329,0,310,19
Estimate,3,Whitman,"2,392","2,351","2,272",130,"2,204",27,"1,779",0,36,0,41,"2,249",0,"2,249","2,122",130,"1,974",165,143,195,0,181,14,821,0,769,52,"1,376",0,"1,299",77
Estimate,4,Whitman,"1,998","1,774","1,636",177,"1,513",90,"1,024",23,20,0,224,"1,594",0,"1,594","1,271",126,"1,423",102,404,539,0,341,198,769,0,587,182,690,0,666,24
Estimate,5,Whitman,447,430,424,0,430,6,231,0,0,0,17,178,0,178,178,54,118,6,269,214,0,71,143,206,0,90,116,27,0,17,10
Estimate,6.01,Whitman,"2,250","2,250","2,156",0,"2,239",38,"1,509",0,44,0,0,"1,885",0,"1,885","1,806",28,"1,736",170,365,"1,361",0,"1,195",166,713,0,566,147,176,0,124,52
Estimate,6.02,Whitman,"1,997","1,947","1,843",42,"1,905",104,"1,322",0,0,0,50,"1,618",0,"1,618","1,517",129,"1,436",99,379,960,0,756,204,882,0,707,175,155,0,155,0
Estimate,7,Whitman,"1,480","1,359","1,213",122,"1,111",42,976,45,23,0,121,"1,218",6,"1,212",941,103,895,239,262,203,0,118,85,641,6,488,147,636,0,606,30
Estimate,8,Whitman,"1,424","1,283","1,091",148,"1,042",79,751,19,36,11,141,"1,096",0,"1,096",924,60,975,162,328,214,0,121,93,773,0,562,211,437,0,413,24
Estimate,9,Whitman,"1,587","1,443","1,265",183,"1,176",91,876,13,54,0,144,"1,314",4,"1,310",996,168,"1,008",161,273,253,0,172,81,824,4,665,155,510,0,473,37
Estimate,10,Whitman,883,846,791,103,713,14,526,2,12,0,37,735,27,708,548,73,492,189,148,87,13,55,19,488,14,355,119,308,0,298,10
Estimate,,Adams,"6,035","5,295","3,407",203,"4,928","1,174","3,022",52,103,0,740,"4,849",7,"4,842","4,325","1,069","3,240",640,"1,186",943,2,543,398,"3,186",5,"2,590",591,"1,906",0,"1,709",197
Estimate,,Asotin,"9,286","8,643","7,407",658,"7,484",725,"5,604",142,204,0,643,"7,900",128,"7,772","6,772","1,413","5,879",652,"1,386","1,268",8,816,444,"4,759",92,"3,960",707,"3,259",28,"2,996",235
Estimate,,Ferry County,"3,175","2,683","2,082",373,"2,020",356,"1,496",53,56,0,492,"2,159",38,"2,121","1,546",285,"1,242",617,"1,016",718,0,354,364,"1,471",32,960,479,986,6,807,173
Estimate,,Garfield,986,897,776,71,774,77,549,3,15,0,89,801,0,801,672,66,513,269,185,91,0,78,13,553,0,429,124,342,0,294,48
Estimate,,Lincoln,"4,628","4,336","3,699",453,"3,670",320,"2,632",55,74,0,292,"3,963",43,"3,920","2,896",713,"2,402",801,665,574,11,342,221,"2,321",15,"2,002",304,"1,733",17,"1,576",140
Estimate,,Pend Oreille,"5,798","5,365","4,542",444,"4,600",519,"3,336",13,170,0,433,"4,384",44,"4,340","2,779",648,"3,144",537,"1,414",801,17,374,410,"2,857",13,"2,117",727,"2,140",14,"1,849",277
Estimate,,Spokane County,"206,502","193,259","168,245","10,594","175,577","14,083","130,370","1,916","3,847",89,"13,243","183,700",770,"182,930","163,477","20,215","152,680","13,243","22,802","28,505",273,"20,639","7,593","96,475",393,"83,969","12,113","81,522",104,"78,322","3,096"
Estimate,,Stevens County,"17,883","15,917","13,196","1,562","13,370","1,708","9,669",284,385,0,"1,966","14,137",130,"14,007","10,619","2,378","8,257","3,489","3,746","2,967",39,"1,670","1,258","8,829",82,"6,713","2,034","6,087",9,"5,624",454
Estimate,,Whitman County,"18,485","17,666","16,465",976,"16,042",614,"11,599",157,361,11,819,"15,686",37,"15,649","13,722","1,128","13,532","1,448","2,799","5,235",13,"4,117","1,105","7,695",24,"6,260","1,411","5,555",0,"5,272",283
Estimate,,Spokane City,"93,075","86,192","73,105","4,729","78,090","7,180","55,987","1,026","1,677",14,"6,883","82,315",321,"81,994","73,608","8,851","70,901","3,576","10,760","15,671",138,"11,291","4,242","46,618",173,"41,041","5,404","30,786",10,"29,662","1,114"
Estimate,,Spokane - Spokane Valley,"224,385","209,176","181,441","12,156","188,947","15,791","140,039","2,200","4,232",89,"15,209","197,837",900,"196,937","174,096","22,593","160,937","16,732","26,548","31,472",312,"22,309","8,851","105,304",475,"90,682","14,147","87,609",113,"83,946","3,550"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,,,"4,449","4,142","3,578",245,"3,732",320,"2,745",44,84,2,307,"3,893",19,"3,875","3,409",450,"3,163",328,555,667,6,471,189,"2,104",10,"1,803",291,"1,678",2,"1,601",75
Std,,," 22,664 "," 21,150 "," 18,345 "," 1,198 "," 19,155 "," 1,591 "," 14,170 ", 221 , 424 , 10 ," 1,518 "," 20,058 ", 89 ," 19,971 "," 17,758 "," 2,247 "," 16,549 "," 1,558 "," 2,614 "," 3,234 ", 32 ," 2,319 ", 887 ," 10,678 ", 47 ," 9,253 "," 1,385 "," 8,785 ", 12 ," 8,430 ", 347 
