label,not_US_citizen,naturalized_citizen,naturalized_2015_or_later,naturalized_2010_to_2014,naturalized_2005_to_2009,naturalized_2000_to_2004,naturalized_1995_to_1999,naturalized_1990_to_1994,naturalized_before_1990,tract,county,standardized_not_US_citizen,standardized_naturalized_citizen,standardized_naturalized_2015_or_later,standardized_naturalized_2010_to_2014,standardized_naturalized_2005_to_2009,standardized_naturalized_2000_to_2004,standardized_naturalized_1995_to_1999,standardized_naturalized_1990_to_1994,standardized_naturalized_before_1990,index
Estimate,51,95,0,0,74,0,0,6,15,9705,Pend Oreille,-0.356275677,-0.125248401,-0.576139264,-0.63210376,1.507983378,-0.566039976,-0.526855293,0.108822861,-0.364511476,-1.530367609
Estimate,13,53,0,0,42,0,0,3,8,2.01,Spokane,-0.564594946,-0.579976416,-0.576139264,-0.63210376,0.620649107,-0.566039976,-0.526855293,-0.166493962,-0.688100666,-3.679655177
Estimate,11,47,0,18,0,0,0,29,0,2.02,Spokane,-0.575559118,-0.644937561,-0.576139264,-0.04309392,-0.543977123,-0.566039976,-0.526855293,2.219585174,-1.057916883,-2.314933965
Estimate,40,64,0,23,0,0,41,0,0,3.01,Spokane,-0.416578623,-0.460880984,-0.576139264,0.120519925,-0.543977123,-0.566039976,1.324664737,-0.441810786,-1.057916883,-2.618158977
Estimate,186,55,47,0,0,0,0,0,8,3.02,Spokane,0.383805934,-0.558322701,0.971447809,-0.63210376,-0.543977123,-0.566039976,-0.526855293,-0.441810786,-0.688100666,-2.601956563
Estimate,233,31,22,0,0,0,0,0,9,4,Spokane,0.641463977,-0.818167281,0.148263196,-0.63210376,-0.543977123,-0.566039976,-0.526855293,-0.441810786,-0.641873639,-3.381100687
Estimate,13,142,23,37,41,0,1,0,40,5,Spokane,-0.564594946,0.383613902,0.18119058,0.57863869,0.592919911,-0.566039976,-0.481696268,-0.441810786,0.791164202,0.47338531
Estimate,56,0,0,0,0,0,0,0,0,6,Spokane,-0.328865247,-1.153799864,-0.576139264,-0.63210376,-0.543977123,-0.566039976,-0.526855293,-0.441810786,-1.057916883,-5.827508197
Estimate,65,21,8,4,0,0,0,0,9,7,Spokane,-0.279526473,-0.926435856,-0.312720187,-0.501212685,-0.543977123,-0.566039976,-0.526855293,-0.441810786,-0.641873639,-4.740452019
Estimate,19,57,0,22,14,14,0,0,7,8,Spokane,-0.53170243,-0.536668986,-0.576139264,0.087797156,-0.155768379,0.169725838,-0.526855293,-0.441810786,-0.734327693,-3.245749838
Estimate,44,51,0,32,0,0,0,0,19,9,Spokane,-0.394650279,-0.601630131,-0.576139264,0.415024845,-0.543977123,-0.566039976,-0.526855293,-0.441810786,-0.179603368,-3.415681375
Estimate,13,69,19,0,0,0,23,0,27,10,Spokane,-0.564594946,-0.406746696,0.049481042,-0.63210376,-0.543977123,-0.566039976,0.511802285,-0.441810786,0.190212849,-2.403777111
Estimate,37,81,0,0,6,4,7,0,64,11,Spokane,-0.433024881,-0.276824406,-0.576139264,-0.63210376,-0.377601947,-0.355821172,-0.210742117,-0.441810786,1.900612854,-1.40345548
Estimate,57,65,15,0,12,15,6,4,13,12,Spokane,-0.323383161,-0.450054126,-0.082228496,-0.63210376,-0.211226771,0.222280539,-0.255901142,-0.074721688,-0.456965531,-2.264304137
Estimate,47,37,0,6,8,0,0,0,23,13,Spokane,-0.378204021,-0.753206136,-0.576139264,-0.435767147,-0.322143555,-0.566039976,-0.526855293,-0.441810786,0.005304741,-3.994861438
Estimate,527,374,154,84,96,20,13,0,7,14,Spokane,2.253197265,2.895444844,4.494677953,2.116608829,2.118025689,0.485054044,0.060212034,-0.441810786,-0.734327693,13.24708218
Estimate,37,29,0,0,0,0,6,0,23,15,Spokane,-0.433024881,-0.839820996,-0.576139264,-0.63210376,-0.543977123,-0.566039976,-0.255901142,-0.441810786,0.005304741,-4.283513189
Estimate,373,192,104,24,0,45,0,0,19,16,Spokane,1.408956019,0.924956778,2.848308727,0.153242694,-0.543977123,1.798921569,-0.526855293,-0.441810786,-0.179603368,5.442139216
Estimate,171,96,0,21,68,0,0,0,7,18,Spokane,0.301574644,-0.114421543,-0.576139264,0.055074387,1.341608202,-0.566039976,-0.526855293,-0.441810786,-0.734327693,-1.261337322
Estimate,0,37,0,0,6,4,0,0,27,19,Spokane,-0.635862064,-0.753206136,-0.576139264,-0.63210376,-0.377601947,-0.355821172,-0.526855293,-0.441810786,0.190212849,-4.109187573
Estimate,89,60,11,0,10,10,5,8,16,20,Spokane,-0.147956409,-0.504188414,-0.213938034,-0.63210376,-0.266685163,-0.040492966,-0.301060168,0.29236741,-0.318284449,-2.132341953
