Label,With_cash_public_assistance_or_Food_Stamps,No_cash_public_assistance_or_Food_Stamps,tract,county,standardize_With_cash_public_assistance_or_Food_Stamps,standardize_No_cash_public_assistance_or_Food_Stamps,index
Estimate,0,"1,449",102.03,Spokane,-1.252926061,0.37651819,-0.876407871
Estimate,25,949,102.04,Spokane,-1.121149774,-0.583452118,-1.704601892
Estimate,344,"1,643",103.01,Spokane,0.560315655,0.74898667,1.309302325
Estimate,191,"1,045",103.03,Spokane,-0.246155225,-0.399137819,-0.645293043
Estimate,515,"1,742",103.04,Spokane,1.461665462,0.939060791,2.400726253
Estimate,164,"2,480",103.05,Spokane,-0.388473615,2.355976966,1.967503351
Estimate,481,"1,271",104.01,Spokane,1.282449711,0.034768761,1.317218471
Estimate,88,"1,134",104.03,Spokane,-0.789073529,-0.228263104,-1.017336633
Estimate,109,"1,150",104.04,Spokane,-0.678381448,-0.197544054,-0.875925502
Estimate,183,"1,145",105.04,Spokane,-0.288323637,-0.207143757,-0.495467394
Estimate,30,"1,211",105.05,Spokane,-1.094794516,-0.080427676,-1.175222193
Estimate,154,"2,247",105.06,Spokane,-0.44118413,1.908630803,1.467446672
Estimate,27,"1,631",105.07,Spokane,-1.110607671,0.725947383,-0.384660288
Estimate,71,"1,251",105.08,Spokane,-0.878681405,-0.003630052,-0.882311457
Estimate,32,"1,340",106.01,Spokane,-1.084252413,0.167244663,-0.91700775
Estimate,21,"1,889",106.03,Spokane,-1.14223398,1.221292062,0.079058082
Estimate,116,"1,226",106.04,Spokane,-0.641484087,-0.051628567,-0.693112654
Estimate,50,"1,412",107.01,Spokane,-0.989373486,0.305480388,-0.683893099
Estimate,27,"1,135",107.02,Spokane,-1.110607671,-0.226343163,-1.336950834
Estimate,187,784,108,Spokane,-0.267239431,-0.90024232,-1.16748175
Estimate,81,732,109.01,Spokane,-0.82597089,-1.000079232,-1.826050122
Estimate,32,653,109.02,Spokane,-1.084252413,-1.15175454,-2.236006954
Estimate,170,"1,306",110,Spokane,-0.356847306,0.101966682,-0.254880624
Estimate,280,"1,449",111.02,Spokane,0.222968359,0.37651819,0.599486549
Estimate,576,"1,109",111.03,Spokane,1.783199603,-0.276261619,1.506937984
Estimate,466,828,111.04,Spokane,1.203383938,-0.815764933,0.387619006
Estimate,263,"1,339",112.02,Spokane,0.133360483,0.165324723,0.298685206
Estimate,782,"1,876",112.03,Spokane,2.869036212,1.196332834,4.065369046
Estimate,222,759,112.04,Spokane,-0.082752628,-0.948240835,-1.030993463
Estimate,74,"1,518",113.01,Spokane,-0.86286825,0.508994093,-0.353874157
Estimate,224,"1,791",113.02,Spokane,-0.072210525,1.033137881,0.960927356
Estimate,350,"1,765",114,Spokane,0.591941964,0.983219425,1.575161389
Estimate,69,560,115,Spokane,-0.889223508,-1.330309018,-2.219532526
Estimate,124,640,116,Spokane,-0.599315675,-1.176713768,-1.776029444
Estimate,283,837,117.01,Spokane,0.238781513,-0.798485467,-0.559703954
Estimate,"1,083","2,146",117.02,Spokane,4.455622714,1.7147168,6.170339515
Estimate,639,"2,208",118,Spokane,2.115275848,1.833753119,3.949028966
Estimate,342,"1,720",119,Spokane,0.549773552,0.896822098,1.44659565
Estimate,533,"1,309",120,Spokane,1.556544389,0.107726504,1.664270893
Estimate,282,837,121,Spokane,0.233510462,-0.798485467,-0.564975005
Estimate,182,780,122,Spokane,-0.293594688,-0.907922082,-1.20151677
Estimate,611,"1,922",123,Spokane,1.967686406,1.284650102,3.252336508
Estimate,203,"1,965",124.01,Spokane,-0.182902607,1.367207549,1.184304942
Estimate,78,"2,369",124.02,Spokane,-0.841784044,2.142863558,1.301079513
Estimate,289,"1,056",125,Spokane,0.270407822,-0.378018472,-0.10761065
Estimate,362,"1,354",126,Spokane,0.655194582,0.194123832,0.849318414
Estimate,235,"1,611",127.01,Spokane,-0.014228959,0.68754857,0.673319612
Estimate,87,812,127.02,Spokane,-0.794344581,-0.846483982,-1.640828563
Estimate,227,"1,412",128.01,Spokane,-0.056397371,0.305480388,0.249083017
Estimate,195,"1,266",128.02,Spokane,-0.225071019,0.025169058,-0.199901961
Estimate,176,"1,021",129.01,Spokane,-0.325220997,-0.445216394,-0.770437391
Estimate,179,"2,460",129.02,Spokane,-0.309407843,2.317578154,2.008170311
Estimate,28,372,130.01,Spokane,-1.105336619,-1.691257854,-2.796594473
Estimate,276,"1,033",130.02,Spokane,0.201884153,-0.422177106,-0.220292953
Estimate,207,"2,121",130.03,Spokane,-0.161818401,1.666718285,1.504899884
Estimate,222,"3,201",131.01,Spokane,-0.082752628,3.740254151,3.657501523
Estimate,191,"1,874",131.02,Spokane,-0.246155225,1.192492953,0.946337728
Estimate,461,"2,235",132.01,Spokane,1.177028681,1.885591515,3.062620196
Estimate,69,992,132.03,Spokane,-0.889223508,-0.500894671,-1.390118179
Estimate,95,"1,507",132.04,Spokane,-0.752176169,0.487874746,-0.264301423
Estimate,124,"1,087",132.05,Spokane,-0.599315675,-0.318500313,-0.917815988
Estimate,60,"1,148",133,Spokane,-0.936662971,-0.201383935,-1.138046907
Estimate,92,"1,927",134.01,Spokane,-0.767989323,1.294249805,0.526260482
Estimate,75,576,135.01,Spokane,-0.857597199,-1.299589968,-2.157187167
Estimate,30,863,135.02,Spokane,-1.094794516,-0.748567011,-1.843361527
Estimate,131,"2,080",135.03,Spokane,-0.562418315,1.58800072,1.025582405
Estimate,286,"1,676",136,Spokane,0.254594668,0.81234471,1.066939378
Estimate,107,"1,270",137,Spokane,-0.688923551,0.03284882,-0.656074731
Estimate,4,822,138,Spokane,-1.231841855,-0.827284576,-2.059126432
Estimate,293,"1,864",139,Spokane,0.291492028,1.173293546,1.464785575
Estimate,341,"1,392",140.01,Spokane,0.5445025,0.267081575,0.811584076
Estimate,218,"2,376",140.02,Spokane,-0.103836834,2.156303142,2.052466308
Estimate,158,"2,219",141,Spokane,-0.420099924,1.854872465,1.434772541
Estimate,88,"1,416",142,Spokane,-0.789073529,0.31316015,-0.475913379
Estimate,178,956,143,Spokane,-0.314678894,-0.570012534,-0.884691428
Estimate,380,"1,349",144,Spokane,0.750073509,0.184524129,0.934597638
Estimate,448,420,145,Spokane,1.108505011,-1.599100704,-0.490595693
Estimate,337,521,9410,Stevens,0.523418294,-1.405186702,-0.881768407
Estimate,381,"1,495",9501.01,Stevens,0.75534456,0.464835459,1.220180019
Estimate,290,"1,020",9501.02,Stevens,0.275678874,-0.447136334,-0.17145746
Estimate,191,"1,297",9502,Stevens,-0.246155225,0.084687217,-0.161468008
Estimate,227,814,9503,Stevens,-0.056397371,-0.842644101,-0.899041472
Estimate,148,"1,023",9505,Stevens,-0.472810439,-0.441376512,-0.914186952
Estimate,157,846,9506,Stevens,-0.425370976,-0.781206001,-1.206576977
Estimate,202,820,9507,Stevens,-0.188173658,-0.831124457,-1.019298116
