NAME,GEOID,has_computer,with_internet,sixtyfive_and_older,number_providers,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms,index
"Census Tract 9601, Asotin County, Washington",53003960100,0.503828579508217,0.5181607149811083,2.2410640419569243,1.7141115800131548,-0.18509273190359152,-1.0620454274467688,0.283915286540471,1.1831499561734486,-2.4210100449634293
"Census Tract 9602, Asotin County, Washington",53003960200,0.8839544650288363,0.9219659076743661,2.288670978979899,2.216954685333059,0.42038529673191444,-0.6423230131675732,-0.4316276622230375,-0.15458892777116973,-1.5066651812311913
"Census Tract 9603, Asotin County, Washington",53003960300,-0.1997698143640833,-0.272225752233657,-0.7454778072843501,1.2112684746932505,0.39796018456022214,-0.3153385193842579,-0.27353197379075433,0.10992816876464033,-0.6311617466461532
"Census Tract 9604, Asotin County, Washington",53003960400,-0.8174743783350897,-0.94395856093192,0.051144938900091884,-0.2972608412664625,1.1267763301399891,-0.8575779070038563,-0.40697495372709624,-0.2762437407471395,-1.9376312593577807
"Census Tract 9605, Asotin County, Washington",53003960500,-0.07915294684311754,-0.19184746743215544,0.013059389281712188,-0.2972608412664625,1.1267763301399891,-0.09016700940973085,-0.47713418414322517,-0.30108961194071016,-0.7108983129035027
"Census Tract 9606, Asotin County, Washington",53003960600,0.2808701274240075,0.17942365760335174,0.8826794389013819,0.2055822640534418,0.07404189763588444,-0.5799352794488712,-0.4076210566831861,-0.07755652715791318,-1.1436414246994793
"Census Tract 2.01, Spokane County, Washington",53063000201,-0.38252264394130414,-0.22820907246140615,-0.9422531469793118,-0.8001039465863669,1.189246285475394,0.8141195793418955,-0.4475750632814464,-0.6579883600045342,0.7552748569389407
"Census Tract 2.02, Spokane County, Washington",53063000202,-1.4954873760665792,-1.4989514797994308,-1.6944427519423109,-0.2972608412664625,0.7259274500711173,1.238756343557463,1.4860641607565346,-0.868451996134128,2.8898100783918714
"Census Tract 3.01, Spokane County, Washington",53063000301,-0.6621344731944521,-0.6186178843544137,-1.0438146126283243,-0.2972608412664625,0.7259274500711173,0.8026246445626698,-0.4215783506333343,-0.6684855722372226,0.6709374949545015
"Census Tract 3.02, Spokane County, Washington",53063000302,-0.8083367368562288,-0.8042534468721673,-1.0089028588114763,-0.2972608412664625,0.7259274500711173,1.029824596956786,0.5461292941066989,-0.7450631909092796,1.8129229823613369
"Census Tract 4, Spokane County, Washington",53063000400,0.18218359945230828,0.29233601006260396,-0.39318647331433787,0.2055822640534418,-0.2822682179808841,0.7124341123674599,0.39148735023954767,-0.76336708863381,2.166259937891479
"Census Tract 5, Spokane County, Washington",53063000500,-0.03711979604035674,0.08756276068734996,-0.507443122169477,0.2055822640534418,-0.2822682179808841,0.5449630001256117,0.8829826265516362,-0.7839222154786859,2.4483810361654297
"Census Tract 6, Spokane County, Washington",53063000600,-0.2217001539133498,-0.14208948160265447,-0.9263841679716537,-0.2972608412664625,0.7259274500711173,0.8764472447750858,-0.05768757318030321,-0.5951969339641802,1.3632503326688372
"Census Tract 7, Spokane County, Washington",53063000700,1.3627668785211549,1.2932370327098732,0.05749253050315516,-0.2972608412664625,0.7259274500711173,1.4280589602303244,1.0590434217963975,-0.7029807140767869,3.8492544558008652
"Census Tract 8, Spokane County, Washington",53063000800,0.819990974676809,0.9028282208168658,2.3457993034074685,-0.2972608412664625,0.7259274500711173,0.698546350260624,1.3567559048278224,-0.4797063762822442,1.800734182145576
"Census Tract 9, Spokane County, Washington",53063000900,1.44135059523936,1.478872595227627,0.91759119271823,-0.2972608412664625,0.7259274500711173,0.9290823217452305,1.3068906868898567,-0.5959227776778235,3.2550070326049445
"Census Tract 10, Spokane County, Washington",53063001000,1.3499741804507495,1.3697877801398748,0.8223773186722807,-0.2972608412664625,0.7259274500711173,0.7615366546656263,1.3701935859877912,-0.7396695249041064,3.275873278556213
"Census Tract 11, Spokane County, Washington",53063001100,-0.14128890889937262,0.09713160411610015,-0.33288435308523673,-0.2972608412664625,0.7259274500711173,0.9486302359209222,1.2569820223269428,-0.7245561591574221,2.7592305319610677
"Census Tract 12, Spokane County, Washington",53063001200,-0.8320946047012674,-0.7506679236711663,-1.0628573874375142,-0.2972608412664625,0.7259274500711173,0.4828686540694957,0.29124032762359364,-0.7354053654206802,1.0990074939666856
"Census Tract 13, Spokane County, Washington",53063001300,0.057911675339798095,0.12009682834510059,-0.7708681736966032,0.2055822640534418,-0.2822682179808841,0.8119108536967233,-0.2356328565470619,-0.751002796421404,1.6480547101593952
"Census Tract 14, Spokane County, Washington",53063001400,1.704514669830558,1.7755067415188825,-0.32336296568064177,0.2055822640534418,-0.2822682179808841,1.1163848352429144,1.4696050490886436,-0.799765639080568,4.869041793368948
"Census Tract 15, Spokane County, Washington",53063001500,1.293320803281811,1.2052036731653717,0.4637383930992052,-0.2972608412664625,0.7259274500711173,0.7396462670075484,2.4453873288067487,-0.7543164287450286,4.5083154044504505
"Census Tract 16, Spokane County, Washington",53063001600,-0.38983275712439297,-0.3698279552069089,-0.8660820477425525,-0.2972608412664625,0.7259274500711173,1.0605136829522215,2.005100373536241,-0.7327255404616178,3.6478357001570823
"Census Tract 18, Spokane County, Washington",53063001800,-0.5506552471523474,-0.5363258308671621,-0.04089513934432572,-0.2972608412664625,0.7259274500711173,0.5991800943038208,1.191237576489676,-0.7649550383471453,1.869437134522025
"Census Tract 19, Spokane County, Washington",53063001900,-0.01701698478686245,0.04354608091509911,-0.7391302156812868,-0.2972608412664625,0.7259274500711173,0.5374237659046078,1.1535181864368476,-0.4598264191347616,2.299451055136558
