tract,county,median_income,mean_income,moe_median_income,moe_mean_income
39,spokane,48250,95414,11967,23438
40.01,spokane,52575,57868,14626,10787
45,spokane,91250,141676,19723,23168
43,spokane,89917,129387,13459,20123
46.02,spokane,85643,97470,12727,20391
41,spokane,65217,95531,22256,22306
44,spokane,57904,82534,15847,13466
48,spokane,51467,76843,13998,9389
46.01,spokane,42979,59508,5175,6340
40.02,spokane,38045,56067,8763,21925
42,spokane,96071,127232,15239,13170
47.01,spokane,79318,79421,30766,11741
47.02,spokane,66685,76839,19860,8546
