label,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_over,car_track_van_drove_alone,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_older,car_truck_van_carpool,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_over,public_transportation_no_taxi,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_over,walked,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_over,taxi_motorcycle_bicycle_other,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_over,worked_from_home,16_to_19,20_to_24,25_to_44,45_to_54,55_to_59,60_to_64,65_and_over,tract,county,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_over,standardized_car_track_van_drove_alone,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_older,standardized_car_truck_van_carpool,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_over,standardized_public_transportation_no_taxi,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_over,standardized_walked,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_over,standardized_taxi_motorcycle_bicycle_other,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_over,standardized_worked_from_home,standardized_16_to_19,standardized_20_to_24,standardized_25_to_44,standardized_45_to_54,standardized_55_to_59,standardized_60_to_64,standardized_65_and_over,index
Estimate,13,81,396,110,96,80,63,645,13,72,304,105,51,54,46,126,0,9,58,5,31,11,12,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,15,0,14,0,0,29,0,0,9,0,0,15,5,9604,Asotin,-0.706559279,-0.484439754,-0.852222255,-1.16075025,-0.622630185,-0.600443556,-0.435962712,-1.057978773,-0.684513095,-0.408485381,-0.787976434,-0.924723924,-0.882228511,-0.67309464,-0.379653876,-0.313702235,-0.620329063,-0.332617619,-0.274473523,-0.808341553,1.181145755,0.124174356,0.511163999,-0.476334951,-0.352214354,-0.3470539,-0.203253582,-0.424326734,-0.355028892,-0.28395955,-0.267278524,-0.512998798,-0.242172201,-0.26276456,-0.584087566,-0.484760026,-0.411273204,-0.295941388,-0.319064458,0.103372371,-0.20174337,-0.225569061,0.176131309,-0.430617602,1.235852407,-0.210109806,-0.294079843,-1.048001656,-0.230269159,-0.431689786,-0.773156661,-0.810400745,-0.670868129,0.04778185,-0.412923291,-21.19344637
Estimate,82,333,652,203,154,83,27,1159,59,199,547,179,81,79,15,260,23,134,66,14,23,0,0,0,0,0,0,0,0,0,0,62,0,0,12,0,50,0,0,27,0,0,27,0,0,0,0,26,0,0,0,10,0,4,12,9605,Asotin,0.250707246,0.753874292,-0.196511635,-0.638080959,-0.037798611,-0.565736932,-1.057768804,-0.154621905,0.598263226,0.530546146,0.000514206,-0.424139843,-0.53242102,-0.328949806,-1.030341623,0.841690706,0.994367923,3.601523036,-0.168617559,-0.510702712,0.692947736,-0.393347338,-0.476097339,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,0.007198214,-0.242172201,-0.26276456,-0.259446641,-0.484760026,5.396056763,-0.295941388,-0.319064458,0.037687844,-0.20174337,-0.225569061,0.844152645,-0.430617602,-0.338614956,-0.210109806,-0.294079843,-1.078448441,-0.230269159,-0.431689786,-0.93073481,-0.548427002,-0.670868129,-0.438000295,-0.061691727,-3.110144515
Estimate,31,87,570,433,219,111,153,1330,13,87,497,354,165,75,139,79,17,0,12,26,0,24,0,0,0,0,0,0,0,0,0,55,0,0,1,0,54,0,0,25,0,0,10,7,0,0,8,115,1,0,50,46,0,12,6,9606,Asotin,-0.456837577,-0.454956086,-0.406543943,0.654542017,0.617616083,-0.241808444,1.118552521,0.145911217,-0.684513095,-0.297576145,-0.161726666,0.759673863,0.447039956,-0.384012979,1.572409363,-0.718951997,0.573142622,-0.615875746,-0.883145312,-0.113850923,-0.710621571,0.735790903,-0.476097339,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,-0.051533707,-0.242172201,-0.26276456,-0.557034156,-0.484760026,5.860643161,-0.295941388,-0.319064458,-0.027996684,-0.20174337,-0.225569061,-0.102210915,0.35516751,-0.338614956,-0.210109806,1.746360396,-0.1751938,-0.15872543,-0.431689786,-0.05530065,0.394678476,-0.670868129,-0.084704189,-0.362747354,-0.073259514
Estimate,2,57,230,93,83,54,69,466,2,52,177,76,77,42,40,49,0,0,28,12,6,3,0,2,0,0,0,2,0,0,0,14,0,5,6,3,0,0,0,8,0,0,8,0,0,0,0,49,0,0,11,0,0,9,29,9400,Ferry,-0.859166986,-0.602374425,-1.27740961,-1.256291948,-0.753713124,-0.901234295,-0.332328363,-1.372571924,-0.991263955,-0.556364361,-1.20006825,-1.120898766,-0.579062019,-0.838284161,-0.50559344,-0.977622059,-0.620329063,-0.615875746,-0.671433385,-0.576844676,-0.344473056,-0.252205058,-0.476097339,-0.612218499,-0.352214354,-0.3470539,-0.513473811,-0.251958716,-0.355028892,-0.28395955,-0.267278524,-0.395534957,-0.242172201,-0.175430898,-0.421767104,-0.229598708,-0.411273204,-0.295941388,-0.319064458,-0.586315168,-0.20174337,-0.225569061,-0.213547804,-0.430617602,-0.338614956,-0.210109806,-0.294079843,-0.845023084,-0.230269159,-0.431689786,-0.738139294,-0.810400745,-0.670868129,-0.217190229,0.791299216,-28.808354
Estimate,42,6,255,219,128,149,131,582,18,0,201,130,92,105,36,147,0,6,54,55,29,0,3,7,0,0,0,0,7,0,0,59,16,0,0,0,0,0,43,0,0,0,0,0,0,0,0,135,8,0,0,34,0,44,49,9701,Ferry,-0.30422987,-0.852985601,-1.21337537,-0.548159361,-0.299964489,0.19780879,0.738559909,-1.168701502,-0.545080887,-0.940849711,-1.122192631,-0.75560768,-0.404158273,0.028960822,-0.589553149,-0.132633192,-0.620329063,-0.427036994,-0.327401504,0.845207566,1.05909625,-0.393347338,-0.229282005,-0.527291282,-0.352214354,-0.3470539,-0.513473811,-0.424326734,0.864252639,-0.28395955,-0.267278524,-0.01797261,0.119418928,-0.26276456,-0.584087566,-0.484760026,-0.411273204,-0.295941388,5.63050478,-0.849053279,-0.20174337,-0.225569061,-0.658895362,-0.430617602,-0.338614956,-0.210109806,-0.294079843,0.027784772,0.342080669,-0.431689786,-0.93073481,0.080309984,-0.670868129,1.328480232,1.794817972,-7.83197882
Estimate,0,90,413,194,133,58,110,503,0,59,161,103,73,44,63,162,0,12,93,32,17,0,8,0,0,0,0,0,0,0,0,126,0,18,99,0,9,0,0,31,0,0,0,11,6,14,0,176,0,1,60,48,28,0,39,9702,Ferry,-0.886913842,-0.440214253,-0.808678972,-0.688661859,-0.249547974,-0.854958796,0.375839688,-1.30754429,-1.047036839,-0.504606718,-1.251985329,-0.938253223,-0.625703017,-0.810752574,-0.022825112,-0.003298161,-0.620329063,-0.238198243,0.188646317,0.084574971,0.326799221,-0.393347338,0.182076886,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,0.544175774,-0.242172201,0.051636624,2.094200066,-0.484760026,0.63404619,-0.295941388,-0.319064458,0.169056899,-0.20174337,-0.225569061,-0.658895362,0.804187573,0.336156771,1.306231949,-0.294079843,0.443890843,-0.230269159,-0.369583472,0.119786182,0.447073225,1.06001218,-0.614648347,1.293058594,-8.357657488
Estimate,17,22,369,218,71,139,111,672,17,19,264,186,51,75,60,110,0,0,47,25,18,8,12,0,0,0,0,0,0,0,0,46,0,0,35,0,2,0,9,3,0,0,0,0,0,3,0,116,0,3,23,7,0,53,30,9703,Garfield,-0.651065568,-0.774362487,-0.921379235,-0.553779461,-0.874712759,0.082120044,0.393112079,-1.010526175,-0.572967328,-0.800364679,-0.917769132,-0.376787294,-0.882228511,-0.384012979,-0.085794894,-0.451659601,-0.620329063,-0.615875746,-0.420025472,-0.146921905,0.387823973,-0.016967924,0.511163999,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,-0.127046177,-0.242172201,-0.26276456,0.362781799,-0.484760026,-0.178980006,-0.295941388,0.92619422,-0.750526487,-0.20174337,-0.225569061,-0.658895362,-0.430617602,-0.338614956,0.11482057,-0.294079843,-0.165044871,-0.230269159,-0.245370845,-0.528035096,-0.627019125,-0.670868129,1.725938351,0.841475154,-15.87994344
Estimate,42,42,273,170,67,53,54,543,31,36,206,148,62,31,29,32,0,0,0,22,0,0,10,0,0,0,0,0,0,0,0,92,11,6,64,0,4,3,4,3,0,0,3,0,0,0,0,31,0,0,0,0,1,19,11,9601,Lincoln,-0.30422987,-0.676083595,-1.167270717,-0.823544256,-0.915045971,-0.912803169,-0.591414235,-1.237244144,-0.182557143,-0.674667546,-1.105968544,-0.633843985,-0.753965764,-0.989707888,-0.736482641,-1.12420176,-0.620329063,-0.615875746,-1.041929257,-0.246134853,-0.710621571,-0.393347338,0.346620442,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,0.258906445,0.0064217,-0.157964165,1.147330701,-0.484760026,0.053313193,0.099367181,0.234383843,-0.750526487,-0.20174337,-0.225569061,-0.491890028,-0.430617602,-0.338614956,-0.210109806,-0.294079843,-1.027703798,-0.230269159,-0.431689786,-0.93073481,-0.810400745,-0.609050975,0.224429903,-0.111867665,-25.01361308
Estimate,61,47,499,196,169,207,89,916,45,47,364,149,137,134,40,66,0,0,25,0,17,10,14,0,0,0,0,0,0,0,0,17,0,0,4,11,0,2,0,31,0,0,26,0,0,5,0,238,16,0,80,36,15,56,35,9602,Lincoln,-0.04063474,-0.651513872,-0.588401185,-0.677421659,0.113450934,0.868803515,0.013119467,-0.581695288,0.207853041,-0.593334107,-0.593287387,-0.627079335,0.120552964,0.42816883,-0.50559344,-0.831042357,-0.620329063,-0.615875746,-0.711129372,-0.973696465,0.326799221,0.077126929,0.675707555,-0.646189386,-0.352214354,-0.3470539,-0.513473811,-0.424326734,-0.355028892,-0.28395955,-0.267278524,-0.370364134,-0.242172201,-0.26276456,-0.475873924,0.450831472,-0.411273204,-0.032402342,-0.319064458,0.169056899,-0.20174337,-0.225569061,0.7884842,-0.430617602,-0.338614956,0.331440821,-0.294079843,1.073124413,0.914430497,-0.431689786,0.469959846,0.132704733,0.256389179,1.858424391,1.092354843,-5.468004859
Estimate,7,75,388,307,131,106,129,755,1,23,268,189,92,80,102,159,3,35,40,58,10,3,10,11,0,0,5,6,0,0,0,63,0,5,28,20,7,3,0,26,0,0,14,5,7,0,0,129,3,12,33,29,15,20,17,9603,Lincoln,-0.789799847,-0.513923422,-0.872713212,-0.05359057,-0.26971458,-0.299652817,0.704015126,-0.864653373,-1.019150397,-0.770788883,-0.904789862,-0.356493345,-0.404158273,-0.315184012,0.795782053,-0.029165167,-0.409716413,0.485683637,-0.51264944,0.944420514,-0.100374046,-0.252205058,0.346620442,-0.459349508,-0.352214354,-0.3470539,-0.358363696,0.092777321,-0.355028892,-0.28395955,-0.267278524,0.015588488,-0.242172201,-0.175430898,0.173407926,1.216315425,0.401752991,0.099367181,-0.319064458,0.00484558,-0.20174337,-0.225569061,0.120462864,0.130657478,0.448618726,-0.210109806,-0.294079843,-0.0331088,-0.015637973,0.313585976,-0.352948264,-0.050676888,0.256389179,0.268591916,0.189187962,-6.274441919
