GEOID,tract,native_citizen,work_from_home,no_computer,internet_subscription,mean_d_mbps,index
53001950100,9501.0,-0.7793647066039326,-0.5115079190511554,-0.33415036059919856,-0.7430128489281661,-1.6263184335826462,-0.8481025364782065
53001950200,9502.0,-1.4274799393658617,-0.8676949403082387,-0.4867380486582212,-1.5525370030004317,-1.6343848222018926,-1.3024529587744782
53001950301,9503.01,-1.8482655550614695,-1.3154729098885718,1.02642319126042,-1.8587399927204378,-1.3253157117085455,-3.0807423372036715
53001950302,9503.02,-1.3928535738524486,-1.0814071530624887,-0.6011788147024882,-1.4989514797994308,-1.3380529791870934,-1.2373892204187253
53001950303,9503.03,-1.2633810767153384,-0.22655830204548894,-0.9953636755216301,-1.4185731949979292,-1.490388474693625,-0.31578796197773923
53001950400,9504.0,-0.9374415926434275,-1.1119374691702386,0.7721103778287157,-1.1736108032219246,0.8024865407701797,-1.724205473472568
53001950500,9505.0,0.3211515190615032,0.17033580735526088,0.9246980658877384,0.13349320914535084,-0.10070422357017259,-0.6110986556410374
53003960100,9601.0,0.48148664633013377,0.12962871921159425,0.19990654760738075,0.5181607149811083,-1.0620454274467688,-0.11399091983685644
53003960200,9602.0,0.8578601845194073,2.938417801124593,0.505081923725426,0.9219659076743661,-0.6423230131675733,1.7055228715882729
53003960300,9603.0,0.013277964822677452,-1.2849425937808219,-0.21970959455493155,-0.272225752233657,-0.31533851938425794,-0.7325095694101764
53003960400,9604.0,-0.8064636013535603,-1.0508768369547385,-0.6266100960456586,-0.94395856093192,-0.8575779070038564,-0.7666341931263027
53003960500,9605.0,-0.14780990952233164,-1.0814071530624887,1.0009919099172497,-0.19184746743215544,-0.09016700940973087,-1.6995777204435127
53003960600,9606.0,0.21501418129212807,-0.17567444186590564,-0.4867380486582212,0.17942365760335174,-0.5799352794488714,0.28686645884062645
53019940000,9400.0,-1.4207052156784548,-0.8473413962364054,0.31434731365164775,-1.717121109974935,-1.9583887982133314,-2.1179785546045062
53019970100,9701.0,-0.40976589210206604,0.027860998852427616,0.8229729405150567,-0.9573549417321703,-1.4496418170525003,-1.3933442434240346
53019970200,9702.0,-0.4474032459209934,0.4451086523250108,1.2171578013341984,-0.6473244146406643,-1.452579537675463,-1.4563079947714768
53023970300,9703.0,-1.0149745415104179,-0.16549766982998898,-0.16884703186859068,-0.9516136356749202,-1.1004486781825489,-0.7621042036073051
53043960100,9601.0,-1.2867162360830733,-1.0305232928829053,-0.8427759874626074,-1.144904272935674,-1.8362634339624382,-1.0245719219131708
53043960200,9602.0,-0.24792527068067838,1.076068518551844,-0.6266100960456586,-0.14591701897415457,-1.5197197292007407,0.7417847241195293
53043960300,9603.0,-0.7025845048133208,-0.033199633363072356,-0.4104442046287099,-0.7717193792144167,-1.632330977857793,-0.45109446634216466
53043960400,9604.0,-0.42030435117136566,0.801295673582094,0.3906411576811591,-0.29136343909115736,-1.8825200692543844,-0.5332240151399039
53051970100,9701.0,-1.2377876761184679,-1.1221142412061553,-0.537600611344562,-1.0817499063059226,-1.6673450068453357,-1.2873248604446634
53051970200,9702.0,-0.5618208015305325,-0.26726539018915557,-0.3087190792560281,-0.8253049024154178,-1.6584609687428045,-0.6517659149644572
53051970300,9703.0,-0.3390076669224826,-1.0508768369547385,0.6576696117844487,-0.687513557041415,-1.4791187720651178,-1.8718531435871182
