label,population,tract,county,standardized_population,index
Estimate,"3,385",109.02,Spokane,-0.254079246,-0.254079246
Estimate,"3,461",110,Spokane,-0.199977124,-0.199977124
Estimate,"4,403",111.02,Spokane,0.470604431,0.470604431
Estimate,"2,844",111.03,Spokane,-0.639200924,-0.639200924
Estimate,"3,255",111.04,Spokane,-0.346622348,-0.346622348
Estimate,"4,039",112.02,Spokane,0.211483745,0.211483745
Estimate,"5,610",112.03,Spokane,1.32983154,1.32983154
Estimate,"2,049",112.04,Spokane,-1.205137587,-1.205137587
Estimate,"3,774",113.01,Spokane,0.022838191,0.022838191
Estimate,"5,209",113.02,Spokane,1.044371663,1.044371663
Estimate,"5,288",114,Spokane,1.100609395,1.100609395
Estimate,"1,641",115,Spokane,-1.495580554,-1.495580554
Estimate,"1,742",116,Spokane,-1.423681682,-1.423681682
Estimate,"2,249",117.01,Spokane,-1.062763584,-1.062763584
Estimate,"7,531",117.02,Spokane,2.697333841,2.697333841
Estimate,"5,677",118,Spokane,1.377526831,1.377526831
Estimate,"5,189",119,Spokane,1.030134263,1.030134263
Estimate,"3,974",120,Spokane,0.165212194,0.165212194
Estimate,"2,551",121,Spokane,-0.847778839,-0.847778839
Estimate,"2,303",122,Spokane,-1.024322603,-1.024322603
Estimate,"6,150",123,Spokane,1.714241349,1.714241349
Estimate,"5,856",124.01,Spokane,1.504951564,1.504951564
Estimate,"6,501",124.02,Spokane,1.964107724,1.964107724
Estimate,"3,729",125,Spokane,-0.00919596,-0.00919596
Estimate,"4,153",126,Spokane,0.292636927,0.292636927
Estimate,"3,735",127.01,Spokane,-0.00492474,-0.00492474
Estimate,"2,912",127.02,Spokane,-0.590793763,-0.590793763
Estimate,"4,322",128.01,Spokane,0.412942959,0.412942959
Estimate,"3,675",128.02,Spokane,-0.047636941,-0.047636941
Estimate,"3,095",129.01,Spokane,-0.46052155,-0.46052155
Estimate,"7,631",129.02,Spokane,2.768520842,2.768520842
Estimate,"1,106",130.01,Spokane,-1.876431012,-1.876431012
Estimate,"2,809",130.02,Spokane,-0.664116375,-0.664116375
