Label,Tract,County,Total population in households,Under 18 years,18 to 64 years,65 years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Household population 25 years and over,Less than high school graduate or equivalency,"High school graduate (includes equivalency), some college or associate's degree",Bachelor's degree or higher,Civilian population 16 years and over,In labor force,Employed,Unemployed,Not in labor force
Estimate,116,Spokane,"1,637",381,"1,067",189,"1,519",7,12,15,0,9,75,44,"1,499","1,117",69,776,272,"1,284",914,882,32,370
Estimate,117.01,Spokane,"2,043",362,"1,397",284,"1,844",42,0,30,0,0,127,50,"1,794","1,532",74,"1,140",318,"1,734","1,211","1,198",13,523
Estimate,117.02,Spokane,"6,749","1,843","4,252",654,"5,694",80,54,210,94,257,360,917,"5,148","4,065",392,"2,941",732,"5,081","3,614","3,331",283,"1,467"
Estimate,118,Spokane,"4,575","1,039","2,808",728,"4,192",83,31,17,0,33,219,255,"4,039","3,197",159,"2,435",603,"3,563","2,415","2,156",259,"1,148"
Estimate,119,Spokane,"4,560","1,040","2,955",565,"3,949",60,177,36,109,0,229,386,"3,705","3,123",168,"2,380",575,"3,618","2,543","2,478",65,"1,075"
Estimate,120,Spokane,"3,728",830,"2,292",606,"3,342",7,11,21,0,44,303,139,"3,234","2,713",185,"1,987",541,"2,974","2,003","1,877",126,971
Estimate,121,Spokane,"2,324",589,"1,452",283,"2,018",0,48,0,0,36,222,303,"1,928","1,498",38,"1,169",291,"1,747","1,164","1,082",82,583
Estimate,122,Spokane,"1,920",429,"1,316",175,"1,728",0,6,45,7,0,134,83,"1,662","1,270",99,986,185,"1,553","1,102","1,024",78,451
Estimate,123,Spokane,"5,477","1,247","3,644",586,"4,497",134,192,31,87,209,327,536,"4,307","3,662",261,"2,702",699,"4,274","3,045","2,900",145,"1,229"
Estimate,124.01,Spokane,"5,253","1,110","3,110","1,033","4,924",17,3,62,0,0,247,41,"4,895","3,788",83,"2,099","1,606","4,249","2,394","2,226",168,"1,855"
Estimate,124.02,Spokane,"6,209","1,533","3,692",984,"5,637",52,12,131,15,33,329,160,"5,522","4,320",75,"2,283","1,962","4,977","3,337","3,126",211,"1,640"
Estimate,125,Spokane,"3,249",857,"2,155",237,"2,139",0,180,62,196,437,235,570,"2,050","2,087",301,"1,503",283,"2,423","1,686","1,612",74,737
Estimate,126,Spokane,"3,736",748,"2,578",410,"3,351",45,38,9,14,37,242,159,"3,229","2,659",57,"2,064",538,"3,034","2,215","2,091",124,819
Estimate,127.01,Spokane,"3,333",641,"2,160",532,"3,023",54,20,31,91,7,107,362,"2,661","2,451",186,"1,687",578,"2,712","1,878","1,838",40,834
Estimate,127.02,Spokane,"2,780",905,"1,526",349,"2,387",6,22,18,0,186,161,290,"2,314","1,655",96,"1,100",459,"1,996","1,353","1,159",194,643
Estimate,128.01,Spokane,"4,123","1,156","2,407",560,"3,480",48,35,104,0,323,133,571,"3,263","2,743",169,"1,816",758,"3,141","1,897","1,812",85,"1,244"
Estimate,128.02,Spokane,"3,461",822,"2,026",613,"2,900",123,99,110,0,0,229,182,"2,725","2,453",240,"1,464",749,"2,772","1,875","1,809",66,897
Estimate,129.01,Spokane,"2,693",817,"1,289",587,"2,602",0,27,0,0,0,64,51,"2,551","1,741",87,"1,363",291,"1,952","1,091","1,057",34,861
Estimate,129.02,Spokane,"6,810","1,781","4,182",847,"6,290",78,69,154,0,0,219,70,"6,236","4,396",96,"3,030","1,270","5,240","3,692","3,593",99,"1,548"
Estimate,130.01,Spokane,"1,106",273,646,187,"1,001",0,2,0,0,103,0,103,"1,001",810,38,582,190,833,604,593,11,229
Estimate,130.02,Spokane,"2,483",344,"1,854",285,"2,144",24,0,87,0,36,192,167,"2,013","1,759",60,"1,350",349,"2,139","1,460","1,358",102,679
Estimate,130.03,Spokane,"5,974","1,924","3,301",749,"5,365",203,46,236,0,0,124,524,"4,877","3,896",41,"2,080","1,775","4,213","2,772","2,624",148,"1,441"
Estimate,131.01,Spokane,"6,317","1,134","4,192",991,"5,774",29,0,157,0,0,357,253,"5,620","4,719",141,"2,413","2,165","5,140","3,591","3,393",198,"1,549"
Estimate,131.02,Spokane,"4,973","1,252","2,889",832,"4,498",63,0,49,0,108,255,230,"4,376","3,642",161,"2,335","1,146","3,761","2,524","2,375",149,"1,237"
Estimate,132.01,Spokane,"7,072","1,609","4,159","1,304","6,634",0,0,61,15,191,171,339,"6,486","5,051",200,"3,956",895,"5,693","3,504","3,421",83,"2,189"
Estimate,132.03,Spokane,"2,598",639,"1,424",535,"2,416",0,63,76,0,0,43,45,"2,371","1,778",0,874,904,"2,059","1,279","1,160",119,780
Estimate,132.04,Spokane,"4,640","1,687","2,351",602,"4,241",0,22,118,0,11,248,35,"4,229","2,811",29,"1,394","1,388","3,107","2,074","1,961",113,"1,033"
Estimate,132.05,Spokane,"3,402","1,205","1,900",297,"3,017",18,0,27,0,29,311,46,"2,989","2,004",12,"1,325",667,"2,327","1,655","1,596",59,672
Estimate,133,Spokane,"3,148",740,"2,043",365,"3,063",0,25,4,0,0,56,0,"3,063","2,124",101,"1,152",871,"2,495","1,847","1,774",73,648
Estimate,134.01,Spokane,"5,411","1,267","3,159",985,"5,116",0,0,110,0,117,68,94,"5,093","3,937",45,"1,607","2,285","4,310","2,741","2,700",41,"1,569"
Estimate,135.01,Spokane,"1,659",388,942,329,"1,390",0,0,96,0,0,173,115,"1,390","1,253",97,570,586,"1,322",816,816,0,506
Estimate,135.02,Spokane,"2,134",375,"1,323",436,"1,972",16,0,107,0,0,39,0,"1,972","1,707",0,577,"1,130","1,833","1,120","1,112",8,713
Estimate,135.03,Spokane,"6,020","1,555","3,595",870,"5,715",0,0,111,0,0,194,108,"5,633","4,357",0,"1,913","2,444","4,441","2,892","2,863",29,"1,549"
Estimate,136,Spokane,"4,883","1,346","2,991",546,"4,247",70,49,201,0,32,284,314,"3,965","3,181",140,"1,720","1,321","3,451","2,505","2,425",80,946
Estimate,137,Spokane,"2,562",460,"1,843",259,"2,326",39,46,32,0,18,101,130,"2,227","1,809",104,"1,083",622,"2,064","1,444","1,414",30,620
Estimate,138,Spokane,"2,407",994,"1,413",0,"1,720",364,78,24,0,36,185,357,"1,552","1,188",0,792,396,857,545,485,60,312
Estimate,139,Spokane,"5,103","1,070","3,460",573,"4,669",0,0,61,0,165,208,354,"4,452","3,729",119,"2,320","1,290","4,109","2,340","2,243",97,"1,769"
Estimate,140.01,Spokane,"3,554",584,"2,637",333,"2,933",151,27,73,0,102,268,383,"2,735","1,678",66,878,734,"2,994","2,073","1,881",192,921
Estimate,140.02,Spokane,"5,868",955,"4,501",412,"4,822",302,96,162,31,155,300,760,"4,386","2,781",35,"1,207","1,539","4,964","3,549","3,219",330,"1,415"
