tract,GEOID,county,has_computer,broadband,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms,index
25.02,53063002502, Spokane County,-0.8056927395799922,-0.9872256673554581,0.7259274500711173,0.44488190369801245,1.5946334414945553,-0.6816170848730676,-0.7922624619580282
25.03,53063002503, Spokane County,-4.6674099498350285,-4.381050614043743,0.7259274500711173,0.6437985089272472,0.24379592356432725,-0.7890683488089503,-6.555005625282351
26.0,53063002600, Spokane County,0.6312963680473713,0.8441053187173625,0.7259274500711173,0.002922602723812138,-0.5904003451304822,-0.6633988109898569,1.3908879737325657
29.0,53063002900, Spokane County,-0.16816950397320038,0.1890043261278423,0.7259274500711173,1.1494193426818593,-0.2508729288266779,-0.6878640432461506,0.6464187612696479
30.0,53063003000, Spokane County,-0.5966656521043987,-0.6973015398568778,0.6247029854072672,1.3185908597744946,-0.33933553736007066,-0.7299025187490145,-0.47416423506467087
31.0,53063003100, Spokane County,0.5744448364738364,0.8699168482675803,0.7259274500711173,1.1723036758245204,1.3484599776125836,-0.7499719317288277,2.0491426317778525
32.0,53063003200, Spokane County,1.776511163543051,1.7055783341786284,0.04165006894345357,0.5485574731014485,-0.0027913992791953235,-0.7341618146662715,3.0805555219550014
35.0,53063003500, Spokane County,2.5612293022141763,2.1820329080146976,-0.7972982941905963,0.047697114385861016,0.17202814343897624,-0.7602015679634301,3.7949276526966793
36.01,53063003601, Spokane County,1.8909129051929807,2.013678716811339,0.7259274500711173,0.8002432595073667,0.03185529681499969,-0.7698288153614437,3.633318513065479
36.02,53063003602, Spokane County,4.165665642514458,4.333108636232477,0.7259274500711173,0.43351697066457323,-0.3468343704472726,-0.7063895060077111,7.0927190689018955
38.0,53063003800, Spokane County,1.7049738218378752,1.7124245017967725,0.7259274500711173,0.388188398256798,-0.754860600860588,-0.7358871488905291,2.968807565023575
39.0,53063003900, Spokane County,1.0004809116981896,0.5688443003075632,0.7259274500711173,1.129399042373871,-0.31031866645823525,-0.7231001528709119,1.67275477813105
40.01,53063004001, Spokane County,1.4121710537299283,1.7043086098962887,0.7259274500711173,0.45821098354242057,1.3507634195815952,-0.7146895684088862,3.1694651988891724
40.02,53063004002, Spokane County,2.5453292918313073,2.923029283025388,0.7259274500711173,0.3979263895923276,1.1158143313377848,-0.7060299566341975,4.988909018438269
41.0,53063004100, Spokane County,1.3261558727763405,1.3046459625039182,0.7259274500711173,0.5916388541746188,-0.22901229077229665,-0.6896310633796092,2.4715119200562428
42.0,53063004200, Spokane County,0.30492945200884225,0.5697305878125694,0.7259274500711173,1.311895996553544,1.244913661088016,-0.7808944581112209,1.619847309311829
43.0,53063004300, Spokane County,0.5843849104519325,0.7853520282104889,0.7259274500711173,0.8264053324221102,-0.1336060798166383,-0.7351636046679527,1.6203851914018983
44.0,53063004400, Spokane County,0.760580439666391,0.5739351325120524,0.7259274500711173,1.318222223405979,0.13155320524863653,-0.7881896141091915,1.6890643316450944
45.0,53063004500, Spokane County,0.5646293965476599,0.7129755360937085,0.04165006894345357,1.1191606365461706,1.3226023311297956,-0.7269853963126609,1.7672759075059528
46.01,53063004601, Spokane County,1.122195005728689,1.066302964557159,0.7259274500711173,0.5522618540533963,-0.4417573322934246,-0.6529570807876055,2.0576192556129462
46.02,53063004602, Spokane County,-0.09478724520901304,-0.05083968564366171,0.7259274500711173,0.307736560509688,0.013800028907117323,-0.7468700555007954,0.27611084972607763
47.01,53063004701, Spokane County,-0.8106169523647142,-0.593101885616336,-1.309551927940958,0.728768179406956,-0.5382190916857921,-0.656218688247801,-0.9488685147881375
47.02,53063004702, Spokane County,0.6525601719794176,0.9980355942335771,0.6894866427921289,0.681271013339051,-0.5990361327642121,-0.7480973105886708,1.7582550354423117
