tract,county,GEOID,has_computer,with_internet,work_from_home,broadband,median_income,median_age,total_population
105.04," Spokane County",53063010504,1307.0,1288.0,64.0,1281.0,76339.0,48.9,3367.0
105.05," Spokane County",53063010505,1241.0,1212.0,94.0,1212.0,88681.0,33.6,3680.0
105.06," Spokane County",53063010506,2264.0,2187.0,412.0,2173.0,70208.0,50.1,5294.0
105.07," Spokane County",53063010507,1590.0,1525.0,154.0,1525.0,82422.0,53.0,4060.0
105.08," Spokane County",53063010508,1313.0,1253.0,430.0,1253.0,128227.0,40.1,4248.0
106.01," Spokane County",53063010601,1291.0,1285.0,102.0,1285.0,74837.0,41.7,3959.0
106.03," Spokane County",53063010603,1884.0,1850.0,138.0,1850.0,84962.0,51.1,4275.0
106.04," Spokane County",53063010604,1273.0,1259.0,86.0,1259.0,102115.0,54.8,3465.0
107.01," Spokane County",53063010701,1447.0,1390.0,187.0,1390.0,89963.0,39.7,4036.0
107.02," Spokane County",53063010702,1135.0,1124.0,146.0,1124.0,111625.0,34.2,3686.0
108," Spokane County",53063010800,823.0,750.0,31.0,750.0,47083.0,35.3,2313.0
109.01," Spokane County",53063010901,803.0,759.0,182.0,759.0,62660.0,41.8,2232.0
109.02," Spokane County",53063010902,685.0,685.0,140.0,685.0,78693.0,20.7,3385.0
110," Spokane County",53063011000,1388.0,1319.0,46.0,1311.0,61121.0,39.3,3461.0
111.02," Spokane County",53063011102,1627.0,1604.0,70.0,1604.0,50243.0,30.7,4403.0
111.03," Spokane County",53063011103,1422.0,1385.0,25.0,1347.0,25202.0,58.3,2844.0
111.04," Spokane County",53063011104,1164.0,1119.0,37.0,1079.0,33828.0,27.6,3255.0
112.02," Spokane County",53063011202,1527.0,1450.0,151.0,1450.0,60685.0,43.1,4039.0
112.03," Spokane County",53063011203,2321.0,2125.0,102.0,2111.0,38458.0,31.7,5610.0
112.04," Spokane County",53063011204,880.0,865.0,56.0,853.0,51417.0,38.5,2049.0
113.01," Spokane County",53063011301,1465.0,1465.0,48.0,1465.0,92749.0,46.8,3774.0
113.02," Spokane County",53063011302,1996.0,1899.0,80.0,1898.0,81210.0,32.4,5209.0
114," Spokane County",53063011400,1987.0,2006.0,260.0,2006.0,57411.0,44.6,5288.0
115," Spokane County",53063011500,603.0,585.0,166.0,585.0,77583.0,41.6,1641.0
116," Spokane County",53063011600,713.0,683.0,53.0,683.0,53875.0,39.7,1742.0
117.01," Spokane County",53063011701,1004.0,943.0,44.0,943.0,55735.0,45.1,2249.0
117.02," Spokane County",53063011702,3083.0,2725.0,118.0,2725.0,37020.0,28.9,7531.0
118," Spokane County",53063011800,2470.0,1983.0,182.0,1983.0,39885.0,37.1,5677.0
119," Spokane County",53063011900,1873.0,1801.0,454.0,1793.0,53038.0,33.4,5189.0
120," Spokane County",53063012000,1762.0,1697.0,40.0,1690.0,50679.0,39.5,3974.0
121," Spokane County",53063012100,1008.0,956.0,142.0,956.0,49646.0,38.0,2551.0
122," Spokane County",53063012200,846.0,772.0,53.0,767.0,53889.0,38.2,2303.0
123," Spokane County",53063012300,2246.0,2147.0,78.0,2041.0,51847.0,33.5,6150.0
124.01," Spokane County",53063012401,1825.0,1774.0,207.0,1774.0,92024.0,47.7,5856.0
124.02," Spokane County",53063012402,2394.0,2302.0,252.0,2302.0,107585.0,42.9,6501.0
125," Spokane County",53063012500,1221.0,1229.0,31.0,1229.0,55873.0,37.3,3729.0
126," Spokane County",53063012600,1644.0,1471.0,199.0,1471.0,59395.0,32.7,4153.0
127.01," Spokane County",53063012701,1561.0,1491.0,44.0,1484.0,48841.0,43.5,3735.0
127.02," Spokane County",53063012702,857.0,826.0,150.0,826.0,72740.0,32.4,2912.0
128.01," Spokane County",53063012801,1591.0,1525.0,54.0,1525.0,55551.0,35.7,4322.0
128.02," Spokane County",53063012802,1315.0,1293.0,142.0,1293.0,66430.0,41.8,3675.0
129.01," Spokane County",53063012901,1061.0,955.0,169.0,955.0,57846.0,40.7,3095.0
129.02," Spokane County",53063012902,2500.0,2257.0,176.0,2243.0,69663.0,37.0,7631.0
130.01," Spokane County",53063013001,400.0,400.0,122.0,400.0,116818.0,45.7,1106.0
130.02," Spokane County",53063013002,1230.0,1137.0,18.0,1137.0,50394.0,33.1,2809.0
130.03," Spokane County",53063013003,2178.0,2125.0,311.0,2125.0,86474.0,39.3,6322.0
131.01," Spokane County",53063013101,3365.0,2927.0,348.0,2927.0,56166.0,40.3,6852.0
131.02," Spokane County",53063013102,1981.0,1961.0,235.0,1942.0,83320.0,43.6,5135.0
132.01," Spokane County",53063013201,2637.0,2500.0,172.0,2482.0,64830.0,43.0,7391.0
132.03," Spokane County",53063013203,1049.0,1026.0,134.0,1026.0,84509.0,42.2,2673.0
132.04," Spokane County",53063013204,1550.0,1499.0,518.0,1499.0,101742.0,36.3,4813.0
132.05," Spokane County",53063013205,1211.0,1141.0,239.0,1141.0,131750.0,34.3,3611.0
133," Spokane County",53063013300,1182.0,1102.0,225.0,1090.0,111389.0,46.1,3354.0
134.01," Spokane County",53063013401,2003.0,1977.0,396.0,1977.0,130114.0,43.4,5500.0
135.01," Spokane County",53063013501,633.0,571.0,83.0,571.0,90020.0,45.9,1761.0
135.02," Spokane County",53063013502,875.0,857.0,204.0,857.0,106736.0,54.4,2293.0
135.03," Spokane County",53063013503,2199.0,2181.0,189.0,2181.0,125453.0,41.1,6078.0
136," Spokane County",53063013600,1897.0,1826.0,177.0,1826.0,78534.0,33.4,5158.0
137," Spokane County",53063013700,1320.0,1219.0,105.0,1175.0,59778.0,37.7,3128.0
138," Spokane County",53063013800,813.0,740.0,89.0,740.0,60133.0,23.2,3464.0
139," Spokane County",53063013900,2086.0,2075.0,69.0,2063.0,63594.0,38.9,5618.0
140.01," Spokane County",53063014001,1658.0,1491.0,108.0,1491.0,30268.0,21.8,5326.0
140.02," Spokane County",53063014002,2469.0,2372.0,322.0,2372.0,53773.0,24.9,6296.0
141," Spokane County",53063014100,2182.0,2105.0,415.0,2105.0,78068.0,39.8,6201.0
142," Spokane County",53063014200,1426.0,1251.0,298.0,1237.0,71012.0,44.4,3547.0
143," Spokane County",53063014300,1037.0,972.0,92.0,949.0,58813.0,44.5,2939.0
144," Spokane County",53063014400,1632.0,1560.0,136.0,1560.0,56613.0,36.5,4470.0
145," Spokane County",53063014500,774.0,687.0,38.0,683.0,34722.0,41.4,2001.0
9410," Stevens County",53065941000,731.0,533.0,18.0,529.0,35000.0,35.8,2203.0
9501.01," Stevens County",53065950101,1591.0,1390.0,43.0,1370.0,42037.0,46.6,4596.0
9501.02," Stevens County",53065950102,1190.0,1080.0,44.0,1080.0,59669.0,51.3,2973.0
9502," Stevens County",53065950200,1308.0,1115.0,85.0,1106.0,65427.0,40.1,4353.0
9503," Stevens County",53065950300,977.0,938.0,112.0,932.0,39185.0,40.7,2740.0
9505," Stevens County",53065950500,1048.0,954.0,8.0,954.0,43717.0,46.8,2510.0
9506," Stevens County",53065950600,890.0,842.0,43.0,831.0,63750.0,47.9,2440.0
9507," Stevens County",53065950700,881.0,826.0,87.0,823.0,43370.0,48.4,2424.0
9508," Stevens County",53065950800,1234.0,1097.0,129.0,1089.0,66583.0,59.1,3316.0
9509," Stevens County",53065950900,608.0,513.0,66.0,504.0,44076.0,57.1,1513.0
9511," Stevens County",53065951100,1423.0,1144.0,200.0,1134.0,51302.0,53.1,3598.0
9513.01," Stevens County",53065951301,817.0,778.0,50.0,778.0,63188.0,38.3,2889.0
9513.02," Stevens County",53065951302,539.0,482.0,35.0,482.0,63068.0,48.7,1420.0
9514.01," Stevens County",53065951401,1156.0,1015.0,2.0,965.0,50474.0,49.9,3832.0
9514.02," Stevens County",53065951402,1524.0,1430.0,110.0,1430.0,96164.0,45.5,4426.0
9601," Lincoln County",53043960100,733.0,700.0,31.0,700.0,55491.0,37.4,1852.0
9602," Lincoln County",53043960200,1283.0,1222.0,238.0,1201.0,62000.0,46.3,3245.0
9603," Lincoln County",53043960300,1064.0,895.0,129.0,883.0,67500.0,48.9,2628.0
9604," Lincoln County",53043960400,1256.0,1146.0,211.0,1136.0,53314.0,55.0,3007.0
9400," Ferry County",53019940000,523.0,401.0,49.0,396.0,39375.0,43.9,1651.0
9701," Ferry County",53019970100,1097.0,798.0,135.0,789.0,36959.0,52.8,3024.0
9702," Ferry County",53019970200,1063.0,960.0,176.0,936.0,44283.0,54.5,2968.0
9703," Garfield County",53023970300,897.0,801.0,116.0,801.0,56923.0,49.7,2258.0
9701," Pend Oreille County",53051970100,872.0,733.0,22.0,727.0,56125.0,55.3,1973.0
9702," Pend Oreille County",53051970200,1115.0,867.0,106.0,859.0,51010.0,52.1,2824.0
9703," Pend Oreille County",53051970300,1219.0,939.0,29.0,932.0,48844.0,47.9,3238.0
9704," Pend Oreille County",53051970400,1118.0,955.0,149.0,955.0,54375.0,49.8,2682.0
9705," Pend Oreille County",53051970500,1041.0,890.0,132.0,867.0,68607.0,53.0,2871.0
1," Whitman County",53075000100,1160.0,1050.0,184.0,1050.0,12473.0,20.2,6214.0
2.01," Whitman County",53075000201,1878.0,1868.0,99.0,1868.0,57083.0,30.4,4294.0
2.02," Whitman County",53075000202,945.0,881.0,0.0,881.0,46484.0,28.5,2440.0
3," Whitman County",53075000300,2351.0,2249.0,227.0,2249.0,82103.0,34.1,6061.0
4," Whitman County",53075000400,1774.0,1594.0,88.0,1594.0,50859.0,35.9,4467.0
5," Whitman County",53075000500,430.0,178.0,207.0,178.0,21696.0,19.8,4033.0
6.01," Whitman County",53075000601,2250.0,1885.0,91.0,1885.0,17294.0,22.4,4670.0
6.02," Whitman County",53075000602,1947.0,1618.0,30.0,1618.0,21024.0,22.4,4379.0
7," Whitman County",53075000700,1359.0,1218.0,142.0,1212.0,65900.0,48.6,3416.0
8," Whitman County",53075000800,1283.0,1096.0,51.0,1096.0,54904.0,44.6,3686.0
9," Whitman County",53075000900,1443.0,1314.0,155.0,1310.0,53597.0,48.0,3903.0
10," Whitman County",53075001000,846.0,735.0,101.0,708.0,57083.0,47.4,2014.0
9501," Adams County",53001950100,1023.0,910.0,82.0,905.0,52589.0,42.6,2606.0
9502," Adams County",53001950200,548.0,487.0,47.0,485.0,59886.0,40.5,1763.0
9503.01," Adams County",53001950301,318.0,327.0,3.0,327.0,39928.0,34.1,1581.0
9503.02," Adams County",53001950302,566.0,515.0,26.0,515.0,58884.0,29.8,2434.0
9503.03," Adams County",53001950303,608.0,557.0,110.0,557.0,50915.0,29.8,2514.0
9504," Adams County",53001950400,713.0,685.0,23.0,685.0,63750.0,25.7,3144.0
9505," Adams County",53001950500,1519.0,1368.0,149.0,1368.0,48542.0,24.2,5660.0
