"","GEOID","tract","index"
"1",53001950100,9501,15.554489810295
"2",53001950200,9502,39.2121109343178
"3",53001950301,9503.01,45.290114282241
"4",53001950302,9503.02,47.4852772156158
"5",53001950303,9503.03,46.3463355122652
"6",53001950400,9504,33.454976016413
"7",53001950500,9505,3.54047715810201
"8",53003960100,9601,-23.9849933887438
"9",53003960200,9602,-31.5150109856913
"10",53003960300,9603,6.9038120546527
"11",53003960400,9604,16.8262305069059
"12",53003960500,9605,-4.48159212609128
"13",53003960600,9606,-11.8052299983638
"14",53019940000,9400,31.324813278428
"15",53019970100,9701,-8.42886747561275
"16",53019970200,9702,-2.66605788531496
"17",53023970300,9703,17.2550527747559
"18",53043960100,9601,35.6772775687607
"19",53043960200,9602,-0.527910552670069
"20",53043960300,9603,6.30536860904955
"21",53043960400,9604,-6.97804636575395
"22",53051970100,9701,20.0118360247584
"23",53051970200,9702,6.49242198888826
"24",53051970300,9703,-7.07433608787533
"25",53051970400,9704,6.44098413624717
"26",53051970500,9705,8.24621837435112
"27",53063000201,2.01,14.6145757837657
"28",53063000202,2.02,44.7471105033337
"29",53063000301,3.01,20.4397328837559
"30",53063000302,3.02,21.1070186294543
"31",53063000400,4,-3.34216282013206
"32",53063000500,5,5.03779882078937
"33",53063000600,6,17.3173240703164
"34",53063000700,7,-27.8469755167832
"35",53063000800,8,-30.9052191884474
"36",53063000900,9,-45.5604918387171
"37",53063001000,10,-35.0154706323427
"38",53063001100,11,6.14886360830554
"39",53063001200,12,25.9482300636887
"40",53063001300,13,2.55893619292469
"41",53063001400,14,-20.9340125343304
"42",53063001500,15,-48.0573647459137
"43",53063001600,16,12.4551266606281
"44",53063001800,18,2.54195121431044
"45",53063001900,19,1.23165949776505
"46",53063002000,20,-4.50604296653781
"47",53063002100,21,23.9529606908748
"48",53063002300,23,-33.6026779925907
"49",53063002400,24,13.5205348848192
"50",53063002501,25.01,21.2901438287766
"51",53063002502,25.02,22.754660596147
"52",53063002503,25.03,57.70200789324
"53",53063002600,26,-17.0905431983545
"54",53063002900,29,12.9063832363503
"55",53063003000,30,27.4738544294352
"56",53063003100,31,-22.1995870852969
