"","GEOID","tract","index"
"143",53063013501,135.01,39.0034077365149
"144",53063013502,135.02,28.2931370648249
"145",53063013503,135.03,-25.597107814278
"146",53063013600,136,-20.0934818069678
"147",53063013700,137,7.02561143258489
"148",53063013800,138,37.3520620100743
"149",53063013900,139,-25.043236680717
"150",53063014001,140.01,-9.13252083276236
"151",53063014002,140.02,-35.3634168219121
"152",53063014100,141,-44.0355941155041
"153",53063014200,142,-4.05458300183426
"154",53063014300,143,12.4648722826645
"155",53063014400,144,-5.73531922580828
"156",53063014500,145,29.2471195213534
"157",53065941000,9410,22.8675054231341
"158",53065950101,9501.01,-37.5820197948702
"159",53065950102,9501.02,-4.16261090137718
"160",53065950200,9502,-13.7297271999479
"161",53065950300,9503,14.7291792323741
"162",53065950500,9505,10.1884890864463
"163",53065950600,9506,17.4051512635003
"164",53065950700,9507,12.7656330561297
"165",53065950800,9508,-5.01430249908869
"166",53065950900,9509,26.7410289342267
"167",53065951100,9511,-17.7820966853042
"168",53065951301,9513.01,20.3235570715901
"169",53065951302,9513.02,37.6297132246695
"170",53065951401,9514.01,-6.41435401047048
"171",53065951402,9514.02,-3.84546799132764
"172",53075000100,1,19.230803818758
"173",53075000201,2.01,2.24981154423688
"174",53075000202,2.02,37.8657529553578
"175",53075000300,3,-29.7948359299462
"176",53075000400,4,-24.2131733673344
"177",53075000500,5,47.8200956152855
"178",53075000601,6.01,1.25535805553255
"179",53075000602,6.02,-5.40067040901398
"180",53075000700,7,-6.99359117674852
"181",53075000800,8,-8.32616417297291
"182",53075000900,9,-11.8988075493072
"183",53075001000,10,24.4809755120146
