label,less_than_9th_grade,9th_to_12th_no_diploma,high_school_grad_equivalent,some_college_no_degree,associates_degree,bachelors_degree,graduate_or_professional_degree,tract,county,standardized_less_than_9th_grade,standardized_9th_to_12th_no_diploma,standardized_high_school_grad_equivalent,standardized_some_college_no_degree,standardized_associates_degree,standardized_bachelors_degree,standardized_graduate_or_professional_degree,index
Estimate,40,78,738,1082,559,1080,798,130.03,Spokane,-0.062088547,-0.665214264,0.091345602,0.568355363,1.246136719,1.779924093,2.270532705,5.228991671
Estimate,85,81,1191,1107,444,1581,1089,131.01,Spokane,1.143805752,-0.63245185,1.399196907,0.623183529,0.601646605,3.327866957,3.532339939,9.995587838
Estimate,38,116,1027,961,391,833,374,131.02,Spokane,-0.115683849,-0.250223684,0.925714315,0.302987038,0.304620726,1.016766633,0.432023197,2.616204375
Estimate,1,276,1829,1697,953,629,256,132.01,Spokane,-1.107196939,1.497105073,3.241159671,1.917128254,3.454215895,0.386466544,-0.079637469,9.30924103
Estimate,0,14,365,509,242,695,209,132.03,Spokane,-1.13399459,-1.364145767,-0.985538585,-0.688306208,-0.530414293,0.590387161,-0.283434513,-4.395446796
Estimate,0,29,536,698,401,1133,311,132.04,Spokane,-1.13399459,-1.200333696,-0.491846371,-0.273805271,0.360663344,1.943678528,0.158848435,-0.636789622
Estimate,0,12,487,779,280,299,410,132.05,Spokane,-1.13399459,-1.385987377,-0.63331373,-0.096162012,-0.317452342,-0.63313654,0.588123061,-3.611923531
Estimate,17,117,561,740,300,606,263,133,Spokane,-0.678434522,-0.23930288,-0.419669146,-0.181693952,-0.205367104,0.315403299,-0.049284717,-1.458349022
Estimate,27,59,463,867,420,1482,897,134.01,Spokane,-0.410458011,-0.872709554,-0.702603866,0.096833133,0.46714432,3.021986032,2.699807331,4.299999385
Estimate,0,97,119,481,52,437,149,135.01,Spokane,-1.13399459,-0.457718974,-1.695762472,-0.749713755,-1.595224047,-0.206757069,-0.543600953,-6.38277186
Estimate,0,0,142,337,197,685,454,135.02,Spokane,-1.13399459,-1.517037034,-1.629359426,-1.065523992,-0.782606077,0.559490098,0.778911783,-4.790119238
Estimate,0,11,647,988,376,1568,770,135.03,Spokane,-1.13399459,-1.396908182,-0.171379495,0.362201458,0.220556798,3.287700775,2.1491217,3.317298464
Estimate,28,76,951,847,402,1023,325,136,Spokane,-0.38366036,-0.687055874,0.706295553,0.0529706,0.366267606,1.603810833,0.219553937,1.878182296
Estimate,68,127,748,596,326,403,256,137,Spokane,0.688245684,-0.130094832,0.120216492,-0.49750419,-0.059656296,-0.311807083,-0.079637469,-0.270237694
Estimate,0,0,477,989,315,325,134,138,Spokane,-1.13399459,-1.517037034,-0.66218462,0.364394585,-0.121303176,-0.552804176,-0.608642563,-4.231571575
Estimate,80,131,1117,1124,534,1100,315,139,Spokane,1.009817497,-0.086411613,1.185552323,0.660466683,1.106030173,1.841718219,0.176192864,5.893366144
Estimate,18,68,798,2202,594,677,271,140.01,Spokane,-0.651636871,-0.774422312,0.26457094,3.024657213,1.442285885,0.534772447,-0.014595859,3.825631445
Estimate,59,78,497,1933,567,984,696,140.02,Spokane,0.447066824,-0.665214264,-0.604442841,2.434706144,1.290970814,1.483312286,1.828249757,6.214648721
Estimate,66,102,963,1134,604,1112,515,141,Spokane,0.634650381,-0.403114951,0.740940621,0.682397949,1.498328503,1.878794695,1.04341433,6.075411529
Estimate,111,150,523,1034,482,366,240,142,Spokane,1.84054468,0.121083677,-0.529378527,0.463085284,0.814608556,-0.426126217,-0.149015186,2.134802266
Estimate,44,151,564,556,369,361,171,143,Spokane,0.045102058,0.132004481,-0.411007879,-0.585229256,0.181326965,-0.441574749,-0.448206592,-1.527584972
Estimate,63,132,1008,985,502,367,222,144,Spokane,0.554257428,-0.075490809,0.870859625,0.355622078,0.926693793,-0.423036511,-0.227065118,1.981840487
Estimate,56,216,448,534,188,196,28,145,Spokane,0.366673871,0.841856789,-0.7459102,-0.633478042,-0.833044433,-0.951376291,-1.06826994,-3.023548247
Estimate,52,198,533,475,142,100,65,9410,Stevens,0.259483266,0.645282304,-0.500507638,-0.762872514,-1.090840479,-1.247988097,-0.907833969,-3.605277127
Estimate,45,324,1172,777,434,371,225,9501.01,Stevens,0.071899709,2.0213037,1.344342216,-0.100548266,0.545603986,-0.410677685,-0.214056796,3.257866864
Estimate,32,156,862,672,269,317,199,9501.02,Stevens,-0.276469755,0.186608505,0.449344635,-0.330826564,-0.379099222,-0.577521827,-0.326795586,-1.254759815
Estimate,76,302,1161,727,306,427,118,9502,Stevens,0.902626892,1.781045996,1.312584237,-0.210204598,-0.171741533,-0.237654132,-0.67802028,2.698636583
Estimate,29,110,892,508,140,303,134,9503,Stevens,-0.356862709,-0.315748513,0.535957304,-0.690499335,-1.102049003,-0.620777715,-0.608642563,-3.158622534
Estimate,71,121,762,405,99,293,188,9505,Stevens,0.768638637,-0.195619661,0.160635737,-0.91639138,-1.33182374,-0.651674778,-0.374492767,-2.540727951
Estimate,17,114,686,427,205,244,168,9506,Stevens,-0.678434522,-0.272065294,-0.058783025,-0.868142594,-0.737771982,-0.803070388,-0.461214914,-3.879482717
Estimate,32,163,773,540,187,158,123,9507,Stevens,-0.276469755,0.263054138,0.192393716,-0.620319282,-0.838648695,-1.068785131,-0.656339744,-3.005114753
Estimate,21,184,873,867,272,298,304,9508,Stevens,-0.571243917,0.492391038,0.481102613,0.096833133,-0.362286437,-0.636226247,0.128495683,-0.370934133
Estimate,28,76,451,376,119,131,80,9509,Stevens,-0.38366036,-0.687055874,-0.737248933,-0.979992053,-1.219738502,-1.152207201,-0.842792359,-6.002695282
Estimate,139,281,1130,726,238,193,158,9511,Stevens,2.590878911,1.551709097,1.223084479,-0.212397725,-0.55283134,-0.96064541,-0.504575987,3.135222025
Estimate,38,216,656,456,252,306,129,9513.01,Stevens,-0.115683849,0.841856789,-0.145395694,-0.804541921,-0.474371674,-0.611508596,-0.6303231,-1.939968044
Estimate,0,26,313,367,145,212,120,9513.02,Stevens,-1.13399459,-1.233096111,-1.135667212,-0.999730193,-1.074027694,-0.90194099,-0.669348066,-7.147804854
Estimate,57,158,1383,746,137,293,321,9514.01,Stevens,0.393471522,0.208450114,1.953517989,-0.168535192,-1.118861789,-0.651674778,0.202209508,0.818577375
Estimate,35,169,789,1299,467,455,248,9514.02,Stevens,-0.196076802,0.328578966,0.23858714,1.044263847,0.730544628,-0.151142355,-0.114326327,1.880429096
Estimate,18,45,938,3997,320,274,94,1,Whitman,-0.651636871,-1.025600821,0.668763397,6.961319553,-0.093281867,-0.710379198,-0.782086856,4.367097337
Estimate,78,27,357,888,337,933,478,2.01,Whitman,0.956222195,-1.222175306,-1.008635297,0.142888793,0.001990585,1.325737264,0.882978359,1.079006593
Estimate,51,36,104,642,163,406,304,2.02,Whitman,0.232685615,-1.123888063,-1.739068807,-0.396620364,-0.97315098,-0.302537964,0.128495683,-4.17408488
Estimate,13,20,510,864,287,1456,1073,3,Whitman,-0.785625126,-1.298620939,-0.566910684,0.090253753,-0.278222509,2.941653668,3.462962221,3.565490385
Estimate,14,45,572,756,220,864,854,4,Whitman,-0.758827475,-1.025600821,-0.387911168,-0.146603925,-0.653708054,1.112547528,2.513354716,0.653250802
Estimate,0,37,709,2469,158,116,76,5,Whitman,-1.13399459,-1.112967258,0.007620022,3.610222029,-1.001172289,-1.198552796,-0.860136788,-1.688981672
Estimate,20,90,302,1677,244,566,214,6.01,Whitman,-0.598041569,-0.534164608,-1.16742519,1.873265721,-0.519205769,0.191815046,-0.261753976,-1.015510344
Estimate,26,34,527,1488,699,510,396,6.02,Whitman,-0.437255662,-1.145729673,-0.517830171,1.458764784,2.030733381,0.018791493,0.527417558,1.934891709
Estimate,7,93,622,763,382,593,265,7,Whitman,-0.946411033,-0.501402193,-0.243556719,-0.131252039,0.254182369,0.275237117,-0.040612503,-1.333815001
Estimate,26,153,908,634,452,499,242,8,Whitman,-0.437255662,0.153846091,0.582150727,-0.414165377,0.6464807,-0.015195277,-0.140342971,0.375518231
Estimate,69,207,957,748,397,499,176,9,Whitman,0.715043335,0.743569546,0.723618087,-0.164148939,0.338246297,-0.015195277,-0.426526055,1.914606994
Estimate,26,95,274,458,194,438,113,10,Whitman,-0.437255662,-0.479560584,-1.248263681,-0.800155668,-0.799418862,-0.203667362,-0.699700817,-4.668022636
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
