label,one_or_more_computing_devices,desktop_or_laptop,desktop_or_laptop_only,smartphone,smartphone_only,tablet_or_portable_computer,tablet_or_portable_computer_only,other,other_only,no_computer,tract,county,standardized_one_or_more_computing_devices,standardized_desktop_or_laptop,standardized_desktop_or_laptop_only,standardized_smartphone,standardized_smartphone_only,standardized_tablet_or_portable_computer,standardized_tablet_or_portable_computer_only,standardized_other,standardized_other_only,standardized_no_computer,index
Estimate,1026,779,50,948,140,535,0,0,0,69,3.01,Spokane,-0.660322884,-0.78745211,-0.629386678,#REF!,0.392543024,-0.93204543,-0.803588293,-1.153946687,-0.152548567,-0.422002087,#REF!
Estimate,946,716,168,756,63,517,0,11,0,89,3.02,Spokane,-0.806125141,-0.90495535,1.568377862,#REF!,-0.522632978,-0.975672976,-0.803588293,-0.708521053,-0.152548567,-0.168385069,#REF!
Estimate,1488,1150,97,1327,165,897,45,14,0,150,4,Spokane,0.181685148,-0.095488582,0.245994114,#REF!,0.68967809,-0.054647011,1.670262023,-0.587041335,-0.152548567,0.605146835,#REF!
Estimate,1368,1156,105,1174,168,821,20,21,0,79,5,Spokane,-0.037018237,-0.084297797,0.3949951,#REF!,0.725334298,-0.238852204,0.295900736,-0.303588659,-0.152548567,-0.295193578,#REF!
Estimate,1267,1155,56,1186,89,699,0,49,0,19,6,Spokane,-0.221093586,-0.086162928,-0.517635938,#REF!,-0.213612509,-0.534550014,-0.803588293,0.830222046,-0.152548567,-1.056044632,#REF!
Estimate,2134,1836,92,1926,188,1454,35,65,14,97,7,Spokane,1.359038371,1.183991149,0.152868498,#REF!,0.96304235,1.295383153,1.120517508,1.478113877,3.755745723,-0.066938262,#REF!
Estimate,1837,1752,196,1551,24,1299,17,15,0,118,8,Spokane,0.817747493,1.027320161,2.089881312,#REF!,-0.98616368,0.91970151,0.130977382,-0.546548095,-0.152548567,0.199359607,#REF!
Estimate,2177,2006,182,1910,91,1649,16,50,0,191,9,Spokane,1.437407084,1.501063385,1.829129587,#REF!,-0.189841704,1.768014898,0.07600293,0.870715285,-0.152548567,1.125061722,#REF!
Estimate,2127,1823,90,1899,195,1386,44,78,0,182,10,Spokane,1.346280674,1.159744448,0.115618251,#REF!,1.046240169,1.130567981,1.615287571,2.00452599,-0.152548567,1.010934064,#REF!
Estimate,1311,1236,80,1182,48,955,0,52,0,100,11,Spokane,-0.140902345,0.064912667,-0.070632981,#REF!,-0.700914017,0.085930636,-0.803588293,0.951701764,-0.152548567,-0.028895709,#REF!
Estimate,933,821,63,820,66,609,0,33,0,56,12,Spokane,-0.829818008,-0.709116616,-0.387260076,#REF!,-0.48697677,-0.752687742,-0.803588293,0.182330215,-0.152548567,-0.586853149,#REF!
Estimate,1420,1209,77,1319,106,935,5,43,0,101,13,Spokane,0.05775323,0.014554135,-0.126508351,#REF!,-0.011560665,0.037455586,-0.528716036,0.587262609,-0.152548567,-0.016214859,#REF!
Estimate,2321,2105,67,2199,62,1434,14,13,0,94,14,Spokane,1.699851146,1.685711335,-0.312759583,#REF!,-0.53451838,1.246908103,-0.033945973,-0.627534574,-0.152548567,-0.104980815,#REF!
