Label,Tract,County,"Full-time, year-round civilian employed population 16 years and over","Management, business, science, and arts occupations:","Management, business, and financial occupations:",Management occupations,Business and financial operations occupations,"Computer, engineering, and science occupations:",Computer and mathematical occupations,Architecture and engineering occupations,"Life, physical, and social science occupations","Education, legal, community service, arts, and media occupations:",Community and social service occupations,Legal occupations,"Educational instruction, and library occupations","Arts, design, entertainment, sports, and media occupations",Healthcare practitioners and technical occupations:,Health diagnosing and treating practitioners and other technical occupations,Health technologists and technicians,Service occupations:,Healthcare support occupations,Protective service occupations:,"Firefighting and prevention, and other protective service workers including supervisors",Law enforcement workers including supervisors,Food preparation and serving related occupations,Building and grounds cleaning and maintenance occupations,Personal care and service occupations,Sales and office occupations:,Sales and related occupations,Office and administrative support occupations,"Natural resources, construction, and maintenance occupations:","Farming, fishing, and forestry occupations",Construction and extraction occupations,"Installation, maintenance, and repair occupations","Production, transportation, and material moving occupations:",Production occupations,Transportation occupations,Material moving occupations
Estimate,10,Whitman,850,477,276,253,23,78,22,26,30,48,5,3,34,6,75,45,30,81,11,8,0,8,14,9,39,126,51,75,113,37,48,28,53,21,20,12
Estimate,,Adams,"5,528","1,296",673,534,139,111,71,12,28,404,43,11,350,0,108,88,20,819,284,140,17,123,20,288,87,752,312,440,"1,422",966,263,193,"1,239",582,277,380
Estimate,,Asotin,"6,731","2,443",928,675,253,334,144,132,58,654,162,27,391,74,527,346,181,919,282,107,50,57,164,213,153,"1,410",648,762,986,34,648,304,973,545,105,323
Estimate,,Ferry County,"1,786",748,285,246,39,73,7,0,66,342,94,53,149,46,48,38,10,458,203,106,28,78,44,83,22,222,49,173,159,9,118,32,199,34,25,140
Estimate,,Garfield,686,261,156,134,22,67,4,17,46,20,4,0,16,0,18,18,0,132,13,28,4,24,9,74,8,121,52,69,118,64,22,32,54,19,18,17
Estimate,,Lincoln,"2,993","1,412",786,686,100,159,70,38,51,334,56,80,180,18,133,79,54,409,147,104,49,55,34,104,20,482,178,304,421,82,171,168,269,100,112,57
Estimate,,Pend Oreille,"3,031","1,121",570,328,242,187,53,108,26,246,87,5,126,28,118,112,6,418,96,54,34,20,136,56,76,568,271,297,483,120,199,164,441,235,88,118
Estimate,,Spokane County,"161,315","68,374","30,358","19,916","10,442","9,151","4,418","3,215","1,518","16,993","4,430","2,061","8,358","2,144","11,872","8,227","3,645","22,347","7,018","3,272","1,502","1,770","5,406","4,073","2,578","35,346","15,601","19,745","14,885",767,"8,411","5,707","20,363","8,361","6,219","5,783"
Estimate,,Stevens County,"10,850","3,611","1,690","1,140",550,464,191,200,73,901,161,98,602,40,556,340,216,"1,667",481,365,187,178,258,324,239,"1,991",937,"1,054","1,660",143,707,810,"1,921",921,590,410
Estimate,,Whitman County,"12,177","6,930","2,620","2,047",573,"1,409",422,501,486,"2,285",167,24,"1,792",302,616,507,109,"1,342",292,263,114,149,196,416,175,"1,626",831,795,"1,138",209,450,479,"1,141",663,314,164
Estimate,,Spokane City,"70,033","29,212","12,148","7,461","4,687","3,904","1,870","1,178",856,"8,409","2,252","1,079","3,967","1,111","4,751","3,387","1,364","11,280","3,345","1,306",644,662,"3,091","2,234","1,304","14,932","6,124","8,808","5,519",244,"3,207","2,068","9,090","3,975","2,233","2,882"
Estimate,,Spokane - Spokane Valley,"172,165","71,985","32,048","21,056","10,992","9,615","4,609","3,415","1,591","17,894","4,591","2,159","8,960","2,184","12,428","8,567","3,861","24,014","7,499","3,637","1,689","1,948","5,664","4,397","2,817","37,337","16,538","20,799","16,545",910,"9,118","6,517","22,284","9,282","6,809","6,193"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mean,,,"3,363","1,410",620,412,208,193,89,67,37,364,89,41,190,44,233,162,71,476,147,71,32,39,110,92,56,708,311,396,333,31,177,126,436,186,126,123
Std,,," 17,487 "," 7,359 "," 3,255 "," 2,129 "," 1,128 ", 987 , 474 , 346 , 171 ," 1,857 ", 481 , 226 , 923 , 233 ," 1,268 ", 879 , 391 ," 2,465 ", 769 , 361 , 168 , 194 , 599 , 456 , 287 ," 3,804 "," 1,674 "," 2,131 "," 1,634 ", 116 , 912 , 636 ," 2,243 ", 934 , 676 , 637 
