Label,Less_than_$100,$100_to_$199,$200_to_$299,$300_to_$399,$400_to_$499,$500_to_$599,$600_to_$699,$700_to_$799,$800_to_$899,$900_to_$999,"$1,000_to_$1,499","$1,500_to_$1,999","$2,000_to_$2,499","$2,500_to_$2,999","$3,000_or_more",No_cash_rent,tract,county,Standardize_Less_than_$100,Standardize_$100_to_$199,Standardize_$200_to_$299,Standardize_$300_to_$399,Standardize_$400_to_$499,Standardize_$500_to_$599,Standardize_$600_to_$699,Standardize_$700_to_$799,Standardize_$800_to_$899,Standardize_$900_to_$999,"Standardize_$1,000_to_$1,499","Standardize_$1,500_to_$1,999","Standardize_$2,000_to_$2,499","Standardize_$2,500_to_$2,999","Standardize_$3,000_or_more",Standardize_No_cash_rent,index
Estimate,0,0,0,0,51,310,120,265,55,174,105,36,37,10,5,9,1,Whitman,-0.476393942,-0.736451396,-0.980424457,-1.337178458,-0.717602811,3.255118732,0.195364297,2.275603709,-0.50382354,0.740720473,-1.205942276,-1.041402942,-0.46745517,-0.432869399,-0.530952267,-0.509390375,-2.473079823
Estimate,0,14,76,60,82,316,392,34,149,138,270,147,87,33,46,61,2.01,Whitman,-0.476393942,-0.228293982,0.453106173,-0.330926695,-0.110992657,3.348513395,3.662192548,-0.924975064,0.49568892,0.374143965,-0.481801339,-0.31677656,0.102916187,0.030966472,0.367904876,1.596325876,7.561598172
Estimate,0,0,37,17,74,136,41,31,85,136,117,162,54,11,19,25,2.02,Whitman,-0.476393942,-0.736451396,-0.282521387,-1.052073792,-0.267537213,0.546673498,-0.811545379,-0.966541022,-0.184830202,0.353778604,-1.153277481,-0.218854076,-0.273528909,-0.412702622,-0.224025437,0.138522317,-6.021308439
Estimate,0,0,0,0,166,146,80,151,155,48,613,658,212,117,46,0,3,Whitman,-0.476393942,-0.736451396,-0.980424457,-1.337178458,1.532725181,0.70233127,-0.314463387,0.696097302,0.559487587,-0.542297306,1.023534064,3.019116062,1.528844579,1.72497574,0.367904876,-0.873841265,5.893966452
Estimate,8,16,81,138,62,109,112,230,235,175,318,191,178,83,52,10,4,Whitman,0.226671311,-0.155700066,0.547417398,0.977200596,-0.502354047,0.126397513,0.09339876,1.790667532,1.41013649,0.750903154,-0.271142157,-0.029537274,1.140992057,1.039305322,0.499444946,-0.468895832,7.174905703
Estimate,0,0,0,0,38,18,23,43,22,57,222,15,0,0,0,9,5,Whitman,-0.476393942,-0.736451396,-0.980424457,-1.337178458,-0.971987715,-1.290088213,-1.040967837,-0.800277189,-0.854716213,-0.450653179,-0.692460521,-1.17849442,-0.889529974,-0.634537169,-0.640568991,-0.509390375,-13.48412005
Estimate,0,0,0,0,11,117,419,233,406,384,418,242,20,0,0,0,6.01,Whitman,-0.476393942,-0.736451396,-0.980424457,-1.337178458,-1.500325591,0.250923731,4.006326235,1.83223349,3.228398518,2.879083439,0.167731138,0.303399172,-0.661381431,-0.634537169,-0.640568991,-0.873841265,4.826993021
Estimate,0,0,12,46,11,120,443,275,247,152,563,91,0,16,21,0,6.02,Whitman,-0.476393942,-0.736451396,-0.754077516,-0.565718773,-1.500325591,0.297621063,4.312222845,2.414156903,1.537733825,0.516701496,0.804097416,-0.682353834,-0.889529974,-0.311868737,-0.180178748,-0.873841265,2.911793772
Estimate,19,37,93,128,126,87,157,72,61,83,303,183,28,33,4,66,7,Whitman,1.193386034,0.606536054,0.77376434,0.809491969,0.750002401,-0.216049585,0.666954905,-0.398472928,-0.440024873,-0.185903478,-0.336973152,-0.081762599,-0.570122014,0.030966472,-0.552875612,1.798798592,3.847716527
Estimate,0,10,63,179,159,106,143,113,84,35,265,139,67,13,11,37,8,Whitman,-0.476393942,-0.373481815,0.207896986,1.664805967,1.395748695,0.079700182,0.488515215,0.169595166,-0.195463313,-0.674672156,-0.503745004,-0.369001885,-0.125232356,-0.372369068,-0.399412197,0.624456837,1.140947311
Estimate,1,85,87,186,106,147,115,130,112,81,314,106,17,0,5,95,9,Whitman,-0.388510785,2.348790043,0.660590869,1.782202006,0.358641011,0.717897047,0.131635836,0.405135595,0.102263802,-0.20626884,-0.288697089,-0.58443135,-0.695603713,-0.634537169,-0.530952267,2.973140348,6.151295345
Estimate,0,9,69,92,156,106,45,36,29,21,163,91,12,11,3,40,10,Whitman,-0.476393942,-0.409778773,0.321070457,0.205740911,1.337044486,0.079700182,-0.760562611,-0.897264425,-0.780284434,-0.817229687,-0.951395765,-0.682353834,-0.752640848,-0.412702622,-0.574798957,0.745940467,-4.825909395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
