Label,Less_than_$100,$100_to_$199,$200_to_$299,$300_to_$399,$400_to_$499,$500_to_$599,$600_to_$699,$700_to_$799,$800_to_$899,$900_to_$999,"$1,000_to_$1,499","$1,500_to_$1,999","$2,000_to_$2,499","$2,500_to_$2,999","$3,000_or_more",No_cash_rent,tract,county,Standardize_Less_than_$100,Standardize_$100_to_$199,Standardize_$200_to_$299,Standardize_$300_to_$399,Standardize_$400_to_$499,Standardize_$500_to_$599,Standardize_$600_to_$699,Standardize_$700_to_$799,Standardize_$800_to_$899,Standardize_$900_to_$999,"Standardize_$1,000_to_$1,499","Standardize_$1,500_to_$1,999","Standardize_$2,000_to_$2,499","Standardize_$2,500_to_$2,999","Standardize_$3,000_or_more",Standardize_No_cash_rent,index
Estimate,0,8,8,146,97,78,8,18,42,45,338,262,45,29,32,41,129.01,Spokane,-0.476393942,-0.446075731,-0.829526496,1.111367497,0.182528386,-0.35614158,-1.232153218,-1.146660174,-0.642053987,-0.572845348,-0.183367498,0.433962484,-0.376195753,-0.049700636,0.060978047,0.78643501,-3.735842939
Estimate,0,16,15,127,200,264,149,159,149,122,794,376,157,51,34,26,129.02,Spokane,-0.476393942,-0.155700066,-0.69749078,0.792721106,2.198039544,2.53909298,0.564989368,0.806939857,0.49568892,0.211221072,1.817894729,1.178173363,0.901436087,0.393968458,0.104824737,0.179016861,10.85442229
Estimate,0,0,0,0,22,20,24,39,0,0,68,132,43,25,27,0,130.01,Spokane,-0.476393942,-0.736451396,-0.980424457,-1.337178458,-1.285076827,-1.258956658,-1.028222145,-0.855698467,-1.088644661,-1.031065983,-1.368325396,-0.414699044,-0.399010607,-0.130367744,-0.048638678,-0.873841265,-13.31299573
Estimate,17,0,0,0,63,89,32,139,189,170,531,62,0,17,0,0,130.02,Spokane,1.017619721,-0.736451396,-0.980424457,-1.337178458,-0.482785977,-0.184918031,-0.926256608,0.529833469,0.921013371,0.69998975,0.663657962,-0.871670637,-0.889529974,-0.29170196,-0.640568991,-0.873841265,-4.38321348
Estimate,0,45,0,6,50,198,20,88,167,338,268,418,365,211,131,23,130.03,Spokane,-0.476393942,0.896911719,-0.980424457,-1.236553281,-0.737170881,1.511751685,-1.079204913,-0.176787818,0.687084923,2.410680122,-0.490578805,1.452356318,3.274180931,3.620652778,2.231389197,0.057533231,10.96542681
Estimate,0,24,50,216,114,341,119,155,209,86,"1,152",772,60,105,0,20,131.01,Spokane,-0.476393942,0.134675599,-0.037312201,2.285327887,0.515185567,3.737657825,0.182618605,0.751518579,1.133675596,-0.155355436,3.389061126,3.763326941,-0.205084346,1.482974416,-0.640568991,-0.063950399,15.79735683
Estimate,0,0,36,0,76,157,55,110,110,82,560,294,249,116,112,108,131.02,Spokane,-0.476393942,-0.736451396,-0.301383633,-1.337178458,-0.228401074,0.873554819,-0.63310569,0.128029208,0.08099758,-0.196086159,0.790931218,0.642863783,1.950919383,1.704808963,1.814845643,3.49956941,7.577519657
Estimate,0,81,63,202,181,258,16,130,205,134,820,355,224,0,17,10,132.01,Spokane,-0.476393942,2.203602211,0.207896986,2.050535809,1.826246224,2.445698317,-1.130187681,0.405135595,1.091143151,0.333413242,1.932001785,1.041081885,1.665733705,-0.634537169,-0.267872127,-0.468895832,12.22460216
Estimate,0,11,0,0,20,124,82,10,53,0,367,242,93,59,0,0,132.03,Spokane,-0.476393942,-0.337184857,-0.980424457,-1.337178458,-1.324212966,0.359884171,-0.288972003,-1.257502728,-0.525089763,-1.031065983,-0.056094243,0.303399172,0.17136075,0.555302674,-0.640568991,-0.873841265,-7.738582889
Estimate,0,0,16,30,52,72,69,67,38,115,324,368,315,57,68,11,132.04,Spokane,-0.476393942,-0.736451396,-0.678628535,-0.834052576,-0.698034742,-0.449536243,-0.454666,-0.467749525,-0.684586432,0.139942307,-0.24480976,1.125948038,2.703809575,0.51496912,0.850218465,-0.428401289,-0.818422935
Estimate,0,0,0,0,30,30,42,75,51,54,236,231,130,91,241,0,132.05,Spokane,-0.476393942,-0.736451396,-0.980424457,-1.337178458,-1.128532271,-1.103298886,-0.798799687,-0.35690697,-0.546355985,-0.481201221,-0.631018259,0.23158935,0.593435554,1.200639538,4.642957141,-0.873841265,-2.781781214
Estimate,0,10,66,24,63,101,123,22,50,29,109,161,144,103,160,43,133,Spokane,-0.476393942,-0.373481815,0.264483721,-0.934677753,-0.482785977,0.001871296,0.233601373,-1.091238896,-0.556989097,-0.735768241,-1.188387345,-0.225382242,0.753139534,1.442640862,2.8671662,0.867424097,0.365221776
Estimate,0,0,0,7,62,135,92,115,75,81,289,368,433,273,78,11,134.01,Spokane,-0.476393942,-0.736451396,-0.980424457,-1.219782419,-0.502354047,0.531107721,-0.161515082,0.197305805,-0.291161315,-0.20626884,-0.398415413,1.125948038,4.049885977,4.870992953,1.069451915,-0.428401289,6.443524209
Estimate,0,0,0,65,24,91,0,19,40,0,35,133,129,19,51,45,135.01,Spokane,-0.476393942,-0.736451396,-0.980424457,-0.247072382,-1.245940688,-0.153786476,-1.334118755,-1.132804854,-0.66332021,-1.031065983,-1.513153583,-0.408170879,0.582028127,-0.251368406,0.477521601,0.948413183,-8.1661091
Estimate,0,0,0,37,47,19,28,17,20,27,359,142,17,29,151,0,135.02,Spokane,-0.476393942,-0.736451396,-0.980424457,-0.716656537,-0.795875089,-1.274522435,-0.977239376,-1.160515493,-0.875982435,-0.756133602,-0.091204106,-0.349417388,-0.695603713,-0.049700636,2.669856096,-0.873841265,-8.140105776
